sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
2,7,holds,317,322,636,641,48,314.0,316.0,633.0,635.0,,323.0,332.0,642.0,651.0,333.0,389.0,652.0,708.0,verb.emotion,1,True
3,3,changed,95,102,992,999,,69.0,90.0,966.0,987.0,27,103.0,136.0,1000.0,1033.0,138.0,164.0,1035.0,1061.0,verb.change,1,True
6,4,loved,166,171,1460,1465,60,163.0,165.0,1457.0,1459.0,58,172.0,175.0,1466.0,1469.0,176.0,211.0,1470.0,1505.0,verb.emotion,1,True
7,5,reached,113,120,1620,1627,62,84.0,89.0,1591.0,1596.0,63,121.0,133.0,1628.0,1640.0,134.0,150.0,1641.0,1657.0,verb.motion,1,True
8,2,rebelling,34,43,1804,1813,,,,,,70,44.0,60.0,1814.0,1830.0,,,,,verb.social,1,True
9,1,subdue,60,66,1940,1946,"32,71,29",27.0,56.0,1907.0,1936.0,72,67.0,79.0,1947.0,1959.0,,,,,verb.social,1,True
10,2,reached,56,63,2071,2078,29,45.0,47.0,2060.0,2062.0,29,64.0,75.0,2079.0,2090.0,76.0,225.0,2091.0,2240.0,verb.motion,1,True
11,3,received,82,90,2324,2332,29,79.0,81.0,2321.0,2323.0,"29,60",91.0,111.0,2333.0,2353.0,112.0,126.0,2354.0,2368.0,verb.perception,1,True
12,6,donned,200,206,2570,2576,"29,78",89.0,116.0,2459.0,2486.0,,207.0,209.0,2577.0,2579.0,,,,,verb.body,1,True
13,2,pray,45,49,2626,2630,29,34.0,36.0,2615.0,2617.0,,,,,,,,,,verb.communication,1,True
14,2,congratulated,61,74,2932,2945,"82,29,86",0.0,21.0,2871.0,2892.0,"29,60,70",75.0,78.0,2946.0,2949.0,,,,,verb.communication,1,True
15,2,bring,80,85,3095,3100,,,,,,29,86.0,89.0,3101.0,3104.0,,,,,verb.creation,1,True
16,1,bade,55,59,3239,3243,,,,,,29,60.0,63.0,3244.0,3247.0,,,,,verb.communication,1,True
17,1,received,48,56,3308,3316,90,0.0,16.0,3260.0,3276.0,82,57.0,118.0,3317.0,3378.0,,,,,verb.possession,1,True
