sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
2,7,holds,317,322,636,641,48,314.0,316.0,633.0,635.0,333.0,389.0,652.0,708.0,verb.emotion,True,0,subject,the Emperor,1,2,3,male,1.0,tertiary
6,4,loved,166,171,1460,1465,60,163.0,165.0,1457.0,1459.0,176.0,211.0,1470.0,1505.0,verb.emotion,True,3,subject,This Prince's father,6,3,9,male,1.0,tertiary
7,5,reached,113,120,1620,1627,62,84.0,89.0,1591.0,1596.0,134.0,150.0,1641.0,1657.0,verb.motion,True,2,subject,a boy,1,0,1,male,1.0,tertiary
9,1,subdue,60,66,1940,1946,32,27.0,56.0,1907.0,1936.0,,,,,verb.social,True,6,subject,King Keiko,1,1,2,male,1.0,tertiary
9,1,subdue,60,66,1940,1946,71,27.0,56.0,1907.0,1936.0,,,,,verb.social,True,6,subject,King Keiko's younger son,1,0,1,male,1.0,tertiary
9,1,subdue,60,66,1940,1946,29,27.0,56.0,1907.0,1936.0,,,,,verb.social,True,6,subject,Yamato,27,125,152,male,1.0,secondary
10,2,reached,56,63,2071,2078,29,45.0,47.0,2060.0,2062.0,76.0,225.0,2091.0,2240.0,verb.motion,True,5,subject,Yamato,27,125,152,male,1.0,secondary
11,3,received,82,90,2324,2332,29,79.0,81.0,2321.0,2323.0,112.0,126.0,2354.0,2368.0,verb.perception,True,7,subject,Yamato,27,125,152,male,1.0,secondary
12,6,donned,200,206,2570,2576,29,89.0,116.0,2459.0,2486.0,,,,,verb.body,True,8,subject,Yamato,27,125,152,male,1.0,secondary
12,6,donned,200,206,2570,2576,78,89.0,116.0,2459.0,2486.0,,,,,verb.body,True,8,subject,Yamato's trusty followers,1,0,1,unknown,0.0,tertiary
13,2,pray,45,49,2626,2630,29,34.0,36.0,2615.0,2617.0,,,,,verb.communication,True,9,subject,Yamato,27,125,152,male,1.0,secondary
14,2,congratulated,61,74,2932,2945,82,0.0,21.0,2871.0,2892.0,,,,,verb.communication,True,10,subject,Yamato's aunt,8,18,26,female,1.0,tertiary
14,2,congratulated,61,74,2932,2945,29,0.0,21.0,2871.0,2892.0,,,,,verb.communication,True,10,subject,Yamato,27,125,152,male,1.0,secondary
14,2,congratulated,61,74,2932,2945,86,0.0,21.0,2871.0,2892.0,,,,,verb.communication,True,10,subject,Yamato's Princess his aunt,1,0,1,female,1.0,tertiary
17,1,received,48,56,3308,3316,90,0.0,16.0,3260.0,3276.0,,,,,verb.possession,True,13,subject,The young Prince,3,10,13,male,1.0,tertiary
18,2,said,22,26,3402,3406,92,1.0,19.0,3381.0,3399.0,,,,,verb.communication,True,14,subject,The Prince,32,204,236,male,1.0,primary
19,1,felt,40,44,3529,3533,92,37.0,39.0,3526.0,3528.0,,,,,verb.body,True,15,subject,The Prince,32,204,236,male,1.0,primary
20,2,reached,31,38,3702,3709,92,28.0,30.0,3699.0,3701.0,,,,,verb.motion,True,16,subject,The Prince,32,204,236,male,1.0,primary
21,0,met,7,10,3832,3835,92,0.0,2.0,3825.0,3827.0,36.0,87.0,3861.0,3912.0,verb.social,True,17,subject,The Prince,32,204,236,male,1.0,primary
27,2,kill,29,33,4503,4507,92,12.0,13.0,4486.0,4487.0,39.0,60.0,4513.0,4534.0,verb.contact,True,21,subject,The Prince,32,204,236,male,1.0,primary
28,0,bade,10,14,4547,4551,92,3.0,5.0,4540.0,4542.0,29.0,39.0,4566.0,4576.0,verb.communication,True,20,subject,The Prince,32,204,236,male,1.0,primary
29,2,bade,65,69,4643,4647,92,62.0,64.0,4640.0,4642.0,74.0,79.0,4652.0,4657.0,verb.communication,True,22,subject,The Prince,32,204,236,male,1.0,primary
30,1,let,38,41,4797,4800,92,14.0,16.0,4773.0,4775.0,56.0,89.0,4815.0,4848.0,verb.social,True,23,subject,The Prince,32,204,236,male,1.0,primary
31,0,brought,18,25,4868,4875,34,0.0,12.0,4850.0,4862.0,,,,,verb.contact,True,24,subject,Ototachibana,11,29,40,female,1.0,tertiary
32,2,brought,54,61,5036,5043,34,41.0,53.0,5023.0,5035.0,,,,,verb.motion,True,25,subject,Ototachibana,11,29,40,female,1.0,tertiary
33,0,smiled,3,9,5063,5069,92,0.0,2.0,5060.0,5062.0,,,,,verb.body,True,28,subject,The Prince,32,204,236,male,1.0,primary
34,0,knew,10,14,5132,5136,92,0.0,2.0,5122.0,5124.0,,,,,verb.cognition,True,27,subject,The Prince,32,204,236,male,1.0,primary
35,1,disappeared,30,41,5195,5206,116,0.0,25.0,5165.0,5190.0,,,,,verb.change,True,26,subject,the warrior,1,0,1,unknown,0.0,tertiary
38,3,approached,113,123,5537,5547,92,102.0,112.0,5526.0,5536.0,,,,,verb.motion,True,30,subject,The Prince,32,204,236,male,1.0,primary
40,2,felt,101,105,5823,5827,120,96.0,100.0,5818.0,5822.0,,,,,verb.emotion,True,32,subject,The two chiefs Kumaso and Takeru,1,16,17,group/nonbinary,1.0,tertiary
41,3,robed,106,111,5942,5947,130,88.0,105.0,5924.0,5941.0,,,,,verb.body,True,31,subject,a beautiful woman,2,2,4,female,1.0,tertiary
42,0,appeared,37,45,6028,6036,130,33.0,36.0,6024.0,6027.0,,,,,verb.change,True,33,subject,a beautiful woman,2,2,4,female,1.0,tertiary
43,5,stood,83,88,6142,6147,120,34.0,45.0,6093.0,6104.0,101.0,117.0,6160.0,6176.0,verb.contact,True,34,subject,The two chiefs Kumaso and Takeru,1,16,17,group/nonbinary,1.0,tertiary
43,5,stood,83,88,6142,6147,132,34.0,45.0,6093.0,6104.0,101.0,117.0,6160.0,6176.0,verb.contact,True,34,subject,The two chiefs Kumaso and Takeru's enemy,1,0,1,unknown,0.0,tertiary
45,1,come,14,18,6217,6221,130,10.0,13.0,6213.0,6216.0,,,,,verb.motion,True,35,subject,a beautiful woman,2,2,4,female,1.0,tertiary
46,2,looked,76,82,6305,6311,30,73.0,75.0,6302.0,6304.0,,,,,verb.perception,True,36,subject,Kumaso,6,9,15,male,1.0,tertiary
48,0,felt,12,16,6432,6436,29,0.0,11.0,6420.0,6431.0,,,,,verb.perception,True,38,subject,Yamato,27,125,152,male,1.0,secondary
49,2,approached,74,84,6591,6601,29,71.0,73.0,6588.0,6590.0,101.0,116.0,6618.0,6633.0,verb.motion,True,40,subject,Yamato,27,125,152,male,1.0,secondary
50,1,drank,55,60,6731,6736,30,48.0,54.0,6724.0,6730.0,83.0,133.0,6759.0,6809.0,verb.consumption,True,39,subject,Kumaso,6,9,15,male,1.0,tertiary
52,1,seized,31,37,6974,6980,30,28.0,30.0,6971.0,6973.0,,,,,verb.contact,True,41,subject,Kumaso,6,9,15,male,1.0,tertiary
53,6,escape,99,105,7213,7219,31,0.0,29.0,7114.0,7143.0,,,,,verb.motion,True,42,subject,Idzumo Takeru,10,19,29,male,1.0,tertiary
53,6,escape,99,105,7213,7219,139,0.0,29.0,7114.0,7143.0,,,,,verb.motion,True,42,subject,the brigand 's brother,1,0,1,male,1.0,tertiary
53,6,escape,99,105,7213,7219,138,0.0,29.0,7114.0,7143.0,,,,,verb.motion,True,42,subject,the brigand,4,7,11,male,1.0,tertiary
54,1,reach,13,18,7275,7280,31,4.0,6.0,7266.0,7268.0,,,,,verb.motion,True,43,subject,Idzumo Takeru,10,19,29,male,1.0,tertiary
56,1,seized,37,43,7519,7525,138,34.0,36.0,7516.0,7518.0,,,,,verb.contact,True,44,subject,the brigand,4,7,11,male,1.0,tertiary
57,1,said,37,41,7582,7586,29,0.0,6.0,7545.0,7551.0,,,,,verb.communication,True,47,subject,Yamato,27,125,152,male,1.0,secondary
59,3,come,72,76,7696,7700,92,68.0,71.0,7692.0,7695.0,,,,,verb.motion,True,46,subject,The Prince,32,204,236,male,1.0,primary
60,0,believed,11,19,7754,7762,138,9.0,10.0,7752.0,7753.0,,,,,verb.cognition,True,45,subject,the brigand,4,7,11,male,1.0,tertiary
61,4,killed,73,79,7948,7954,92,51.0,54.0,7926.0,7929.0,,,,,verb.contact,True,48,subject,The Prince,32,204,236,male,1.0,primary
65,0,held,7,11,8249,8253,90,4.0,6.0,8246.0,8248.0,36.0,58.0,8278.0,8300.0,verb.contact,True,50,subject,The young Prince,3,10,13,male,1.0,tertiary
67,2,overcome,46,54,8424,8432,388,15.0,27.0,8393.0,8405.0,,,,,verb.competition,True,51,subject,a strong man,1,0,1,male,1.0,tertiary
70,0,bequeath,12,20,8533,8541,147,0.0,9.0,8521.0,8530.0,28.0,42.0,8549.0,8563.0,verb.cognition,True,53,subject,the dying man,1,3,4,male,1.0,tertiary
71,1,died,49,53,8629,8633,31,28.0,34.0,8608.0,8614.0,,,,,verb.change,True,55,subject,Idzumo Takeru,10,19,29,male,1.0,tertiary
72,3,return,101,107,8736,8742,92,0.0,10.0,8635.0,8645.0,,,,,verb.motion,True,57,subject,The Prince,32,204,236,male,1.0,primary
74,2,knew,59,63,8874,8878,92,56.0,58.0,8871.0,8873.0,,,,,verb.cognition,True,56,subject,The Prince,32,204,236,male,1.0,primary
75,2,feigned,36,43,8947,8954,92,0.0,2.0,8911.0,8913.0,70.0,91.0,8981.0,9002.0,verb.communication,True,58,subject,The Prince,32,204,236,male,1.0,primary
76,3,jammed,45,51,9049,9055,92,17.0,19.0,9021.0,9023.0,55.0,62.0,9059.0,9066.0,verb.contact,True,59,subject,The Prince,32,204,236,male,1.0,primary
77,1,wore,43,47,9148,9152,92,5.0,7.0,9110.0,9112.0,66.0,114.0,9171.0,9219.0,verb.body,True,60,subject,The Prince,32,204,236,male,1.0,primary
