sentence_id,event_id,temporal_rank
2,2,0
3,3,1
4,1,2
5,1,3
6,3,4
9,2,5
7,1,6
11,1,7
12,1,8
13,0,9
14,3,10
15,2,11
16,0,12
17,0,13
18,1,14
22,0,15
20,0,16
23,5,17
25,0,18
24,8,19
31,1,20
28,3,21
33,2,22
34,2,23
37,11,24
36,5,25
38,1,26
40,1,27
39,0,28
41,4,29
43,5,30
42,1,31
44,3,32
45,1,33
46,1,34
48,2,35
47,0,36
49,3,37
50,3,38
52,2,39
53,0,40
55,1,41
54,0,42
56,1,43
57,1,44
58,5,45
60,6,46
59,2,47
61,1,48
62,2,49
65,1,50
64,3,51
63,0,52
68,1,53
69,2,54
72,1,55
71,3,56
73,2,57
74,2,58
75,2,59
76,3,60
77,2,61
79,3,62
82,0,63
83,1,64
87,4,65
84,2,66
89,1,67
88,0,68
90,1,69
91,3,70
92,0,71
93,2,72
94,0,73
95,0,74
96,7,75
97,5,76
98,0,77
99,2,78
100,1,79
101,2,80
104,1,81
103,0,82
105,3,83
106,1,84
107,0,85
108,1,86
109,1,87
110,0,88
111,2,89
113,2,90
112,1,91
114,2,92
116,3,93
115,1,94
118,0,95
119,2,96
122,3,97
123,0,98
124,1,99
125,1,100
126,0,101
127,1,102
130,3,103
129,1,104
128,8,105
131,1,106
132,3,107
136,2,108
134,1,109
133,1,110
