sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
Every day he went into the garden and counted them to see that none were missing. ,counted,BEFORE,"But, one morning, he found that a pear had been taken during the night, and thereat he was troubled and vexed to the heart, for the pear-tree was as dear to him as the apple of his eye. ",found,1,2,1,0
"But, one morning, he found that a pear had been taken during the night, and thereat he was troubled and vexed to the heart, for the pear-tree was as dear to him as the apple of his eye. ",found,BEFORE,"But, one morning, he found that a pear had been taken during the night, and thereat he was troubled and vexed to the heart, for the pear-tree was as dear to him as the apple of his eye. ",vexed,2,2,0,5
"But, one morning, he found that a pear had been taken during the night, and thereat he was troubled and vexed to the heart, for the pear-tree was as dear to him as the apple of his eye. ",vexed,AFTER,"Now, the king had three sons, and so he called the eldest prince to him. ",had,2,3,5,0
"Now, the king had three sons, and so he called the eldest prince to him. ",had,BEFORE,"Now, the king had three sons, and so he called the eldest prince to him. ",called,3,3,0,1
"Now, the king had three sons, and so he called the eldest prince to him. ",called,BEFORE,"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",have,3,4,1,8
"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",have,AFTER,"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",said,4,4,8,1
"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",said,AFTER,"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",watch,4,4,1,3
"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",watch,BEFORE,"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",find,4,4,3,5
"""See,"" said he, ""if you will watch my pear-tree to-night, and will find me the thief who stole the pear, you shall have half of my kingdom now, and the whole of it when I am gone."" ",find,BEFORE,"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",guess,4,5,5,1
"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",guess,AFTER,"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",tickled,5,5,1,3
"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",tickled,BEFORE,"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",watch,5,5,3,5
"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",watch,BEFORE,"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",come,5,5,5,7
"You can guess how the prince was tickled at this: oh, yes, he would watch the tree, and if the thief should come he should not get away again as easily. ",come,AFTER,"He waited and waited, and still he saw not so much as a thread or a hair. ",saw,5,7,7,2
"He waited and waited, and still he saw not so much as a thread or a hair. ",saw,BEFORE,"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",came,7,8,2,0
"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",came,AFTER,"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",heard,8,8,0,2
"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",heard,BEFORE,"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",knew,8,8,2,3
"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",knew,AFTER,"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",snoring,8,8,3,6
"But about the middle of the night there came the very prettiest music that his ears had ever heard, and before he knew what he was about he was asleep and snoring until the little leaves shook upon the tree. ",snoring,BEFORE,"When the morning came and he awoke, another pear was gone, and he could tell no more about it than the man in the moon. ",awoke,8,9,6,1
"When the morning came and he awoke, another pear was gone, and he could tell no more about it than the man in the moon. ",awoke,BEFORE,"When the morning came and he awoke, another pear was gone, and he could tell no more about it than the man in the moon. ",tell,9,9,1,5
"When the morning came and he awoke, another pear was gone, and he could tell no more about it than the man in the moon. ",tell,BEFORE,The next night the second son set out to watch the pear-tree. ,watch,9,10,5,1
The next night the second son set out to watch the pear-tree. ,watch,BEFORE,But he fared no better than the first. ,fared,10,11,1,0
But he fared no better than the first. ,fared,BEFORE,"About midnight came the music, and in a little while he was snoring till the stones rattled. ",snoring,11,12,0,2
"About midnight came the music, and in a little while he was snoring till the stones rattled. ",snoring,BEFORE,"When the morning came another pear was gone, and he had no more to tell about it than his brother. ",had,12,13,2,3
"When the morning came another pear was gone, and he had no more to tell about it than his brother. ",had,BEFORE,"When the morning came another pear was gone, and he had no more to tell about it than his brother. ",tell,13,13,3,4
"When the morning came another pear was gone, and he had no more to tell about it than his brother. ",tell,AFTER,"The third night it was the turn of the youngest son, and he was more clever than the others, for, when the evening came, he stuffed his ears full of wax, so that he was as deaf as a post. ",stuffed,13,14,4,3
"The third night it was the turn of the youngest son, and he was more clever than the others, for, when the evening came, he stuffed his ears full of wax, so that he was as deaf as a post. ",stuffed,BEFORE,"About midnight, when the music came, he heard nothing of it, and so he stayed wide awake. ",heard,14,15,3,1
"About midnight, when the music came, he heard nothing of it, and so he stayed wide awake. ",heard,BEFORE,"About midnight, when the music came, he heard nothing of it, and so he stayed wide awake. ",stayed,15,15,1,2
"About midnight, when the music came, he heard nothing of it, and so he stayed wide awake. ",stayed,BEFORE,"After the music had ended he took the wax out of his ears, so that he might listen for the coming of the thief. ",took,15,16,2,2
"After the music had ended he took the wax out of his ears, so that he might listen for the coming of the thief. ",took,BEFORE,"After the music had ended he took the wax out of his ears, so that he might listen for the coming of the thief. ",listen,16,16,2,4
"After the music had ended he took the wax out of his ears, so that he might listen for the coming of the thief. ",listen,BEFORE,"It began picking at one of the pears, and then the prince raised his gun to shoot at it. ",raised,16,18,4,2
"It began picking at one of the pears, and then the prince raised his gun to shoot at it. ",raised,BEFORE,"It began picking at one of the pears, and then the prince raised his gun to shoot at it. ",shoot,18,18,2,3
"It began picking at one of the pears, and then the prince raised his gun to shoot at it. ",shoot,BEFORE,"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",looked,18,19,3,0
"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",looked,BEFORE,"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",saw,19,19,0,2
"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",saw,AFTER,"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",looked,19,19,2,4
"But when he looked along the barrel it was not a swan that he saw up in the pear-tree, but the prettiest girl that he had ever looked upon. ",looked,BEFORE,"""Don't shoot me, king's son! ",shoot,19,20,4,1
"""Don't shoot me, king's son! ",shoot,BEFORE,"Don't shoot me!"" ",shoot,20,21,1,1
"Don't shoot me!"" ",shoot,BEFORE,cried she. ,cried,21,22,1,0
cried she. ,cried,BEFORE,"But the prince had no thought of shooting her, for he had never seen such a beautiful maiden in all of his days. ",had,22,23,0,0
"But the prince had no thought of shooting her, for he had never seen such a beautiful maiden in all of his days. ",had,BEFORE,"But the prince had no thought of shooting her, for he had never seen such a beautiful maiden in all of his days. ",shooting,23,23,0,1
