sentence_id,event_id,temporal_rank
5,1,0
6,2,1
11,1,2
19,0,3
21,1,4
22,0,5
23,0,6
25,2,7
26,1,8
28,0,9
29,0,10
32,1,11
31,2,12
33,2,13
34,0,14
36,0,15
38,1,16
37,0,17
41,0,18
42,1,19
45,0,20
52,0,21
51,1,22
46,1,23
53,1,24
55,0,25
54,1,26
56,4,27
58,1,28
62,1,29
61,3,30
64,0,31
65,0,32
70,0,33
69,0,34
71,0,35
74,0,36
77,3,37
82,1,38
80,0,39
83,1,40
84,3,41
89,0,42
96,0,43
97,0,44
101,0,45
99,0,46
104,0,47
103,0,48
107,1,49
111,0,50
109,2,51
115,0,52
113,0,53
131,1,54
127,0,55
132,0,56
133,0,57
134,0,58
