sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,0,awoke,23,28,23,28,9,0.0,22.0,0.0,22.0,,,,,,,,,,verb.body,1
1,0,went,28,32,77,81,,15.0,27.0,64.0,76.0,9,33.0,35.0,82.0,84.0,36.0,49.0,85.0,98.0,verb.motion,1
1,1,pray,45,49,94,98,9,33.0,35.0,82.0,84.0,,,,,,,,,,verb.communication,1
5,1,say,54,57,334,337,3,0.0,30.0,280.0,310.0,,,,,,,,,,verb.communication,1
7,0,said,49,53,448,452,3,30.0,45.0,429.0,444.0,,,,,,,,,,verb.communication,1
9,0,loving,19,25,534,540,,,,,,3,26.0,34.0,541.0,549.0,,,,,verb.emotion,1
11,0,pray'd,3,9,649,655,3,0.0,2.0,646.0,648.0,,10.0,36.0,656.0,682.0,38.0,66.0,684.0,712.0,verb.communication,1
11,1,pray'd,41,47,687,693,3,38.0,40.0,684.0,686.0,,,,,,,,,,verb.social,1
13,0,pray'd,3,9,779,785,3,0.0,2.0,776.0,778.0,,10.0,18.0,786.0,794.0,19.0,30.0,795.0,806.0,verb.communication,1
13,1,pray'd,35,41,811,817,3,32.0,34.0,808.0,810.0,3,42.0,44.0,818.0,820.0,,,,,verb.social,1
16,0,arose,23,28,984,989,9,0.0,22.0,961.0,983.0,9,29.0,42.0,990.0,1003.0,,,,,verb.motion,1
17,0,heard,3,8,1008,1013,9,0.0,2.0,1005.0,1007.0,,9.0,54.0,1014.0,1059.0,,,,,verb.perception,1
19,1,heard,47,52,1164,1169,9,0.0,26.0,1117.0,1143.0,,,,,,,,,,verb.perception,1
22,1,heard,13,18,1228,1233,9,0.0,2.0,1215.0,1217.0,,19.0,29.0,1234.0,1244.0,30.0,61.0,1245.0,1276.0,verb.perception,1
25,1,hearken,23,30,1348,1355,,,,,,21,31.0,41.0,1356.0,1366.0,,,,,verb.cognition,1
25,3,tire,54,58,1379,1383,21,31.0,41.0,1356.0,1366.0,,,,,,,,,,verb.cognition,1
26,0,bethought,21,30,1406,1415,9,13.0,15.0,1398.0,1400.0,9,31.0,34.0,1416.0,1419.0,,,,,verb.cognition,1
26,2,stay,55,59,1440,1444,9,36.0,38.0,1421.0,1423.0,,,,,,,,,,verb.motion,1
27,0,blessed,6,13,1452,1459,9,3.0,5.0,1449.0,1451.0,,14.0,43.0,1460.0,1489.0,,,,,verb.communication,1
27,1,went,56,60,1502,1506,9,3.0,5.0,1449.0,1451.0,,,,,,,,,,verb.motion,1
28,0,came,13,17,1529,1533,9,10.0,12.0,1526.0,1528.0,9,18.0,30.0,1534.0,1546.0,,,,,verb.motion,1
