sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
2,0,made,3,7,478,482,8,0.0,2.0,475.0,477.0,57.0,88.0,532.0,563.0,verb.social,2,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
2,1,decoy,31,36,506,511,8,0.0,2.0,475.0,477.0,57.0,72.0,532.0,547.0,verb.social,3,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
3,4,thinned,73,80,638,645,0,47.0,65.0,612.0,630.0,108.0,125.0,673.0,690.0,verb.change,5,subject,Mudjee Monedo,4.0,13.0,17.0,male,1.0,tertiary
5,0,had,3,6,779,782,8,0.0,2.0,776.0,778.0,,,,,verb.possession,4,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
5,1,assume,20,26,796,802,8,0.0,2.0,776.0,778.0,,,,,verb.cognition,6,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
5,3,challenge,91,100,867,876,8,77.0,80.0,853.0,856.0,,,,,verb.competition,8,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
5,4,sought,112,118,888,894,8,109.0,111.0,885.0,887.0,,,,,verb.contact,7,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
5,5,destroy,122,129,898,905,8,109.0,111.0,885.0,887.0,,,,,verb.creation,11,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
6,0,had,3,6,927,930,8,0.0,2.0,924.0,926.0,,,,,verb.possession,10,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
6,2,ran,33,36,957,960,8,9.0,20.0,933.0,944.0,,,,,verb.motion,9,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
6,4,ran,81,84,1005,1008,8,71.0,73.0,995.0,997.0,104.0,158.0,1028.0,1082.0,verb.motion,13,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
8,0,ran,17,20,1167,1170,8,14.0,16.0,1164.0,1166.0,,,,,verb.motion,12,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
8,3,beat,57,61,1207,1211,17,32.0,38.0,1182.0,1188.0,,,,,verb.competition,16,subject,no man,2.0,0.0,2.0,male,1.0,tertiary
9,1,pressed,21,28,1250,1257,8,14.0,16.0,1243.0,1245.0,,,,,verb.competition,15,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
9,2,changed,38,45,1267,1274,8,1.0,16.0,1230.0,1245.0,,,,,verb.change,17,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
9,5,leave,129,134,1358,1363,8,35.0,37.0,1264.0,1266.0,,,,,verb.cognition,18,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
10,2,running,97,104,1484,1491,21,67.0,80.0,1454.0,1467.0,,,,,verb.motion,19,subject,the young men,1.0,4.0,5.0,male,1.0,tertiary
11,1,called,25,31,1526,1532,8,22.0,24.0,1523.0,1525.0,46.0,86.0,1547.0,1587.0,verb.communication,20,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
12,1,die,18,21,1607,1610,21,0.0,4.0,1589.0,1593.0,,,,,verb.change,21,subject,the young men,1.0,4.0,5.0,male,1.0,tertiary
12,3,called,30,36,1619,1625,21,0.0,4.0,1589.0,1593.0,,,,,verb.communication,24,subject,the young men,1.0,4.0,5.0,male,1.0,tertiary
13,2,assuming,89,97,1724,1732,24,22.0,32.0,1657.0,1667.0,,,,,verb.creation,23,subject,The manito,18.0,34.0,52.0,male,1.0,secondary
13,5,overcome,182,190,1817,1825,8,175.0,177.0,1810.0,1812.0,,,,,verb.competition,22,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
13,6,adopted,211,218,1846,1853,8,208.0,210.0,1843.0,1845.0,,,,,verb.change,25,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
13,7,visited,246,253,1881,1888,8,208.0,210.0,1843.0,1845.0,265.0,283.0,1900.0,1918.0,verb.social,26,subject,a wicked manito,1.0,35.0,36.0,male,1.0,tertiary
14,3,getting,84,91,2062,2069,28,64.0,78.0,2042.0,2056.0,,,,,verb.change,27,subject,the young boys,1.0,3.0,4.0,male,1.0,tertiary
