sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Their father and mother were dead, and they had no brothers, so the eldest girl ruled over the rest. ",had,BEFORE,"Their father and mother were dead, and they had no brothers, so the eldest girl ruled over the rest. ",ruled,3,3,1,2
"Their father and mother were dead, and they had no brothers, so the eldest girl ruled over the rest. ",ruled,BEFORE,They all did as she bade them. ,bade,3,4,2,1
They all did as she bade them. ,bade,BEFORE,One sister had to clean the house. ,clean,4,5,1,1
One sister had to clean the house. ,clean,BEFORE,"A third cooked their food, while to the youngest fell the hardest task of all. ",cooked,5,7,1,0
"A third cooked their food, while to the youngest fell the hardest task of all. ",cooked,BEFORE,"A third cooked their food, while to the youngest fell the hardest task of all. ",fell,7,7,0,1
"A third cooked their food, while to the youngest fell the hardest task of all. ",fell,BEFORE,She had to cut and bring home the wood which was to keep the fire continually burning. ,cut,7,8,1,1
She had to cut and bring home the wood which was to keep the fire continually burning. ,cut,BEFORE,She had to cut and bring home the wood which was to keep the fire continually burning. ,bring,8,8,1,2
She had to cut and bring home the wood which was to keep the fire continually burning. ,bring,AFTER,"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",fed,8,10,2,1
"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",fed,BEFORE,"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",threw,10,10,1,5
"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",threw,BEFORE,"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",went,10,10,5,6
"When she had fed the fire and heaped up in a corner the sticks that were to supply it till the next day, she often threw herself down under a tree, and went sound asleep. ",went,BEFORE,"One morning, however, as she was staggering along with her bundle on her back, she thought that the river which flowed past their hut looked so cool and inviting. ",thought,10,11,6,1
"One morning, however, as she was staggering along with her bundle on her back, she thought that the river which flowed past their hut looked so cool and inviting. ",thought,AFTER,"One morning, however, as she was staggering along with her bundle on her back, she thought that the river which flowed past their hut looked so cool and inviting. ",looked,11,11,1,3
"One morning, however, as she was staggering along with her bundle on her back, she thought that the river which flowed past their hut looked so cool and inviting. ",looked,BEFORE,"She determined to bathe in it, instead of taking her usual nap. ",determined,11,12,3,0
"She determined to bathe in it, instead of taking her usual nap. ",determined,BEFORE,"She determined to bathe in it, instead of taking her usual nap. ",bathe,12,12,0,1
"She determined to bathe in it, instead of taking her usual nap. ",bathe,AFTER,"She determined to bathe in it, instead of taking her usual nap. ",taking,12,12,1,2
"She determined to bathe in it, instead of taking her usual nap. ",taking,BEFORE,She ran down to the river and jumped in. ,ran,12,14,2,0
She ran down to the river and jumped in. ,ran,BEFORE,She ran down to the river and jumped in. ,jumped,14,14,0,1
She ran down to the river and jumped in. ,jumped,BEFORE,But after a while she began to look about her. ,began,14,16,1,0
But after a while she began to look about her. ,began,BEFORE,But after a while she began to look about her. ,look,16,16,0,1
But after a while she began to look about her. ,look,BEFORE,Her eyes fell on a little fish that seemed made out of a rainbow. ,fell,16,17,1,0
Her eyes fell on a little fish that seemed made out of a rainbow. ,fell,BEFORE,"'I should like him for a pet,' thought the girl. ",like,17,19,0,1
"'I should like him for a pet,' thought the girl. ",like,BEFORE,"'I should like him for a pet,' thought the girl. ",thought,19,19,1,2
"'I should like him for a pet,' thought the girl. ",thought,BEFORE,"The next time the fish swam by, she put out her hand and caught him. ",caught,19,20,2,2
"The next time the fish swam by, she put out her hand and caught him. ",caught,BEFORE,Then she ran along the grassy path till she came to a cave in front of which a stream fell over some rocks into a basin. ,ran,20,21,2,0
Then she ran along the grassy path till she came to a cave in front of which a stream fell over some rocks into a basin. ,ran,BEFORE,Then she ran along the grassy path till she came to a cave in front of which a stream fell over some rocks into a basin. ,came,21,21,0,1
Then she ran along the grassy path till she came to a cave in front of which a stream fell over some rocks into a basin. ,came,BEFORE,"Here she put her little fish, whose name was Djulung-djulung, and promising to return soon and bring him some dinner. ",put,21,22,1,0
"Here she put her little fish, whose name was Djulung-djulung, and promising to return soon and bring him some dinner. ",put,BEFORE,"Here she put her little fish, whose name was Djulung-djulung, and promising to return soon and bring him some dinner. ",promising,22,22,0,2
"Here she put her little fish, whose name was Djulung-djulung, and promising to return soon and bring him some dinner. ",promising,AFTER,The eldest sister gave the other six their portions in wooden bowls. ,gave,22,25,2,0
The eldest sister gave the other six their portions in wooden bowls. ,gave,BEFORE,"But the youngest did not finish hers, and when no one was looking, stole off to the fountain in the forest where the little fish was swimming about. ",finish,25,26,0,1
"But the youngest did not finish hers, and when no one was looking, stole off to the fountain in the forest where the little fish was swimming about. ",finish,BEFORE,"I have not forgotten you,' she cried. ",forgotten,26,28,1,1
"I have not forgotten you,' she cried. ",forgotten,BEFORE,"I have not forgotten you,' she cried. ",cried,28,28,1,2
"I have not forgotten you,' she cried. ",cried,BEFORE,"One by one she let the grains of rice fall into the water, where the fish gobbled them up greedily. ",let,28,29,2,0
"One by one she let the grains of rice fall into the water, where the fish gobbled them up greedily. ",let,BEFORE,"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",said,29,31,0,1
"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",said,BEFORE,"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",come,31,31,1,3
"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",come,AFTER,"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",biding,31,31,3,5
"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",biding,BEFORE,"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",went,31,31,5,6
"'That is all for to-day,' she said at last, 'but I will come again to-morrow,' and biding him good-bye she went down the path. ",went,BEFORE,"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",tell,31,32,6,1
"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",tell,AFTER,"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",saved,32,32,1,2
"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",saved,BEFORE,"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",give,32,32,2,3
"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",give,BEFORE,"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",called,32,32,3,4
"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",called,AFTER,"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",made,32,32,4,6
"Now the girl did not tell her sisters about the fish, but every day she saved half of her rice to give him, and called him softly in a little song she had made for herself. ",made,BEFORE,"If she sometimes felt hungry, no one knew of it, and, indeed, she did not mind that much, when she saw how the fish enjoyed it. ",felt,32,33,6,0
"If she sometimes felt hungry, no one knew of it, and, indeed, she did not mind that much, when she saw how the fish enjoyed it. ",felt,BEFORE,"If she sometimes felt hungry, no one knew of it, and, indeed, she did not mind that much, when she saw how the fish enjoyed it. ",mind,33,33,0,3
"If she sometimes felt hungry, no one knew of it, and, indeed, she did not mind that much, when she saw how the fish enjoyed it. ",mind,BEFORE,"If she sometimes felt hungry, no one knew of it, and, indeed, she did not mind that much, when she saw how the fish enjoyed it. ",saw,33,33,3,4
