sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,0,married,52,59,52,59,"21,13,12,22",0.0,50.0,0.0,50.0,23,60.0,155.0,60.0,155.0,,,,,verb.social,1,True
1,0,had,5,8,162,165,,0.0,4.0,157.0,161.0,"26,14,27",9.0,50.0,166.0,207.0,,,,,verb.possession,1,True
2,2,evinced,95,102,304,311,14,92.0,94.0,301.0,303.0,14,103.0,210.0,312.0,419.0,,,,,verb.communication,1,True
4,2,performed,113,122,608,617,29,73.0,77.0,568.0,572.0,,,,,,,,,,verb.creation,1,True
6,4,came,180,184,871,875,,,,,,35,185.0,227.0,876.0,918.0,,,,,verb.motion,1,True
7,6,wending,120,127,1040,1047,14,82.0,104.0,1002.0,1024.0,,128.0,137.0,1048.0,1057.0,138.0,158.0,1058.0,1078.0,verb.motion,1,True
8,4,taught,98,104,1178,1184,40,66.0,92.0,1146.0,1172.0,,105.0,143.0,1185.0,1223.0,,,,,verb.communication,1,True
9,2,resolved,63,71,1362,1370,14,23.0,25.0,1322.0,1324.0,"46,15,45,14",72.0,144.0,1371.0,1443.0,,,,,verb.cognition,1,True
10,0,saw,17,20,1462,1465,14,14.0,16.0,1459.0,1461.0,,21.0,27.0,1466.0,1472.0,,,,,verb.perception,1,True
11,3,confined,41,49,1515,1523,14,34.0,36.0,1508.0,1510.0,,,,,,,,,,verb.social,1,True
12,4,said,141,145,1696,1700,12,124.0,127.0,1679.0,1682.0,14,146.0,202.0,1701.0,1757.0,,,,,verb.communication,1,True
13,2,detain,50,56,1809,1815,,,,,,14,57.0,60.0,1816.0,1819.0,61.0,79.0,,,verb.social,1,True
14,0,concealed,13,22,1853,1862,14,5.0,12.0,1845.0,1852.0,14,23.0,33.0,1863.0,1873.0,,,,,verb.perception,1,True
15,1,selecting,36,45,1992,2001,14,14.0,16.0,1970.0,1972.0,,46.0,64.0,2002.0,2020.0,,,,,verb.cognition,1,True
16,1,rest,20,24,2129,2133,14,0.0,2.0,2109.0,2111.0,,,,,,,,,,verb.body,1,True
17,1,travelling,29,39,2184,2194,14,11.0,13.0,2166.0,2168.0,,,,,,,,,,verb.motion,1,True
18,1,strapped,16,24,2273,2281,14,0.0,11.0,2257.0,2268.0,14,25.0,49.0,2282.0,2306.0,,,,,verb.contact,1,True
19,2,ran,62,65,2408,2411,14,0.0,2.0,2346.0,2348.0,,,,,,,,,,verb.motion,1,True
20,0,sat,57,60,2599,2602,"15,56",29.0,56.0,2571.0,2598.0,,,,,,,,,,verb.contact,1,True
22,1,resounded,114,123,2847,2856,62,57.0,113.0,2790.0,2846.0,,,,,,,,,,verb.perception,1,True
