sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,4,died,45.0,49.0,150.0,154.0,5,20.0,28.0,125.0,133.0,,,,,verb.change,True,0,subject,a man,2,6,8,male,1.0,tertiary
1,4,died,45.0,49.0,150.0,154.0,6,20.0,28.0,125.0,133.0,,,,,verb.change,True,0,subject,a man's wife,1,0,1,female,1.0,tertiary
2,0,married,8.0,15.0,208.0,215.0,5,5.0,7.0,205.0,207.0,,,,,verb.social,True,1,subject,a man,2,6,8,male,1.0,tertiary
3,2,obliged,61.0,68.0,294.0,301.0,12,54.0,56.0,287.0,289.0,,,,,verb.communication,True,2,subject,the son,1,1,2,male,1.0,tertiary
4,3,heard,144.0,149.0,521.0,526.0,18,127.0,143.0,504.0,520.0,,,,,verb.perception,True,3,subject,The bracket bull,13,77,90,male,1.0,secondary
5,4,lay,84.0,87.0,655.0,658.0,17,39.0,42.0,610.0,613.0,,,,,verb.contact,True,4,subject,the lad,33,146,179,male,1.0,primary
7,3,twisted,68.0,75.0,818.0,825.0,18,19.0,21.0,769.0,771.0,,,,,verb.contact,True,6,subject,The bracket bull,13,77,90,male,1.0,secondary
8,0,laid,3.0,7.0,872.0,876.0,18,0.0,2.0,869.0,871.0,,,,,verb.contact,True,7,subject,The bracket bull,13,77,90,male,1.0,secondary
9,3,ate,83.0,86.0,1042.0,1045.0,18,80.0,82.0,1039.0,1041.0,,,,,verb.consumption,True,8,subject,The bracket bull,13,77,90,male,1.0,secondary
10,1,eaten,23.0,28.0,1091.0,1096.0,18,12.0,22.0,1080.0,1090.0,,,,,verb.consumption,True,9,subject,The bracket bull,13,77,90,male,1.0,secondary
11,9,eating,180.0,186.0,1380.0,1386.0,18,169.0,171.0,1369.0,1371.0,,,,,verb.consumption,True,10,subject,The bracket bull,13,77,90,male,1.0,secondary
12,1,sent,61.0,65.0,1467.0,1471.0,18,46.0,60.0,1452.0,1466.0,83.0,86.0,1489.0,1492.0,verb.motion,True,11,subject,The bracket bull,13,77,90,male,1.0,secondary
12,1,sent,61.0,65.0,1467.0,1471.0,20,46.0,60.0,1452.0,1466.0,83.0,86.0,1489.0,1492.0,verb.motion,True,11,subject,The bracket bull's stepmother,2,2,4,female,1.0,tertiary
13,0,went,13.0,17.0,1600.0,1604.0,24,0.0,12.0,1587.0,1599.0,,,,,verb.motion,True,12,subject,the daughter,5,16,21,female,1.0,tertiary
14,2,heard,44.0,49.0,1733.0,1738.0,24,40.0,43.0,1729.0,1732.0,,,,,verb.perception,True,13,subject,the daughter,5,16,21,female,1.0,tertiary
15,0,came,9.0,13.0,1845.0,1849.0,25,0.0,8.0,1836.0,1844.0,,,,,verb.motion,True,14,subject,The bull,2,0,2,unknown,0.0,tertiary
17,6,drove,100.0,105.0,2111.0,2116.0,18,97.0,99.0,2108.0,2110.0,115.0,124.0,2126.0,2135.0,verb.motion,True,15,subject,The bracket bull,13,77,90,male,1.0,secondary
18,3,said,64.0,68.0,2201.0,2205.0,24,60.0,63.0,2197.0,2200.0,,,,,verb.communication,True,17,subject,the daughter,5,16,21,female,1.0,tertiary
19,1,eat,16.0,19.0,2240.0,2243.0,17,0.0,7.0,2224.0,2231.0,,,,,verb.consumption,True,16,subject,the lad,33,146,179,male,1.0,primary
20,4,watching,105.0,113.0,2414.0,2422.0,34,60.0,79.0,2369.0,2388.0,118.0,171.0,2427.0,2480.0,verb.social,True,18,subject,the second daughter,1,1,2,female,1.0,tertiary
21,0,followed,13.0,21.0,2495.0,2503.0,24,0.0,12.0,2482.0,2494.0,,,,,verb.social,True,19,subject,the daughter,5,16,21,female,1.0,tertiary
22,3,ate,83.0,86.0,2689.0,2692.0,17,0.0,7.0,2606.0,2613.0,,,,,verb.consumption,True,20,subject,the lad,33,146,179,male,1.0,primary
