sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There was once a king in Ireland, and he had three daughters, and very nice princesses they were. ",had,BEFORE,"And one day, when they and their father were walking on the lawn, the king began to joke with them, and to ask them whom they would like to be married to. ",walking,0,1,1,1
"And one day, when they and their father were walking on the lawn, the king began to joke with them, and to ask them whom they would like to be married to. ",walking,BEFORE,"'I'll have the king of Ulster for a husband,' says one; ",says,1,2,1,2
"'I'll have the king of Ulster for a husband,' says one; ",says,BEFORE," 'and I'll have the king of Munster,' says another; ",says,2,3,2,2
" 'and I'll have the king of Munster,' says another; ",says,BEFORE," 'and,' says the youngest, 'I'll have no husband but the Brown Bear of Norway.' ",says,3,4,2,0
" 'and,' says the youngest, 'I'll have no husband but the Brown Bear of Norway.' ",says,AFTER,"For a nurse of hers used to be telling her of an enchanted prince that she called by that name, and she fell in love with him, and his name was the first name on her tongue, for the very night before she was dreaming of him. ",dreaming,4,5,0,7
"For a nurse of hers used to be telling her of an enchanted prince that she called by that name, and she fell in love with him, and his name was the first name on her tongue, for the very night before she was dreaming of him. ",dreaming,BEFORE,"Well, one laughed, and another laughed, and they joked with the princess all the rest of the evening. ",joked,5,6,7,2
"Well, one laughed, and another laughed, and they joked with the princess all the rest of the evening. ",joked,BEFORE," the richest carpets were on the floor, and the walls were covered with cloth of gold and silver, and the place was full of grand company, and the very beautiful prince she saw in her dreams was there, and it wasn't a moment till he was on one knee before her, and telling her how much he loved her, and asking her wouldn't she be his queen. ",asking,6,8,2,10
" the richest carpets were on the floor, and the walls were covered with cloth of gold and silver, and the place was full of grand company, and the very beautiful prince she saw in her dreams was there, and it wasn't a moment till he was on one knee before her, and telling her how much he loved her, and asking her wouldn't she be his queen. ",asking,BEFORE,"Well, she hadn't the heart to refuse him, and married they were the same evening. ",refuse,8,9,10,1
"Well, she hadn't the heart to refuse him, and married they were the same evening. ",refuse,BEFORE,"'Now, my darling,' says he, when they were left by themselves, 'you must know that I am under enchantment. ",know,9,10,1,4
"'Now, my darling,' says he, when they were left by themselves, 'you must know that I am under enchantment. ",know,AFTER,"A sorceress, that had a beautiful daughter, wished me for her son-in-law; ",wished,10,11,4,1
"A sorceress, that had a beautiful daughter, wished me for her son-in-law; ",wished,BEFORE," but the mother got power over me, and when I refused to wed her daughter she made me take the form of a bear by day, and I was to continue so till a lady would marry me of her own free will, and endure five years of great trials after.' ",marry,11,12,1,7
" but the mother got power over me, and when I refused to wed her daughter she made me take the form of a bear by day, and I was to continue so till a lady would marry me of her own free will, and endure five years of great trials after.' ",marry,BEFORE,"Well, when the princess woke in the morning, she missed her husband from her side, and spent the day very sadly. ",spent,12,13,7,2
"Well, when the princess woke in the morning, she missed her husband from her side, and spent the day very sadly. ",spent,AFTER,"But as soon as the lamps were lighted in the grand hall, where she was sitting on a sofa covered with silk, the folding doors flew open, and he was sitting by her side the next minute. ",sitting,13,14,2,3
"But as soon as the lamps were lighted in the grand hall, where she was sitting on a sofa covered with silk, the folding doors flew open, and he was sitting by her side the next minute. ",sitting,BEFORE,"So they spent another happy evening, but he warned her that whenever she began to tire of him, or ceased to have faith in him, they would be parted for ever, and he'd be obliged to marry the witch's daughter. ",marry,14,15,3,11
"So they spent another happy evening, but he warned her that whenever she began to tire of him, or ceased to have faith in him, they would be parted for ever, and he'd be obliged to marry the witch's daughter. ",marry,AFTER,"She got used to find him absent by day, and they spent a happy twelvemonth together, and at last a beautiful little boy was born; ",got,15,16,11,0
"She got used to find him absent by day, and they spent a happy twelvemonth together, and at last a beautiful little boy was born; ",got,BEFORE," and happy as she was before, she was twice as happy now, for she had her child to keep her company in the day when she couldn't see her husband. ",had,16,17,0,2
" and happy as she was before, she was twice as happy now, for she had her child to keep her company in the day when she couldn't see her husband. ",had,BEFORE,"At last, one evening, when herself, and himself, and her child were sitting with a window open because it was a sultry night, in flew an eagle, took the infant's sash in his beak, and flew up in the air with him. ",sitting,17,18,2,1
"At last, one evening, when herself, and himself, and her child were sitting with a window open because it was a sultry night, in flew an eagle, took the infant's sash in his beak, and flew up in the air with him. ",sitting,BEFORE,"She screamed, and was going to throw herself out the window after him, but the prince caught her, and looked at her very seriously. ",looked,18,19,1,5
"She screamed, and was going to throw herself out the window after him, but the prince caught her, and looked at her very seriously. ",looked,BEFORE,"She bethought of what he said soon after their marriage, and she stopped the cries and complaints that were on her tongue. ",said,19,20,5,1
"She bethought of what he said soon after their marriage, and she stopped the cries and complaints that were on her tongue. ",said,BEFORE,"She spent her days very lonely for another twelvemonth, when a beautiful little girl was sent to her. ",sent,20,21,1,2
"She spent her days very lonely for another twelvemonth, when a beautiful little girl was sent to her. ",sent,BEFORE,Then she thought to herself she'd have a sharp eye about her this time; ,thought,21,22,2,0
Then she thought to herself she'd have a sharp eye about her this time; ,thought,BEFORE, so she never would allow a window to be more than a few inches open. ,allow,22,23,0,1
 so she never would allow a window to be more than a few inches open. ,allow,AFTER,"Another evening, when they were all so happy, and the prince dandling the baby, a beautiful greyhound stood before them, took the child out of the father's hand, and was out of the door before you could wink. ",dandling,23,25,1,1
"Another evening, when they were all so happy, and the prince dandling the baby, a beautiful greyhound stood before them, took the child out of the father's hand, and was out of the door before you could wink. ",dandling,BEFORE,"This time she shouted and ran out of the room, but there were some of the servants in the next room, and all declared that neither child nor dog passed out. ",shouted,25,26,1,0
"This time she shouted and ran out of the room, but there were some of the servants in the next room, and all declared that neither child nor dog passed out. ",shouted,BEFORE,"She felt, somehow, as if it was her husband's fault, but still she kept command over herself, and didn't once reproach him. ",kept,26,27,0,2
"She felt, somehow, as if it was her husband's fault, but still she kept command over herself, and didn't once reproach him. ",kept,BEFORE,When the third child was born she would hardly allow a window or a door to be left open for a moment; ,allow,27,28,2,3
When the third child was born she would hardly allow a window or a door to be left open for a moment; ,allow,BEFORE,"They were sitting one evening by the fire, when a lady appeared standing by them. ",appeared,28,30,3,2
"They were sitting one evening by the fire, when a lady appeared standing by them. ",appeared,BEFORE,"The princess opened her eyes in a great fright and stared at her, and while she was doing so, the lady wrapped a shawl round the baby that was sitting in its father's lap, and either sank through the ground with it or went up through the wide chimney. ",opened,30,31,2,0
"The princess opened her eyes in a great fright and stared at her, and while she was doing so, the lady wrapped a shawl round the baby that was sitting in its father's lap, and either sank through the ground with it or went up through the wide chimney. ",opened,BEFORE,"'My dear,' said she to her husband, when she was beginning to recover, 'I think I'd feel better if I was to see my father and mother and sisters once more. ",recover,31,33,0,3
"'My dear,' said she to her husband, when she was beginning to recover, 'I think I'd feel better if I was to see my father and mother and sisters once more. ",recover,BEFORE,If you give me leave to go home for a few days I'd be glad.' ,give,33,34,3,0
