sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,had,41,44,41,44,6,38.0,40.0,38.0,40.0,7,45.0,65.0,45.0,65.0,,,,,verb.possession,1,True
1,1,walking,45,52,143,150,"9,7",18.0,39.0,116.0,137.0,,,,,,,,,,verb.motion,1,True
2,2,says,46,50,299,303,"153,12,152",1.0,43.0,254.0,296.0,12,51.0,54.0,304.0,307.0,,,,,verb.communication,1,True
3,2,says,38,42,346,350,"13,154",6.0,35.0,314.0,343.0,,,,,,,,,,verb.communication,1,True
4,0,says,8,12,367,371,,,,,,14,13.0,25.0,372.0,384.0,,,,,verb.communication,1,True
5,7,dreaming,208,216,647,655,15,200.0,203.0,639.0,642.0,16,217.0,223.0,656.0,662.0,,,,,verb.cognition,1,True
6,2,joked,49,54,713,718,,44.0,48.0,708.0,712.0,19,55.0,72.0,719.0,736.0,73.0,100.0,737.0,764.0,verb.communication,1,True
8,10,asking,304,310,1177,1183,,,,,,"16,23,19",311.0,340.0,1184.0,1213.0,,,,,verb.communication,1,True
9,1,refuse,30,36,1245,1251,,,,,,16,37.0,40.0,1252.0,1255.0,,,,,verb.communication,1,True
10,4,know,73,77,1370,1374,157,64.0,67.0,1361.0,1364.0,16,78.0,105.0,1375.0,1402.0,,,,,verb.cognition,1,True
11,1,wished,44,50,1448,1454,"159,158",0.0,42.0,1404.0,1446.0,"16,160,158",51.0,53.0,1455.0,1457.0,,,,,verb.emotion,1,True
12,7,marry,161,166,1638,1643,163,148.0,154.0,1625.0,1631.0,"16,163",167.0,169.0,1644.0,1646.0,,,,,verb.social,1,True
13,2,spent,87,92,1802,1807,19,45.0,48.0,1760.0,1763.0,,93.0,100.0,1808.0,1815.0,101.0,111.0,1816.0,1826.0,verb.perception,1,True
14,3,sitting,71,78,1899,1906,19,41.0,55.0,1869.0,1883.0,,79.0,106.0,1907.0,1934.0,,,,,verb.contact,1,True
15,11,marry,181,186,2194,2199,25,162.0,164.0,2175.0,2177.0,"29,28",187.0,207.0,2200.0,2220.0,,,,,verb.social,1,True
16,0,got,4,7,2226,2229,19,0.0,3.0,2222.0,2225.0,25,8.0,38.0,2230.0,2260.0,,,,,verb.change,1,True
17,2,had,66,69,2417,2420,19,62.0,65.0,2413.0,2416.0,"31,19",70.0,99.0,2421.0,2450.0,100.0,144.0,2451.0,2495.0,verb.possession,1,True
18,1,sitting,68,75,2565,2572,"31,19,25",27.0,62.0,2524.0,2559.0,,,,,,,,,,verb.contact,1,True
19,5,looked,102,108,2812,2818,35,75.0,85.0,2785.0,2795.0,19,109.0,115.0,2819.0,2825.0,116.0,130.0,2826.0,2840.0,verb.perception,1,True
20,1,said,25,29,2867,2871,35,17.0,21.0,2859.0,2863.0,,,,,,,,,,verb.communication,1,True
21,2,sent,89,93,3054,3058,37,61.0,84.0,3026.0,3049.0,19,94.0,100.0,3059.0,3065.0,,,,,verb.communication,1,True
22,0,thought,9,16,3076,3083,19,5.0,8.0,3072.0,3075.0,19,28.0,70.0,3095.0,3137.0,,,,,verb.cognition,1,True
23,1,allow,20,25,3158,3163,19,4.0,7.0,3142.0,3145.0,,26.0,68.0,3164.0,3206.0,,,,,verb.social,1,True
25,1,dandling,61,69,3299,3307,35,50.0,60.0,3288.0,3298.0,39,70.0,78.0,3308.0,3316.0,,,,,verb.social,1,True
26,0,shouted,14,21,3461,3468,19,10.0,13.0,3457.0,3460.0,,,,,,,,,,verb.communication,1,True
27,2,kept,67,71,3671,3675,19,63.0,66.0,3667.0,3670.0,,72.0,79.0,3676.0,3683.0,80.0,92.0,3684.0,3696.0,verb.social,1,True
28,3,allow,47,52,3775,3780,19,30.0,33.0,3758.0,3761.0,,53.0,100.0,3781.0,3828.0,,,,,verb.social,1,True
30,2,appeared,55,63,3941,3949,163,48.0,54.0,3934.0,3940.0,,,,,,,,,,verb.change,1,True
31,0,opened,13,19,3981,3987,19,0.0,12.0,3968.0,3980.0,19,20.0,28.0,3988.0,3996.0,29.0,46.0,3997.0,4014.0,verb.body,1,True
33,3,recover,62,69,4329,4336,19,41.0,44.0,4308.0,4311.0,,,,,,,,,,verb.body,1,True
