sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,had,verb.possession,6,7
1,2,began,verb.change,11,7
1,3,joke,verb.communication,11,7
1,4,ask,verb.communication,11,7
2,1,have,verb.possession,12,153
2,1,have,verb.possession,12,152
2,2,says,verb.communication,153,12
2,2,says,verb.communication,12,12
2,2,says,verb.communication,152,12
3,1,have,verb.possession,13,154
4,2,have,verb.possession,14,156
4,2,have,verb.possession,14,155
5,7,dreaming,verb.cognition,15,16
8,8,telling,verb.communication,16,16
8,8,telling,verb.communication,16,19
8,9,loved,verb.emotion,16,19
10,0,says,verb.communication,16,16
10,0,says,verb.communication,157,16
10,4,know,verb.cognition,157,16
11,0,had,verb.possession,158,159
11,1,wished,verb.emotion,159,16
11,1,wished,verb.emotion,159,160
11,1,wished,verb.emotion,159,158
11,1,wished,verb.emotion,158,16
11,1,wished,verb.emotion,158,160
11,1,wished,verb.emotion,158,158
12,0,got,verb.possession,161,16
12,1,refused,verb.communication,16,162
12,1,refused,verb.communication,16,158
12,2,made,verb.communication,158,16
12,7,marry,verb.social,163,16
12,7,marry,verb.social,163,163
13,1,missed,verb.emotion,19,19
13,1,missed,verb.emotion,19,25
14,8,sitting,verb.contact,25,19
15,1,warned,verb.communication,25,29
15,1,warned,verb.communication,25,19
15,1,warned,verb.communication,25,28
15,1,warned,verb.communication,25,25
15,2,began,verb.change,19,25
15,3,ceased,verb.change,19,25
15,4,have,verb.possession,19,25
15,10,obliged,verb.communication,25,29
15,10,obliged,verb.communication,25,28
15,11,marry,verb.social,25,29
15,11,marry,verb.social,25,28
16,0,got,verb.change,19,25
16,2,find,verb.perception,19,25
17,2,had,verb.possession,19,31
17,2,had,verb.possession,19,19
17,5,see,verb.social,19,19
17,5,see,verb.social,19,25
19,3,throw,verb.contact,19,19
19,3,throw,verb.contact,19,25
19,4,caught,verb.contact,35,19
19,5,looked,verb.perception,35,19
20,0,bethought,verb.communication,19,35
21,2,sent,verb.communication,37,19
22,0,thought,verb.cognition,19,19
22,2,have,verb.perception,19,19
25,1,dandling,verb.social,35,39
25,3,took,verb.motion,35,41
25,3,took,verb.motion,35,40
25,3,took,verb.motion,39,41
25,3,took,verb.motion,39,40
26,3,declared,verb.communication,47,48
27,0,felt,verb.cognition,19,19
27,0,felt,verb.cognition,19,25
27,4,reproach,verb.communication,19,25
31,0,opened,verb.body,19,19
31,1,stared,verb.perception,19,163
31,4,wrapped,verb.contact,55,56
33,4,think,verb.cognition,19,19
33,8,see,verb.social,19,166
33,8,see,verb.social,19,167
33,8,see,verb.social,19,19
33,8,see,verb.social,19,165
34,0,give,verb.possession,25,19
36,1,found,verb.perception,19,19
38,0,told,verb.communication,19,19
39,1,said,verb.communication,19,19
39,1,said,verb.communication,19,67
39,1,said,verb.communication,19,25
39,4,help,verb.social,25,67
39,5,letting,verb.social,25,67
40,2,torn,verb.contact,69,19
41,0,consulted,verb.communication,161,72
41,0,consulted,verb.communication,167,72
42,0,said,verb.communication,19,75
42,0,said,verb.communication,19,35
42,9,help,verb.social,35,75
43,2,promised,verb.communication,19,19
44,1,see,verb.perception,19,19
44,1,see,verb.perception,19,25
46,0,began,verb.change,19,19
46,0,began,verb.change,19,25
46,1,think,verb.cognition,19,19
46,1,think,verb.cognition,19,25
46,2,minded,verb.cognition,19,19
46,2,minded,verb.cognition,19,25
46,3,leaving,verb.motion,19,19
46,3,leaving,verb.motion,25,19
46,4,found,verb.perception,19,19
46,4,found,verb.perception,19,25
48,1,saw,verb.perception,19,19
48,1,saw,verb.perception,19,25
49,0,got,verb.possession,19,19
49,0,got,verb.possession,19,25
49,2,put,verb.contact,19,19
49,2,put,verb.contact,19,25
