coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
3,some young men,themselves,5,36,46,0
3,some young men,we,6,5,7,0
3,some young men,them,13,125,129,0
3,some young men,they,7,42,46,0
3,some young men,their,7,68,73,0
3,some young men,their,7,157,162,0
3,some young men,them,8,8,12,1
3,some young men,they,9,16,20,0
3,some young men,some young men,0,62,76,0
3,some young men,they,21,143,147,0
3,some young men,them,16,159,163,0
3,some young men,them,15,66,70,1
3,some young men,they,15,12,16,0
3,some young men,their,14,65,70,0
3,some young men,they,13,80,84,0
3,some young men,they,13,104,108,0
3,some young men,them,5,4,8,0
3,some young men,they,10,55,59,0
3,some young men,we,6,45,47,0
3,some young men,our,4,218,221,0
3,some young men,they,0,97,101,0
3,some young men,their,0,129,134,1
3,some young men,they,1,21,25,0
3,some young men,they,1,45,49,0
3,some young men,they,1,55,59,0
3,some young men,They,2,0,4,0
3,some young men,they,2,58,62,0
3,some young men,They,14,0,4,0
3,some young men,we,4,209,211,0
3,some young men,they,4,78,82,0
3,some young men,they,3,134,138,0
3,some young men,them,4,16,20,0
5,their wives,their wives,0,129,140,0
6,children,children,0,145,153,0
6,children,children,39,12,20,0
6,children,children,4,272,280,0
10,the people,the people,3,16,26,0
10,the people,they,3,69,73,0
11,one of the young men,one of the young men,37,7,27,0
11,one of the young men,one of the young men,3,103,123,0
12,the young men,the young men,37,14,27,1
12,the young men,the young men,19,10,23,0
12,the young men,the young men,3,110,123,1
14,a youth,a youth,4,157,164,0
74,women,women,4,262,267,0
15,the rest of the party,the rest of the party,7,15,36,0
16,the party,the party,7,27,36,1
17,Most of them,Most of them,8,0,12,0
19,his companions,his companions,8,159,173,0
21,the youth,the youth,11,6,15,0
21,the youth,him,13,32,35,0
21,the youth,his,13,12,15,1
21,the youth,He,13,0,2,0
21,the youth,his,11,32,35,0
21,the youth,his,11,69,72,0
21,the youth,he,12,143,145,0
21,the youth,he,12,29,31,0
21,the youth,his,12,88,91,0
21,the youth,he,12,67,69,0
24,his friends,his friends,13,12,23,0
24,his friends,their,44,84,89,0
24,his friends,his friends,44,14,25,0
25,each other,each other,19,27,37,0
25,each other,each other,14,15,25,0
26,a man amongst them who did not know what it was -- the cub of the awful Bunyip,a man amongst them who did not know what it was--the cub of the awful Bunyip,15,52,128,0
1,the awful Bunyip/the Bunyip/the little Bunyip,the Bunyip,24,192,202,0
1,the awful Bunyip/the Bunyip/the little Bunyip,the awful Bunyip,15,112,128,1
1,the awful Bunyip/the Bunyip/the little Bunyip,the little Bunyip,34,102,119,0
28,the mother,her,16,184,187,0
28,the mother,her,16,134,137,0
28,the mother,the mother,16,110,120,0
28,the mother,her,22,45,48,0
28,the mother,the mother,22,26,36,0
31,the captor,he,22,55,57,0
31,the captor,his,22,13,16,0
31,the captor,his,22,88,91,0
31,the captor,the captor,20,5,15,0
31,the captor,he,20,30,32,0
31,the captor,He,21,1,3,0
31,the captor,he,21,49,51,0
31,the captor,his,21,17,20,1
31,the captor,he,21,34,36,0
76,his sweetheart,you,40,114,117,0
76,his sweetheart,his sweetheart,40,68,82,0
76,his sweetheart,her,21,181,184,1
76,his sweetheart,his sweetheart,21,17,31,0
76,his sweetheart,her,21,85,88,1
77,her father,her father,21,85,95,0
79,the little bunyip,The little Bunyip,50,0,17,0
79,the little bunyip,the little Bunyip,21,162,179,0
80,her brothers,her brothers,21,181,193,0
81,sisters,sisters,21,198,205,0
34,the poor mother,the poor mother,22,143,158,0
38,The youths,them,34,235,239,0
38,The youths,they,32,29,33,0
38,The youths,they,33,48,52,0
38,The youths,they,33,64,68,0
38,The youths,them,34,180,184,0
38,The youths,they,33,148,152,0
38,The youths,their,34,130,135,0
38,The youths,They,32,0,4,0
