sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
3,2,had,75,78,275,278,13,72.0,74.0,272.0,274.0,,,,,verb.possession,0,subject,Art,4.0,1.0,5.0,male,1.0,tertiary
4,2,trying,80,86,372,378,14,0.0,17.0,292.0,309.0,,,,,verb.social,1,subject,Gaul,11.0,0.0,11.0,unknown,0.0,tertiary
5,3,killed,150,156,571,577,15,106.0,117.0,527.0,538.0,,,,,verb.social,2,subject,Finn,29.0,77.0,106.0,male,1.0,primary
5,3,killed,150,156,571,577,39,106.0,117.0,527.0,538.0,,,,,verb.social,2,subject,Finn 's father,1.0,0.0,1.0,male,1.0,tertiary
9,1,seemed,57,63,832,838,42,34.0,56.0,809.0,831.0,,,,,verb.perception,4,subject,none of these warriors,1.0,0.0,1.0,unknown,0.0,tertiary
9,1,seemed,57,63,832,838,43,34.0,56.0,809.0,831.0,,,,,verb.perception,4,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
9,2,care,67,71,842,846,42,34.0,56.0,809.0,831.0,,,,,verb.emotion,5,subject,none of these warriors,1.0,0.0,1.0,unknown,0.0,tertiary
9,2,care,67,71,842,846,43,34.0,56.0,809.0,831.0,,,,,verb.emotion,5,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
9,3,eating,78,84,853,859,42,34.0,56.0,809.0,831.0,,,,,verb.consumption,6,subject,none of these warriors,1.0,0.0,1.0,unknown,0.0,tertiary
9,3,eating,78,84,853,859,43,34.0,56.0,809.0,831.0,,,,,verb.consumption,6,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
11,2,expecting,26,35,968,977,43,16.0,20.0,958.0,962.0,,,,,verb.cognition,8,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
13,0,sat,38,41,1166,1169,44,0.0,36.0,1128.0,1164.0,,,,,verb.contact,7,subject,Captain of the Fians,1.0,0.0,1.0,unknown,0.0,tertiary
13,0,sat,38,41,1166,1169,38,0.0,36.0,1128.0,1164.0,,,,,verb.contact,7,subject,the Fians,2.0,0.0,2.0,unknown,0.0,tertiary
13,0,sat,38,41,1166,1169,14,0.0,36.0,1128.0,1164.0,,,,,verb.contact,7,subject,Gaul,11.0,0.0,11.0,unknown,0.0,tertiary
14,0,wore,14,18,1220,1224,46,0.0,13.0,1206.0,1219.0,,,,,verb.body,10,subject,Every warrior,1.0,0.0,1.0,unknown,0.0,tertiary
16,4,heard,105,110,1692,1697,43,89.0,93.0,1676.0,1680.0,,,,,verb.perception,11,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
18,0,leaned,9,15,1854,1860,48,0.0,8.0,1845.0,1853.0,,,,,verb.contact,12,subject,the King,4.0,4.0,8.0,male,1.0,tertiary
18,1,said,51,55,1896,1900,48,0.0,8.0,1845.0,1853.0,,,,,verb.communication,14,subject,the King,4.0,4.0,8.0,male,1.0,tertiary
18,4,come,121,125,1966,1970,16,104.0,120.0,1949.0,1965.0,,,,,verb.motion,15,subject,Midna,6.0,3.0,9.0,male,1.0,tertiary
18,4,come,121,125,1966,1970,154,104.0,120.0,1949.0,1965.0,,,,,verb.motion,15,subject,the son of Midna,6.0,4.0,10.0,male,1.0,tertiary
21,0,heard,24,29,2170,2175,43,19.0,23.0,2165.0,2169.0,175.0,222.0,2321.0,2368.0,verb.perception,16,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
21,3,repel,99,104,2245,2250,43,88.0,92.0,2234.0,2238.0,,,,,verb.competition,18,subject,these warriors,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
29,3,possessing,236,246,3055,3065,160,173.0,234.0,2992.0,3053.0,,,,,verb.possession,19,subject,the Kings of Erin,2.0,0.0,2.0,male,1.0,tertiary
31,0,think,2,7,3373,3378,58,0.0,1.0,3371.0,3372.0,,,,,verb.cognition,21,subject,An attendant,1.0,4.0,5.0,unknown,0.0,tertiary
32,0,grant,22,27,3511,3516,168,0.0,21.0,3489.0,3510.0,,,,,verb.communication,22,subject,The high gods of Erin,1.0,0.0,1.0,unknown,0.0,tertiary
