clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Master Dung/Dung,6,14,60,74,Master Dung,male,1.0,primary
The inn - keeper/the inn - keeper,35,6,23,29,The inn - keeper,male,1.0,secondary
Sir Wang/Wang,7,9,20,29,Sir Wang,male,1.0,secondary
my husband/My husband,56,2,18,20,my husband,male,1.0,tertiary
The other/the other,15,5,10,15,The other,male,1.0,tertiary
a constable by the name of Dung,11,1,10,11,a constable by the name of Dung,male,1.0,tertiary
This man,98,2,5,7,This man,male,1.0,tertiary
my mother,117,3,4,7,my mother,female,1.0,tertiary
My master/my master,44,4,2,6,My master,male,1.0,tertiary
the stranger,19,1,5,6,the stranger,unknown,0.0,tertiary
a man in a red hat dressed as a constable,14,1,5,6,a man in a red hat dressed as a constable,male,1.0,tertiary
the officer/The officer,55,3,2,5,the officer,unknown,0.0,tertiary
my husband/My husband--My friend/my friend,130,2,2,4,my husband's friend,male,1.0,tertiary
my husband/My husband--his friend,58,3,0,3,my husband's friend,unknown,0.0,tertiary
the Lord of the Great Mountain/The Lord of the Great Mountain,88,3,0,3,the Lord of the Great Mountain,unknown,0.0,tertiary
The god of the city/the god of the city,107,2,1,3,The god of the city,male,1.0,tertiary
the other constable,16,1,2,3,the other constable,unknown,0.0,tertiary
The district mandarin,31,1,2,3,The district mandarin,male,1.0,tertiary
The constable of the temple of the Great Mountain,134,1,2,3,The constable of the temple of the Great Mountain,male,1.0,tertiary
an officer,97,2,0,2,an officer,unknown,0.0,tertiary
Sir Wang/Wang--my wife,121,1,1,2,Sir Wang's wife,female,1.0,tertiary
Master Dung/Dung--his colleague,25,1,1,2,Master Dung's colleague,male,1.0,tertiary
Master Dung/Dung--his guest,28,1,1,2,Master Dung's guest,unknown,0.0,tertiary
"a high officer , with whom my master became very intimate",49,1,0,1,"a high officer , with whom my master became very intimate",unknown,0.0,tertiary
We administrative mandarins,122,1,0,1,We administrative mandarins,unknown,0.0,tertiary
superintendent of the granaries in Nanking,46,1,0,1,superintendent of the granaries in Nanking,unknown,0.0,tertiary
mandarins,123,1,0,1,mandarins,unknown,0.0,tertiary
The inn - keeper/the inn - keeper--a man by the name of Dung who is a good friend of mine,136,1,0,1,The inn - keeper's man by the name of Dung who is a good friend of mine,male,1.0,tertiary
the man,133,1,0,1,the man,male,1.0,tertiary
good friends,125,1,0,1,good friends,unknown,0.0,tertiary
We officers,126,1,0,1,We officers,unknown,0.0,tertiary
our men,128,1,0,1,our men,male,1.0,tertiary
an official,45,1,0,1,an official,unknown,0.0,tertiary
the whole family,69,1,0,1,the whole family,unknown,0.0,tertiary
Buddhist and Taoist priests,71,1,0,1,Buddhist and Taoist priests,unknown,0.0,tertiary
some robbers there,72,1,0,1,some robbers there,unknown,0.0,tertiary
officers,127,1,0,1,officers,unknown,0.0,tertiary
The district mandarin--his followers,34,1,0,1,The district mandarin's followers,unknown,0.0,tertiary
And Wang 's wife,43,1,0,1,And Wang 's wife,female,1.0,tertiary
The King of the Nether World,99,1,0,1,The King of the Nether World,male,1.0,tertiary
a member of our profession,83,1,0,1,a member of our profession,unknown,0.0,tertiary
the men of our local force,85,1,0,1,the men of our local force,male,1.0,tertiary
our local force,86,1,0,1,our local force,unknown,0.0,tertiary
the head constable of the Nether World,87,1,0,1,the head constable of the Nether World,unknown,0.0,tertiary
a constable of reputation here in the upper world,89,1,0,1,a constable of reputation here in the upper world,unknown,0.0,tertiary
a certain Wang,94,1,0,1,a certain Wang,unknown,0.0,tertiary
superintendent of the granaries,95,1,0,1,superintendent of the granaries,unknown,0.0,tertiary
the Judge of the Dead,104,1,0,1,the Judge of the Dead,unknown,0.0,tertiary
several devils,40,1,0,1,several devils,unknown,0.0,tertiary
the constable,106,1,0,1,the constable,unknown,0.0,tertiary
The god of the city/the god of the city--his own spirit constables,111,1,0,1,The god of the city's own spirit constables,unknown,0.0,tertiary
men,113,1,0,1,men,male,1.0,tertiary
the city god,30,1,0,1,the city god,unknown,0.0,tertiary
the dead man,32,1,0,1,the dead man,male,1.0,tertiary
a tenant of Wang 's,36,1,0,1,a tenant of Wang 's,unknown,0.0,tertiary
my mother who had been very busy in his house,118,1,0,1,my mother who had been very busy in his house,female,1.0,tertiary
Fate,8,1,0,1,Fate,unknown,0.0,tertiary
