sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Once upon a time a man named Hu-Wu-Bau, who lived near the Great Mountain, went walking there one day. ",went,BEFORE,"Once upon a time a man named Hu-Wu-Bau, who lived near the Great Mountain, went walking there one day. ",walking,0,0,2,3
"Once upon a time a man named Hu-Wu-Bau, who lived near the Great Mountain, went walking there one day. ",walking,BEFORE,"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",met,0,1,3,0
"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",met,BEFORE,"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",like,1,1,0,3
"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",like,BEFORE,"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",see,1,1,3,4
"And there, under a tree, he met a messenger in a red robe who called out to him: ""The Lord of the Great Mountain would like to see you!"" ",see,BEFORE,"The man was much frightened, but dared offer no objection. ",offer,1,2,4,2
"The man was much frightened, but dared offer no objection. ",offer,AFTER,"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",bade,2,3,2,0
"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",bade,AFTER,"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",shut,3,3,0,1
"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",shut,BEFORE,"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",open,3,3,1,4
"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",open,BEFORE,"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",found,3,3,4,5
"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",found,AFTER,"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",standing,3,3,5,6
"The messenger bade him shut his eyes, and when he was allowed to open them again after a short time, he found himself standing before a lofty palace. ",standing,BEFORE,He entered it to see the god. ,entered,3,4,6,0
He entered it to see the god. ,entered,BEFORE,He entered it to see the god. ,see,4,4,0,1
He entered it to see the god. ,see,AFTER,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",had,4,5,1,0
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",had,AFTER,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",prepared,5,5,0,1
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",prepared,BEFORE,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",said,5,5,1,2
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",said,AFTER,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",sent,5,5,2,3
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",sent,AFTER,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",heard,5,5,3,5
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",heard,AFTER,"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",intended,5,5,5,6
"The latter had a meal prepared for him and said: ""I only sent for you to-day because I had heard you intended traveling to the West. ",intended,BEFORE,"And in that case I should like to give you a letter to take to my daughter."" ",give,5,6,6,2
"And in that case I should like to give you a letter to take to my daughter."" ",give,BEFORE,"And in that case I should like to give you a letter to take to my daughter."" ",take,6,6,2,3
"And in that case I should like to give you a letter to take to my daughter."" ",take,AFTER,asked the man. ,asked,6,8,3,0
asked the man. ,asked,BEFORE,"When you reach the middle of the Yellow River, beat against the side of the ship and call out: 'Greencoat!' ",reach,8,11,0,0
"When you reach the middle of the Yellow River, beat against the side of the ship and call out: 'Greencoat!' ",reach,BEFORE,"Then some one will appear and take the letter from you."" ",appear,11,12,0,1
"Then some one will appear and take the letter from you."" ",appear,BEFORE,"Then some one will appear and take the letter from you."" ",take,12,12,1,2
"Then some one will appear and take the letter from you."" ",take,AFTER,"And with these words he handed Hu-Wu-Bau the letter, and he was taken back again to the upper world. ",handed,12,13,2,0
"And with these words he handed Hu-Wu-Bau the letter, and he was taken back again to the upper world. ",handed,BEFORE,"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",came,13,14,0,0
"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",came,BEFORE,"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",did,14,14,0,1
"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",did,AFTER,"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",told,14,14,1,3
"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",told,BEFORE,"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",cried,14,14,3,4
"When he came to the Yellow River on his journey, he did what the Lord of the Great Mountain had told him, and cried: ""Greencoat!"" ",cried,BEFORE,"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",rose,14,15,4,0
"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",rose,BEFORE,"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",took,15,15,0,1
"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",took,BEFORE,"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",told,15,15,1,2
"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",told,BEFORE,"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",close,15,15,2,3
"And sure enough, a girl in green garments rose from the water, took him by the hand and told him to close his eyes. ",close,BEFORE,Then she led him into the palace of the river-god and he delivered the letter. ,led,15,16,3,0
Then she led him into the palace of the river-god and he delivered the letter. ,led,BEFORE,Then she led him into the palace of the river-god and he delivered the letter. ,delivered,16,16,0,1
Then she led him into the palace of the river-god and he delivered the letter. ,delivered,BEFORE,"The river-god entertained him splendidly, and thanked him as best he knew how. ",entertained,16,17,1,0
"The river-god entertained him splendidly, and thanked him as best he knew how. ",entertained,BEFORE,"The river-god entertained him splendidly, and thanked him as best he knew how. ",thanked,17,17,0,1
"The river-god entertained him splendidly, and thanked him as best he knew how. ",thanked,AFTER,"The river-god entertained him splendidly, and thanked him as best he knew how. ",knew,17,17,1,2
"The river-god entertained him splendidly, and thanked him as best he knew how. ",knew,BEFORE,"At parting he said: ""I am grateful that you have made this long journey to see me. ",said,17,18,2,1
"At parting he said: ""I am grateful that you have made this long journey to see me. ",said,AFTER,"At parting he said: ""I am grateful that you have made this long journey to see me. ",made,18,18,1,4
"At parting he said: ""I am grateful that you have made this long journey to see me. ",made,BEFORE,"At parting he said: ""I am grateful that you have made this long journey to see me. ",see,18,18,4,5
"At parting he said: ""I am grateful that you have made this long journey to see me. ",see,BEFORE,"I have nothing to give you, however, save this pair of green silk shoes. ",have,18,19,5,0
"I have nothing to give you, however, save this pair of green silk shoes. ",have,BEFORE,"I have nothing to give you, however, save this pair of green silk shoes. ",give,19,19,0,1
"I have nothing to give you, however, save this pair of green silk shoes. ",give,AFTER,While you are wearing them you can keep on walking as long as you like and never grow weary. ,wearing,19,20,1,1
While you are wearing them you can keep on walking as long as you like and never grow weary. ,wearing,BEFORE,While you are wearing them you can keep on walking as long as you like and never grow weary. ,like,20,20,1,5
While you are wearing them you can keep on walking as long as you like and never grow weary. ,like,BEFORE,While you are wearing them you can keep on walking as long as you like and never grow weary. ,grow,20,20,5,6
While you are wearing them you can keep on walking as long as you like and never grow weary. ,grow,BEFORE,"And they will give you the second sight, so that you will be able to see the spirits and gods."" ",give,20,21,6,1
"And they will give you the second sight, so that you will be able to see the spirits and gods."" ",give,AFTER,"And they will give you the second sight, so that you will be able to see the spirits and gods."" ",see,21,21,1,4
"And they will give you the second sight, so that you will be able to see the spirits and gods."" ",see,BEFORE,The man thanked him for the gift and returned to his ship. ,thanked,21,22,4,0
The man thanked him for the gift and returned to his ship. ,thanked,BEFORE,The man thanked him for the gift and returned to his ship. ,returned,22,22,0,1
The man thanked him for the gift and returned to his ship. ,returned,BEFORE,"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",reached,22,24,1,0
"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",reached,BEFORE,"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",thought,24,24,0,1
"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",thought,BEFORE,"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",report,24,24,1,4
"When he reached the Great Mountain, he thought it would be fit and proper to report to the god. ",report,AFTER,So he once more knocked against the tree and gave his name. ,knocked,24,25,4,0
So he once more knocked against the tree and gave his name. ,knocked,BEFORE,So he once more knocked against the tree and gave his name. ,gave,25,25,0,1
So he once more knocked against the tree and gave his name. ,gave,BEFORE,In a moment the red-clad messenger appeared and led him to the Lord of the Mountain. ,appeared,25,26,1,1
In a moment the red-clad messenger appeared and led him to the Lord of the Mountain. ,appeared,BEFORE,In a moment the red-clad messenger appeared and led him to the Lord of the Mountain. ,led,26,26,1,2
In a moment the red-clad messenger appeared and led him to the Lord of the Mountain. ,led,BEFORE,"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",reported,26,27,2,0
"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",reported,AFTER,"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",delivered,27,27,0,2
"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",delivered,BEFORE,"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",thanked,27,27,2,4
"So he reported that he had delivered the letter to the river-god, and how all things were there, and the Lord of the Mountain thanked him. ",thanked,AFTER,"During the meal which the god had prepared for him, he withdrew for a few moments to a quiet spot. ",prepared,27,28,4,1
