sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,3,walking,80,87,80,87,5,17.0,73.0,17.0,73.0,,,,,verb.motion,True,0,subject,"a man named Hu - Wu - Bau , who lived near the Great Mountain",1.0,9.0,10.0,male,1.0,tertiary
0,3,walking,80,87,80,87,4,17.0,73.0,17.0,73.0,,,,,verb.motion,True,0,subject,Hu - Wu - Bau,3.0,0.0,3.0,unknown,0.0,tertiary
1,3,like,119,123,222,226,57,82.0,112.0,185.0,215.0,,,,,verb.emotion,True,1,subject,the Lord of the Great Mountain,4.0,0.0,4.0,unknown,0.0,tertiary
2,2,offer,39,44,279,284,9,0.0,7.0,240.0,247.0,,,,,verb.communication,True,3,subject,The man,5.0,58.0,63.0,male,1.0,primary
3,1,shut,23,27,322,326,9,0.0,22.0,299.0,321.0,,,,,verb.contact,True,2,subject,The man,5.0,58.0,63.0,male,1.0,primary
3,1,shut,23,27,322,326,10,0.0,22.0,299.0,321.0,,,,,verb.contact,True,2,subject,The messenger,1.0,0.0,1.0,unknown,0.0,tertiary
4,0,entered,3,10,452,459,9,0.0,2.0,449.0,451.0,14.0,28.0,463.0,477.0,verb.motion,True,4,subject,The man,5.0,58.0,63.0,male,1.0,primary
5,3,sent,57,61,536,540,13,50.0,51.0,529.0,530.0,70.0,131.0,549.0,610.0,verb.motion,True,5,subject,,,,,,,
6,2,give,34,38,646,650,13,17.0,18.0,629.0,630.0,,,,,verb.possession,True,6,subject,,,,,,,
11,0,reach,9,14,854,859,5,5.0,8.0,850.0,853.0,,,,,verb.motion,True,8,subject,"a man named Hu - Wu - Bau , who lived near the Great Mountain",1.0,9.0,10.0,male,1.0,tertiary
12,1,appear,19,25,972,978,63,5.0,13.0,958.0,966.0,,,,,verb.perception,True,11,subject,,,,,,,
