sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,6,pass,96,100,96,100,,,,,,14,101.0,135.0,101.0,135.0,,,,,verb.possession,1,True
1,0,traveled,6,14,143,151,14,3.0,5.0,140.0,142.0,,15.0,19.0,152.0,156.0,20.0,25.0,157.0,162.0,verb.motion,1,True
2,3,shied,77,82,241,246,14,67.0,76.0,231.0,240.0,,,,,,,,,,verb.motion,1,True
3,0,saw,9,12,300,303,14,6.0,8.0,297.0,299.0,17,13.0,56.0,304.0,347.0,,,,,verb.perception,1,True
4,0,looked,3,9,352,358,14,0.0,2.0,349.0,351.0,17,10.0,16.0,359.0,365.0,,,,,verb.perception,1,True
5,0,asked,15,20,456,461,14,12.0,14.0,453.0,455.0,17,21.0,24.0,462.0,465.0,,,,,verb.communication,1,True
6,4,forsaken,46,54,533,541,11,34.0,41.0,521.0,528.0,19,55.0,57.0,542.0,544.0,,,,,verb.emotion,1,True
7,1,ask,29,32,605,608,,,,,,"19,14",33.0,52.0,609.0,628.0,,,,,verb.communication,1,True
9,1,disowned,31,39,800,808,"150,19",4.0,14.0,773.0,783.0,19,40.0,42.0,809.0,811.0,,,,,verb.communication,1,True
10,1,loved,42,47,855,860,151,37.0,41.0,850.0,854.0,"151,152",48.0,57.0,861.0,870.0,58.0,65.0,871.0,878.0,verb.emotion,1,True
11,4,herd,77,81,973,977,19,54.0,55.0,950.0,951.0,,82.0,87.0,978.0,983.0,,,,,verb.social,1,True
12,3,lost,50,54,1036,1040,19,19.0,28.0,1005.0,1014.0,19,55.0,77.0,1041.0,1063.0,,,,,verb.possession,1,True
13,0,continued,9,18,1074,1083,19,5.0,8.0,1070.0,1073.0,,21.0,57.0,1086.0,1122.0,,,,,verb.communication,1,True
14,0,know,7,11,1130,1134,19,5.0,6.0,1128.0,1129.0,,12.0,66.0,1135.0,1189.0,,,,,verb.cognition,1,True
15,4,know,62,66,1253,1257,19,53.0,54.0,1244.0,1245.0,,67.0,92.0,1258.0,1283.0,,,,,verb.cognition,1,True
16,0,answered,6,14,1292,1300,,4.0,5.0,1290.0,1291.0,19,16.0,17.0,1302.0,1303.0,,,,,verb.communication,1,True
18,2,deliver,18,25,1405,1412,19,0.0,1.0,1387.0,1388.0,"19,155",26.0,36.0,1413.0,1423.0,,,,,verb.communication,1,True
19,2,find,59,63,1499,1503,19,54.0,55.0,1494.0,1495.0,155,64.0,67.0,1504.0,1507.0,,,,,verb.possession,1,True
20,1,answered,58,66,1568,1576,,,,,,"157,19",67.0,76.0,1577.0,1586.0,,,,,verb.communication,1,True
23,1,tell,24,28,1804,1808,,,,,,"19,155",29.0,32.0,1809.0,1812.0,,,,,verb.communication,1,True
24,1,gave,50,54,1929,1933,19,5.0,8.0,1884.0,1887.0,10,55.0,57.0,1934.0,1936.0,,,,,verb.possession,1,True
25,0,bowed,4,9,1951,1956,19,0.0,3.0,1947.0,1950.0,10,10.0,16.0,1957.0,1963.0,,,,,verb.communication,1,True
26,0,took,3,7,2078,2082,10,0.0,2.0,2075.0,2077.0,,8.0,18.0,2083.0,2093.0,,,,,verb.contact,1,True
27,0,asked,8,13,2128,2133,10,5.0,7.0,2125.0,2127.0,"19,10",14.0,17.0,2134.0,2137.0,,,,,verb.communication,1,True
28,1,slaughter,12,21,2200,2209,161,3.0,11.0,2191.0,2199.0,,22.0,28.0,2210.0,2216.0,,,,,verb.contact,1,True
29,1,answered,32,40,2260,2268,,1.0,29.0,2229.0,2257.0,19,41.0,50.0,2269.0,2278.0,,,,,verb.communication,1,True
32,1,replied,29,36,2360,2367,,1.0,26.0,2332.0,2357.0,19,37.0,46.0,2368.0,2377.0,,,,,verb.communication,1,True
33,0,looked,12,18,2391,2397,10,9.0,11.0,2388.0,2390.0,,,,,,,,,,verb.perception,1,True
34,1,deliver,23,30,2539,2546,,21.0,22.0,2537.0,2538.0,19,31.0,41.0,2547.0,2557.0,,,,,verb.communication,1,True
35,0,answered,10,18,2686,2694,19,0.0,9.0,2676.0,2685.0,"164,19,10",21.0,54.0,2697.0,2730.0,,,,,verb.communication,1,True
38,0,reached,27,34,2826,2833,10,21.0,24.0,2820.0,2823.0,,35.0,54.0,2834.0,2853.0,,,,,verb.motion,1,True
39,0,loosened,3,11,2912,2920,10,0.0,2.0,2909.0,2911.0,10,12.0,22.0,2921.0,2931.0,,,,,verb.change,1,True
40,1,asked,57,62,3031,3036,29,8.0,17.0,2982.0,2991.0,167,65.0,95.0,3039.0,3069.0,,,,,verb.communication,1,True
41,0,said,6,10,3078,3082,,4.0,5.0,3076.0,3077.0,168,12.0,73.0,3084.0,3145.0,,,,,verb.communication,1,True
42,1,turned,72,78,3220,3226,,62.0,71.0,3210.0,3219.0,"31,10",79.0,124.0,3227.0,3272.0,,,,,verb.change,1,True
44,0,bade,12,16,3412,3416,31,0.0,11.0,3400.0,3411.0,10,17.0,20.0,3417.0,3420.0,21.0,53.0,3421.0,3453.0,verb.communication,1,True
47,0,looked,6,12,3551,3557,,4.0,5.0,3549.0,3550.0,10,13.0,22.0,3558.0,3567.0,,,,,verb.perception,1,True
53,0,replied,33,40,4049,4056,31,0.0,2.0,4016.0,4018.0,"174,173",42.0,170.0,4058.0,4186.0,,,,,verb.communication,1,True
55,1,ask,17,20,4242,4245,,4.0,5.0,4229.0,4230.0,173,23.0,74.0,4248.0,4299.0,,,,,verb.communication,1,True
58,1,cover,9,14,4404,4409,177,0.0,4.0,4395.0,4399.0,,15.0,28.0,4410.0,4423.0,,,,,verb.contact,1,True
61,1,burn,9,13,4522,4526,181,0.0,4.0,4513.0,4517.0,,14.0,34.0,4527.0,4547.0,35.0,54.0,4548.0,4567.0,verb.change,1,True
64,2,appeared,37,45,4804,4812,,,,,,41,46.0,107.0,4813.0,4874.0,,,,,verb.perception,1,True
65,0,said,12,16,4888,4892,31,0.0,11.0,4876.0,4887.0,"185,31",19.0,36.0,4895.0,4912.0,,,,,verb.communication,1,True
67,0,asked,9,14,4948,4953,168,0.0,8.0,4939.0,4947.0,"186,10",17.0,49.0,4956.0,4988.0,,,,,verb.communication,1,True
68,1,brought,9,16,4999,5006,,0.0,4.0,4990.0,4994.0,10,17.0,20.0,5007.0,5010.0,21.0,25.0,5011.0,5015.0,verb.motion,1,True
69,0,gave,6,10,5024,5028,,4.0,5.0,5022.0,5023.0,10,11.0,19.0,5029.0,5037.0,,,,,verb.communication,1,True
70,4,herding,81,88,5203,5210,"188,168",51.0,79.0,5173.0,5201.0,,89.0,94.0,5211.0,5216.0,95.0,112.0,5217.0,5234.0,verb.social,1,True
71,0,tousled,10,17,5246,5253,,0.0,9.0,5236.0,5245.0,188,18.0,26.0,5254.0,5262.0,,,,,verb.contact,1,True
72,3,spoke,40,45,5331,5336,,0.0,1.0,5291.0,5292.0,188,46.0,52.0,5337.0,5343.0,,,,,verb.communication,1,True
73,0,complained,4,14,5349,5359,188,0.0,3.0,5345.0,5348.0,"190,188",15.0,66.0,5360.0,5411.0,,,,,verb.communication,1,True
74,0,gave,9,13,5422,5426,188,5.0,8.0,5418.0,5421.0,168,14.0,16.0,5427.0,5429.0,,,,,verb.possession,1,True
75,3,visit,31,36,5479,5484,,16.0,17.0,5464.0,5465.0,168,37.0,40.0,5485.0,5488.0,42.0,48.0,5490.0,5496.0,verb.social,1,True
76,1,handed,47,53,5546,5552,,17.0,19.0,5516.0,5518.0,168,54.0,56.0,5553.0,5555.0,,,,,verb.possession,1,True
77,1,read,20,24,5589,5593,46,5.0,15.0,5574.0,5584.0,,25.0,27.0,5594.0,5596.0,,,,,verb.cognition,1,True
79,2,brought,41,48,5754,5761,,34.0,35.0,5747.0,5748.0,188,49.0,52.0,5762.0,5765.0,62.0,79.0,5775.0,5792.0,verb.contact,1,True
80,3,help,52,56,5846,5850,191,27.0,30.0,5821.0,5824.0,"191,188",57.0,60.0,5851.0,5854.0,,,,,verb.social,1,True
82,0,gave,22,26,6000,6004,47,10.0,21.0,5988.0,5999.0,48,27.0,37.0,6005.0,6015.0,,,,,verb.communication,1,True
84,4,tell,56,60,6197,6201,,,,,,48,61.0,65.0,6202.0,6206.0,66.0,72.0,,,verb.communication,1,True
85,2,hear,32,36,6269,6273,,17.0,27.0,6254.0,6264.0,48,37.0,41.0,6274.0,6278.0,,,,,verb.perception,1,True
87,0,asked,0,5,6302,6307,,,,,,10,6.0,12.0,6308.0,6314.0,,,,,verb.communication,1,True
88,1,answered,28,36,6343,6351,12,1.0,3.0,6316.0,6318.0,168,37.0,45.0,6352.0,6360.0,,,,,verb.communication,1,True
89,3,deposed,72,79,6434,6441,12,60.0,62.0,6422.0,6424.0,,,,,,,,,,verb.social,1,True
90,0,asked,6,11,6450,6455,,4.0,5.0,6448.0,6449.0,12,14.0,52.0,6458.0,6496.0,,,,,verb.communication,1,True
91,4,cause,73,78,6572,6577,12,64.0,66.0,6563.0,6565.0,,79.0,91.0,6578.0,6590.0,,,,,verb.creation,1,True
93,1,caused,56,62,6761,6767,12,53.0,55.0,6758.0,6760.0,,63.0,131.0,6768.0,6836.0,,,,,verb.creation,1,True
94,1,gave,49,53,6887,6891,202,5.0,23.0,6843.0,6861.0,"168,12",54.0,57.0,6892.0,6895.0,64.0,72.0,6902.0,6910.0,verb.possession,1,True
95,1,chain,9,14,6921,6926,168,0.0,1.0,6912.0,6913.0,"168,12",15.0,18.0,6927.0,6930.0,,,,,verb.contact,1,True
97,1,came,107,111,7262,7266,57,0.0,106.0,7155.0,7261.0,,,,,,,,,,verb.motion,1,True
98,1,dragging,7,15,7286,7294,57,0.0,2.0,7279.0,7281.0,57,38.0,100.0,7317.0,7379.0,,,,,verb.contact,1,True
99,1,darted,35,41,7416,7422,,0.0,23.0,7381.0,7404.0,57,42.0,57.0,7423.0,7438.0,,,,,verb.motion,1,True
100,0,whirled,38,45,7477,7484,,1.0,37.0,7440.0,7476.0,57,46.0,55.0,7485.0,7494.0,56.0,68.0,7495.0,7507.0,verb.motion,1,True
101,2,disappeared,62,73,7571,7582,57,34.0,36.0,7543.0,7545.0,,,,,,,,,,verb.change,1,True
103,1,said,45,49,7660,7664,168,0.0,8.0,7615.0,7623.0,,52.0,68.0,7667.0,7683.0,,,,,verb.communication,1,True
104,2,hastening,27,36,7712,7721,"168,204",8.0,18.0,7693.0,7703.0,204,37.0,63.0,7722.0,7748.0,,,,,verb.cognition,1,True
106,0,had,8,11,7788,7791,168,5.0,7.0,7785.0,7787.0,"59,168",12.0,51.0,7792.0,7831.0,,,,,verb.consumption,1,True
108,2,entered,54,61,7985,7992,60,0.0,53.0,7931.0,7984.0,,,,,,,,,,verb.motion,1,True
109,0,hung,8,12,8002,8006,,0.0,7.0,7994.0,8001.0,60,13.0,24.0,8007.0,8018.0,,,,,verb.contact,1,True
111,1,wearing,46,53,8103,8110,60,0.0,10.0,8057.0,8067.0,,54.0,79.0,8111.0,8136.0,,,,,verb.body,1,True
112,0,looked,15,21,8153,8159,,13.0,14.0,8151.0,8152.0,61,22.0,28.0,8160.0,8166.0,,,,,verb.perception,1,True
113,0,received,37,45,8264,8272,64,0.0,36.0,8227.0,8263.0,61,46.0,49.0,8273.0,8276.0,51.0,72.0,8278.0,8299.0,verb.communication,1,True
114,1,said,52,56,8398,8402,168,0.0,8.0,8346.0,8354.0,"12,168,204",59.0,89.0,8405.0,8435.0,,,,,verb.communication,1,True
115,0,thanked,11,18,8449,8456,12,0.0,10.0,8438.0,8448.0,12,19.0,22.0,8457.0,8460.0,,,,,verb.communication,1,True
116,5,defeated,101,109,8594,8602,12,41.0,42.0,8534.0,8535.0,,110.0,114.0,8603.0,8607.0,,,,,verb.competition,1,True
117,1,slay,18,22,8628,8632,12,1.0,9.0,8611.0,8619.0,,,,,,,,,,verb.social,1,True
122,0,ate,3,6,8785,8788,12,1.0,2.0,8783.0,8784.0,209,7.0,10.0,8789.0,8792.0,11.0,16.0,8793.0,8798.0,verb.consumption,1,True
123,3,did,57,60,8858,8861,210,37.0,41.0,8838.0,8842.0,,,,,,,,,,verb.social,1,True
126,0,promised,15,23,9015,9023,12,4.0,14.0,9004.0,9014.0,,24.0,30.0,9024.0,9030.0,,,,,verb.communication,1,True
129,0,stood,59,64,9182,9187,72,0.0,58.0,9123.0,9181.0,,65.0,77.0,9188.0,9200.0,,,,,verb.contact,1,True
130,3,danced,98,104,9300,9306,73,85.0,97.0,9287.0,9299.0,,105.0,116.0,9307.0,9318.0,,,,,verb.creation,1,True
131,4,rose,123,127,9443,9447,75,82.0,122.0,9402.0,9442.0,75,128.0,139.0,9448.0,9459.0,140.0,149.0,9460.0,9469.0,verb.motion,1,True
133,0,danced,45,51,9599,9605,76,0.0,44.0,9554.0,9598.0,,,,,,,,,,verb.motion,1,True
134,1,told,36,40,9650,9654,77,0.0,26.0,9614.0,9640.0,,,,,,,,,,verb.communication,1,True
136,1,filled,36,42,9798,9804,79,0.0,31.0,9762.0,9793.0,,43.0,51.0,9805.0,9813.0,,,,,verb.emotion,1,True
137,1,drank,25,30,9840,9845,79,0.0,2.0,9815.0,9817.0,,,,,,,,,,verb.consumption,1,True
138,0,thanked,12,19,9921,9928,82,0.0,11.0,9909.0,9920.0,10,20.0,25.0,9929.0,9934.0,26.0,35.0,9935.0,9944.0,verb.communication,1,True
139,0,applauded,42,51,10030,10039,83,0.0,41.0,9988.0,10029.0,,,,,,,,,,verb.communication,1,True
142,0,presented,11,20,10256,10265,82,0.0,5.0,10245.0,10250.0,"82,86",21.0,35.0,10266.0,10280.0,,,,,verb.communication,1,True
143,3,bowed,62,67,10442,10447,,36.0,37.0,10416.0,10417.0,10,68.0,78.0,10448.0,10458.0,79.0,91.0,10459.0,10471.0,verb.communication,1,True
144,2,slept,30,35,10503,10508,10,27.0,29.0,10500.0,10502.0,,,,,,,,,,verb.body,1,True
146,2,said,70,74,10660,10664,12,0.0,37.0,10590.0,10627.0,211,77.0,146.0,10667.0,10736.0,,,,,verb.communication,1,True
147,3,disowned,33,41,10771,10779,,,,,,"190,211",42.0,56.0,10780.0,10794.0,,,,,verb.emotion,1,True
148,2,find,17,21,10850,10854,10,0.0,1.0,10833.0,10834.0,,22.0,37.0,10855.0,10870.0,38.0,45.0,10871.0,10878.0,verb.possession,1,True
