sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There is a lone moor in Scotland, which, in times past, was said to be haunted by an Elfin Knight. ",haunted,BEFORE,"This Knight was only seen at rare intervals, once in every seven years or so, but the fear of him lay on all the country round, for every now and then someone would set out to cross the moor and would never be heard of again. ",cross,0,1,4,5
"This Knight was only seen at rare intervals, once in every seven years or so, but the fear of him lay on all the country round, for every now and then someone would set out to cross the moor and would never be heard of again. ",cross,BEFORE,"And although men might search every inch of the ground, no trace of him would be found, and with a thrill of horror the searching party would go home again, shaking their heads and whispering to one another that he had fallen into the hands of the dreaded Knight. ",shaking,1,2,5,8
"And although men might search every inch of the ground, no trace of him would be found, and with a thrill of horror the searching party would go home again, shaking their heads and whispering to one another that he had fallen into the hands of the dreaded Knight. ",shaking,AFTER,"So, as a rule, the moor was deserted, for nobody dare pass that way, much less live there; ",pass,2,3,8,3
"So, as a rule, the moor was deserted, for nobody dare pass that way, much less live there; ",pass,AFTER," and by and by it became the haunt of all sorts of wild animals, which made their lairs there, as they found that they never were disturbed by mortal huntsmen. ",disturbed,3,4,3,4
" and by and by it became the haunt of all sorts of wild animals, which made their lairs there, as they found that they never were disturbed by mortal huntsmen. ",disturbed,BEFORE,"Now in that same region lived two young earls, Earl St. Clair and Earl Gregory, who were such friends that they rode, and hunted, and fought together, if need be. ",rode,4,5,4,2
"Now in that same region lived two young earls, Earl St. Clair and Earl Gregory, who were such friends that they rode, and hunted, and fought together, if need be. ",rode,BEFORE,"And as they were both very fond of the chase, Earl Gregory suggested one day that they should go a-hunting on the haunted moor, in spite of the Elfin King. ",suggested,5,6,2,1
"And as they were both very fond of the chase, Earl Gregory suggested one day that they should go a-hunting on the haunted moor, in spite of the Elfin King. ",suggested,BEFORE,"""Certes, I hardly believe in him at all,"" cried the young man, with a laugh. ",cried,6,7,1,1
"""Certes, I hardly believe in him at all,"" cried the young man, with a laugh. ",cried,BEFORE,"""Methinks it is but an old wife's tale to frighten the bairns withal, lest they go straying amongst the heather and lose themselves. ",lose,7,8,1,4
"""Methinks it is but an old wife's tale to frighten the bairns withal, lest they go straying amongst the heather and lose themselves. ",lose,AFTER,But Earl St. Clair looked grave. ,looked,8,10,4,0
But Earl St. Clair looked grave. ,looked,AFTER,"""It is ill meddling with unchancy things,"" he answered, ""and it is no bairn's tale that travellers have set out to cross that moor who have vanished bodily, and never mair been heard of; ",cross,10,11,0,5
"""It is ill meddling with unchancy things,"" he answered, ""and it is no bairn's tale that travellers have set out to cross that moor who have vanished bodily, and never mair been heard of; ",cross,BEFORE," but it is, as thou sayest, a pity that so much good sport be lost, all because an Elfin Knight choosest to claim the land as his, and make us mortals pay toll for the privilege of planting a foot upon it. ",pay,11,12,5,6
" but it is, as thou sayest, a pity that so much good sport be lost, all because an Elfin Knight choosest to claim the land as his, and make us mortals pay toll for the privilege of planting a foot upon it. ",pay,BEFORE,"""I have heard tell, however, that one is safe from any power that the Knight may have if one wearest the Sign of the Blessed Trinity. ",heard,12,13,6,1
"""I have heard tell, however, that one is safe from any power that the Knight may have if one wearest the Sign of the Blessed Trinity. ",heard,BEFORE,"""Dost thou think that I am one of the bairns,"" he said, ""first to be frightened by an idle tale, and then to think that a leaf of clover will protect me? ",said,13,16,1,3
"""Dost thou think that I am one of the bairns,"" he said, ""first to be frightened by an idle tale, and then to think that a leaf of clover will protect me? ",said,AFTER,"But Earl St. Clair did not heed his companion's words, for he remembered how his mother had told him, when he was a little lad at her knee that whoso carried the Sign of the Blessed Trinity need never fear any spell that might be thrown over him by Warlock or Witch, Elf or Demon. ",fear,16,19,3,8
"But Earl St. Clair did not heed his companion's words, for he remembered how his mother had told him, when he was a little lad at her knee that whoso carried the Sign of the Blessed Trinity need never fear any spell that might be thrown over him by Warlock or Witch, Elf or Demon. ",fear,BEFORE,"So he went out to the meadow and plucked a leaf of clover, which he bound on his arm with a silken scarf; ",bound,19,20,8,2
"So he went out to the meadow and plucked a leaf of clover, which he bound on his arm with a silken scarf; ",bound,BEFORE, then he mounted his horse and rode with Earl Gregory to the desolate and lonely moorland. ,rode,20,21,2,1
 then he mounted his horse and rode with Earl Gregory to the desolate and lonely moorland. ,rode,BEFORE, and in the heat of the chase the young men forgot their fears. ,forgot,21,23,1,0
 and in the heat of the chase the young men forgot their fears. ,forgot,BEFORE,Then suddenly both of them reined in their steeds and sat gazing in front of them with affrighted faces. ,reined,23,24,0,0
Then suddenly both of them reined in their steeds and sat gazing in front of them with affrighted faces. ,reined,AFTER,"For a horseman had crossed their track, and they both would fain have known who he was and whence he came. ",crossed,24,25,0,1
"For a horseman had crossed their track, and they both would fain have known who he was and whence he came. ",crossed,BEFORE,"""By my troth, but he rideth in haste, whoever he may be,"" said Earl Gregory at last, ""and though I always thought that no steed on earth could match mine for swiftness, I reckon that for every league that mine goeth, his would go seven. ",said,25,26,1,3
"""By my troth, but he rideth in haste, whoever he may be,"" said Earl Gregory at last, ""and though I always thought that no steed on earth could match mine for swiftness, I reckon that for every league that mine goeth, his would go seven. ",said,BEFORE,"""The Lord forbid that thou shouldst stir thy horse's feet to follow him,"" said Earl St. Clair devoutly. ",said,26,28,3,3
"""The Lord forbid that thou shouldst stir thy horse's feet to follow him,"" said Earl St. Clair devoutly. ",said,AFTER,"But Earl St. Clair forgot that he carried a Talisman which his companion lacked, that enabled him to see things as they really were, while the other's eyes were holden, and he was startled and amazed when Earl Gregory said sharply, ""Thy mind hath gone mad over this Elfin King. ",carried,28,33,3,1
"But Earl St. Clair forgot that he carried a Talisman which his companion lacked, that enabled him to see things as they really were, while the other's eyes were holden, and he was startled and amazed when Earl Gregory said sharply, ""Thy mind hath gone mad over this Elfin King. ",carried,BEFORE,"I tell thee he who passed was a goodly Knight, clad in a green vesture, and riding on a great black jennet. ",passed,33,34,1,1
"I tell thee he who passed was a goodly Knight, clad in a green vesture, and riding on a great black jennet. ",passed,BEFORE,"And because I love a gallant horseman, and would fain learn his name and degree, I will follow him till I find him, even if it be at the world's end."" ",follow,34,35,1,5
"And because I love a gallant horseman, and would fain learn his name and degree, I will follow him till I find him, even if it be at the world's end."" ",follow,BEFORE,"And without another word he put spurs to his horse and galloped off in the direction which the mysterious stranger had taken, leaving Earl St. Clair alone upon the moorland, his fingers touching the sacred Sign and his trembling lips muttering prayers for protection. ",muttering,35,36,5,7
"And without another word he put spurs to his horse and galloped off in the direction which the mysterious stranger had taken, leaving Earl St. Clair alone upon the moorland, his fingers touching the sacred Sign and his trembling lips muttering prayers for protection. ",muttering,BEFORE,"For he knew that his friend had been bewitched, and he made up his mind, brave gentleman that he was, that he would follow him to the world's end, if need be, and try to deliver him from the spell that had been cast over him. ",follow,36,37,7,7
"For he knew that his friend had been bewitched, and he made up his mind, brave gentleman that he was, that he would follow him to the world's end, if need be, and try to deliver him from the spell that had been cast over him. ",follow,AFTER,"Meanwhile Earl Gregory rode on and on, ever following in the wake of the Knight in green, over moor, and burn, and moss, till he came to the most desolate region that he had ever been in in his life; ",following,37,38,7,1
"Meanwhile Earl Gregory rode on and on, ever following in the wake of the Knight in green, over moor, and burn, and moss, till he came to the most desolate region that he had ever been in in his life; ",following,AFTER,"For he saw an enormous Ring marked out on the ground, inside of which the grass, instead of being withered and frozen, was lush, and rank, and green, where hundreds of shadowy Elfin figures were dancing, clad in loose transparent robes of dull blue, which seemed to curl and twist round their wearers like snaky wreaths of smoke. ",clad,38,41,1,6
