sentence_id,event_id,temporal_rank
0,4,0
1,1,1
1,5,2
2,8,3
2,10,4
2,1,5
3,3,6
2,4,7
4,1,8
4,4,9
4,2,10
5,0,11
5,3,12
5,2,13
5,4,14
6,1,15
6,3,16
7,1,17
8,2,18
10,0,19
8,4,20
11,5,21
11,1,22
12,3,23
12,4,24
12,5,25
12,6,26
13,1,27
13,5,28
13,2,29
16,1,30
19,6,31
19,4,32
19,2,33
19,1,34
16,3,35
19,8,36
19,11,37
20,1,38
20,2,39
21,0,40
21,1,41
23,0,42
25,1,43
24,0,44
28,0,45
26,3,46
33,1,47
33,0,48
28,3,49
33,3,50
33,4,51
33,8,52
34,1,53
34,0,54
35,0,55
35,3,56
35,5,57
36,5,58
35,6,59
37,0,60
36,7,61
37,7,62
37,9,63
37,13,64
37,10,65
38,0,66
38,1,67
38,3,68
41,6,69
41,5,70
41,0,71
41,7,72
42,1,73
42,3,74
42,2,75
42,4,76
42,5,77
43,1,78
43,0,79
43,2,80
44,2,81
46,6,82
46,8,83
46,9,84
46,10,85
47,1,86
46,11,87
47,2,88
48,1,89
48,3,90
49,1,91
49,3,92
49,4,93
52,0,94
51,0,95
52,2,96
54,0,97
54,1,98
54,2,99
55,0,100
55,1,101
55,3,102
55,2,103
60,0,104
60,1,105
60,2,106
60,4,107
61,0,108
61,1,109
62,0,110
64,8,111
62,1,112
64,3,113
64,9,114
66,1,115
64,7,116
66,3,117
67,2,118
67,3,119
68,0,120
68,1,121
69,3,122
70,2,123
72,1,124
71,0,125
70,3,126
73,5,127
73,0,128
73,6,129
73,7,130
76,3,131
76,0,132
76,4,133
80,0,134
80,1,135
81,3,136
83,1,137
83,2,138
83,3,139
83,4,140
85,7,141
85,5,142
86,2,143
86,3,144
87,1,145
87,0,146
88,1,147
88,0,148
90,2,149
93,0,150
94,1,151
94,2,152
95,6,153
95,5,154
98,0,155
96,0,156
98,1,157
100,2,158
98,2,159
101,3,160
101,0,161
100,3,162
102,4,163
102,5,164
103,2,165
104,8,166
106,2,167
106,1,168
106,3,169
106,4,170
107,3,171
107,1,172
107,5,173
107,7,174
109,2,175
108,2,176
108,0,177
111,0,178
111,2,179
111,4,180
112,0,181
113,3,182
112,2,183
114,2,184
114,0,185
115,1,186
117,0,187
119,3,188
121,0,189
121,2,190
121,4,191
121,5,192
122,2,193
122,0,194
123,1,195
123,3,196
123,4,197
123,5,198
123,6,199
123,9,200
