sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"A young man was out walking one day in Erin, leading a stout cart-horse by the bridle. ",walking,BEFORE,"He was thinking of his mother and how poor they were since his father, who was a fisherman, had been drowned at sea, and wondering what he should do to earn a living for both of them. ",earn,0,1,1,10
"He was thinking of his mother and how poor they were since his father, who was a fisherman, had been drowned at sea, and wondering what he should do to earn a living for both of them. ",earn,BEFORE,"Suddenly a hand was laid on his shoulder, and a voice said to him: 'Will you sell me your horse, son of the fisherman?' ",sell,1,2,10,4
"Suddenly a hand was laid on his shoulder, and a voice said to him: 'Will you sell me your horse, son of the fisherman?' ",sell,BEFORE,"and looking up he beheld a man standing in the road with a gun in his hand, a falcon on his shoulder, and a dog by his side. ",looking,2,3,4,0
"and looking up he beheld a man standing in the road with a gun in his hand, a falcon on his shoulder, and a dog by his side. ",looking,BEFORE,'What will you give me for my horse?' ,give,3,4,0,1
'What will you give me for my horse?' ,give,AFTER,asked the youth. ,asked,4,5,1,0
asked the youth. ,asked,BEFORE,"'Will you give me your gun, and your dog, and your falcon?' ",give,5,6,0,1
"'Will you give me your gun, and your dog, and your falcon?' ",give,BEFORE,"'I will give them,' answered the man, and he took the horse, and the youth took the gun and the dog and the falcon, and went home with them. ",answered,6,7,1,2
"'I will give them,' answered the man, and he took the horse, and the youth took the gun and the dog and the falcon, and went home with them. ",answered,BEFORE,"But when his mother heard what he had done she was very angry, and beat him with a stick which she had in her hand. ",beat,7,8,2,4
"But when his mother heard what he had done she was very angry, and beat him with a stick which she had in her hand. ",beat,BEFORE,"'That will teach you to sell my property,' said she, when her arm was quite tired, but Ian her son answered her nothing, and went off to his bed, for he was very sore. ",answered,8,9,4,5
"'That will teach you to sell my property,' said she, when her arm was quite tired, but Ian her son answered her nothing, and went off to his bed, for he was very sore. ",answered,BEFORE,"That night he rose softly, and left the house carrying the gun with him. ",left,9,10,5,1
"That night he rose softly, and left the house carrying the gun with him. ",left,BEFORE,"'I will not stay here to be beaten,' thought he, and he walked and he walked and he walked, till it was day again, and he was hungry and looked about him to see if he could get anything to eat. ",walked,10,11,1,5
"'I will not stay here to be beaten,' thought he, and he walked and he walked and he walked, till it was day again, and he was hungry and looked about him to see if he could get anything to eat. ",walked,BEFORE,"Not very far off was a farm-house, so he went there, and knocked at the door, and the farmer and his wife begged him to come in, and share their breakfast. ",went,11,12,5,1
"Not very far off was a farm-house, so he went there, and knocked at the door, and the farmer and his wife begged him to come in, and share their breakfast. ",went,BEFORE,"'Ah, you have a gun,' said the farmer as the young man placed it in a corner. ",placed,12,13,1,2
"'Ah, you have a gun,' said the farmer as the young man placed it in a corner. ",placed,AFTER,"'That is well, for a deer comes every evening to eat my corn, and I cannot catch it. ",eat,13,14,2,2
"'That is well, for a deer comes every evening to eat my corn, and I cannot catch it. ",eat,BEFORE,It is fortune that has sent you to me.' ,sent,14,15,2,2
It is fortune that has sent you to me.' ,sent,BEFORE,"'I will gladly remain and shoot the deer for you,' replied the youth, and that night he hid himself and watched till the deer came to the cornfield; ",replied,15,16,2,3
"'I will gladly remain and shoot the deer for you,' replied the youth, and that night he hid himself and watched till the deer came to the cornfield; ",replied,BEFORE," then he lifted his gun to his shoulder and was just going to pull the trigger, when, behold! ",lifted,16,17,3,0
" then he lifted his gun to his shoulder and was just going to pull the trigger, when, behold! ",lifted,AFTER,"instead of a deer, a woman with long black hair was standing there. ",standing,17,18,0,1
"instead of a deer, a woman with long black hair was standing there. ",standing,BEFORE,"At this sight his gun almost dropped from his hand in surprise, but as he looked, there was the deer eating the corn again. ",looked,18,19,1,1
"At this sight his gun almost dropped from his hand in surprise, but as he looked, there was the deer eating the corn again. ",looked,AFTER,"With a bound the deer sprang on the roof, and lay down where none could see her, but as she did so she called out, 'Go in, fisher's son, and eat and drink while you may.' ",sprang,19,22,1,1
"With a bound the deer sprang on the roof, and lay down where none could see her, but as she did so she called out, 'Go in, fisher's son, and eat and drink while you may.' ",sprang,BEFORE,"So he entered and found food and wine on the table, but no man, for the house belonged to some robbers, who were still away at their wicked business. ",entered,22,23,1,0
"So he entered and found food and wine on the table, but no man, for the house belonged to some robbers, who were still away at their wicked business. ",entered,BEFORE,"After Ian, the fisher's son, had eaten all he wanted, he hid himself behind a great cask, and very soon he heard a noise, as of men coming through the heather, and the small twigs snapping under their feet. ",coming,23,24,0,5
"After Ian, the fisher's son, had eaten all he wanted, he hid himself behind a great cask, and very soon he heard a noise, as of men coming through the heather, and the small twigs snapping under their feet. ",coming,BEFORE,"From his dark corner he could see into the room, and he counted four and twenty of them, all big, cross-looking men. ",counted,24,25,5,2
"From his dark corner he could see into the room, and he counted four and twenty of them, all big, cross-looking men. ",counted,AFTER,"'Some one has been eating our dinner,' cried they, 'and there was hardly enough for ourselves.' ",eating,25,26,2,2
"'Some one has been eating our dinner,' cried they, 'and there was hardly enough for ourselves.' ",eating,BEFORE,"'It is the man who is lying under the cask,' answered the leader. ",answered,26,27,2,3
"'It is the man who is lying under the cask,' answered the leader. ",answered,BEFORE,"'Go and kill him, and then come and eat your food and sleep, for we must be off betimes in the morning.' ",eat,27,28,3,3
"'Go and kill him, and then come and eat your food and sleep, for we must be off betimes in the morning.' ",eat,AFTER,"So four of them killed the fisher's son and left him, and then went to bed. ",killed,28,29,3,0
"So four of them killed the fisher's son and left him, and then went to bed. ",killed,BEFORE,"By sunrise they were all out of the house, for they had far to go. ",go,29,30,0,2
"By sunrise they were all out of the house, for they had far to go. ",go,AFTER,"And when they had disappeared the deer came off the roof, to where the dead man lay, and she shook her head over him, and wax fell from her ear, and he jumped up as well as ever. ",disappeared,30,31,2,1
"And when they had disappeared the deer came off the roof, to where the dead man lay, and she shook her head over him, and wax fell from her ear, and he jumped up as well as ever. ",disappeared,BEFORE,"'Trust me and eat as you did before, and no harm shall happen to you,' said she. ",said,31,32,1,5
"'Trust me and eat as you did before, and no harm shall happen to you,' said she. ",said,BEFORE,"So Ian ate and drank, and fell sound asleep under the cask. ",drank,32,33,5,1
"So Ian ate and drank, and fell sound asleep under the cask. ",drank,AFTER,"In the evening the robbers arrived very tired, and crosser than they had been yesterday, for their luck had turned and they had brought back scarcely anything. ",turned,33,34,1,4
"In the evening the robbers arrived very tired, and crosser than they had been yesterday, for their luck had turned and they had brought back scarcely anything. ",turned,BEFORE,"'Someone has eaten our dinner again,' cried they. ",eaten,34,35,4,1
"'Someone has eaten our dinner again,' cried they. ",eaten,BEFORE,"'It is the man under the barrel,' answered the captain. ",answered,35,36,1,1
"'It is the man under the barrel,' answered the captain. ",answered,BEFORE,"'Let four of you go and kill him, but first slay the other four who pretended to kill him last night and didn't because he is still alive.' ",kill,36,37,1,2
"'Let four of you go and kill him, but first slay the other four who pretended to kill him last night and didn't because he is still alive.' ",kill,AFTER,"Then Ian was killed a second time, and after the rest of the robbers had eaten, they lay down and slept till morning. ",killed,37,38,2,1
"Then Ian was killed a second time, and after the rest of the robbers had eaten, they lay down and slept till morning. ",killed,BEFORE,No sooner were their faces touched with the sun's rays than they were up and off. ,touched,38,39,1,1
No sooner were their faces touched with the sun's rays than they were up and off. ,touched,BEFORE,"Then the deer entered and dropped the healing wax on the dead man, and he was as well as ever. ",entered,39,40,1,0
"Then the deer entered and dropped the healing wax on the dead man, and he was as well as ever. ",entered,BEFORE,"By this time he did not mind what befell him, so sure was he that the deer would take care of him, and in the evening that which had happened before happened again--the four robbers were put to death and the fisher's son also, but because there was no food left for them to eat, they were nearly mad with rage, and began to quarrel. ",eat,40,41,0,13
