sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,walking,20,27,20,27,4,0.0,11.0,0.0,11.0,,,,,verb.motion,0,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
0,2,leading,45,52,45,52,4,0.0,11.0,0.0,11.0,,,,,verb.motion,1,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
1,6,drowned,101,108,188,195,9,59.0,90.0,146.0,177.0,,,,,verb.contact,3,subject,a fisherman,1.0,0.0,1.0,unknown,0.0,tertiary
1,6,drowned,101,108,188,195,4,59.0,90.0,146.0,177.0,,,,,verb.contact,3,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
1,6,drowned,101,108,188,195,8,59.0,90.0,146.0,177.0,,,,,verb.contact,3,subject,A young man's father,1.0,0.0,1.0,male,1.0,tertiary
1,7,wondering,121,130,208,217,9,59.0,90.0,146.0,177.0,,,,,verb.communication,5,subject,a fisherman,1.0,0.0,1.0,unknown,0.0,tertiary
1,7,wondering,121,130,208,217,4,59.0,90.0,146.0,177.0,,,,,verb.communication,5,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
1,7,wondering,121,130,208,217,8,59.0,90.0,146.0,177.0,,,,,verb.communication,5,subject,A young man's father,1.0,0.0,1.0,male,1.0,tertiary
1,9,do,146,148,233,235,4,131.0,135.0,218.0,222.0,,,,,verb.social,2,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
1,10,earn,152,156,239,243,4,136.0,138.0,223.0,225.0,,,,,verb.possession,4,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
2,4,sell,77,81,348,352,4,73.0,76.0,344.0,347.0,,,,,verb.possession,7,subject,A young man,1.0,12.0,13.0,male,1.0,tertiary
4,1,give,15,19,531,535,12,1.0,5.0,517.0,521.0,,,,,verb.possession,10,subject,a man standing in the road,1.0,6.0,7.0,male,1.0,tertiary
6,1,give,10,14,581,585,12,6.0,9.0,577.0,580.0,,,,,verb.possession,11,subject,a man standing in the road,1.0,6.0,7.0,male,1.0,tertiary
7,1,give,8,12,639,643,14,1.0,2.0,632.0,633.0,,,,,verb.possession,12,subject,the man,1.0,2.0,3.0,male,1.0,tertiary
7,2,answered,20,28,651,659,14,1.0,2.0,632.0,633.0,,,,,verb.communication,13,subject,the man,1.0,2.0,3.0,male,1.0,tertiary
7,3,took,45,49,676,680,14,42.0,44.0,673.0,675.0,,,,,verb.contact,14,subject,the man,1.0,2.0,3.0,male,1.0,tertiary
7,4,took,75,79,706,710,13,65.0,74.0,696.0,705.0,,,,,verb.contact,15,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
8,0,heard,20,25,792,797,13,9.0,19.0,781.0,791.0,,,,,verb.cognition,17,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
8,0,heard,20,25,792,797,6,9.0,19.0,781.0,791.0,,,,,verb.cognition,17,subject,A young man's mother,3.0,9.0,12.0,female,1.0,tertiary
8,2,done,38,42,810,814,13,26.0,30.0,798.0,802.0,,,,,verb.social,16,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
8,4,beat,67,71,839,843,6,43.0,46.0,815.0,818.0,76.0,114.0,848.0,886.0,verb.contact,19,subject,A young man's mother,3.0,9.0,12.0,female,1.0,tertiary
8,5,had,99,102,871,874,6,81.0,88.0,853.0,860.0,,,,,verb.perception,18,subject,A young man's mother,3.0,9.0,12.0,female,1.0,tertiary
9,2,sell,24,28,912,916,13,17.0,20.0,905.0,908.0,,,,,verb.possession,22,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
9,3,said,43,47,931,935,13,1.0,40.0,889.0,928.0,,,,,verb.communication,21,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
9,3,said,43,47,931,935,6,1.0,40.0,889.0,928.0,,,,,verb.communication,21,subject,A young man's mother,3.0,9.0,12.0,female,1.0,tertiary
9,5,answered,99,107,987,995,19,91.0,98.0,979.0,986.0,,,,,verb.communication,23,subject,A young man's mother's son,3.0,0.0,3.0,unknown,0.0,tertiary
9,5,answered,99,107,987,995,6,91.0,98.0,979.0,986.0,,,,,verb.communication,23,subject,A young man's mother,3.0,9.0,12.0,female,1.0,tertiary
10,0,rose,14,18,1070,1074,13,11.0,13.0,1067.0,1069.0,,,,,verb.motion,24,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
10,1,left,31,35,1087,1091,13,11.0,13.0,1067.0,1069.0,,,,,verb.motion,25,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
11,3,beaten,28,34,1157,1163,13,1.0,2.0,1130.0,1131.0,,,,,verb.social,26,subject,the youth,3.0,31.0,34.0,male,1.0,secondary
