sentence_id,event_id,temporal_rank
0,1,0
1,10,1
2,4,2
3,0,3
5,0,4
4,1,5
6,1,6
7,2,7
8,4,8
9,5,9
10,1,10
11,5,11
12,1,12
14,2,13
13,2,14
15,2,15
16,3,16
18,1,17
17,0,18
22,1,19
19,1,20
23,0,21
24,5,22
26,2,23
25,2,24
27,3,25
29,0,26
28,3,27
31,1,28
30,2,29
32,5,30
34,4,31
33,1,32
35,1,33
36,1,34
38,1,35
37,2,36
39,1,37
40,0,38
41,13,39
42,2,40
43,4,41
44,3,42
45,0,43
46,8,44
47,5,45
48,1,46
49,4,47
50,6,48
51,1,49
52,1,50
53,1,51
54,1,52
55,3,53
56,3,54
57,7,55
59,6,56
58,3,57
60,3,58
61,1,59
62,1,60
63,0,61
66,0,62
68,2,63
67,7,64
69,3,65
73,4,66
72,4,67
70,7,68
74,2,69
75,1,70
76,8,71
77,8,72
78,3,73
79,4,74
80,1,75
81,2,76
82,0,77
83,1,78
85,3,79
84,1,80
87,1,81
86,2,82
88,7,83
89,2,84
90,2,85
92,3,86
91,3,87
93,2,88
94,1,89
95,1,90
98,4,91
97,1,92
99,4,93
100,3,94
101,5,95
103,7,96
102,1,97
104,0,98
106,11,99
105,9,100
107,4,101
108,3,102
110,6,103
109,3,104
111,2,105
114,2,106
116,2,107
115,1,108
117,9,109
118,0,110
120,0,111
121,0,112
126,6,113
125,0,114
124,3,115
122,0,116
