sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,3,possessed,78,87,210,219,6,75.0,77.0,207.0,209.0,,88.0,107.0,220.0,239.0,,,,,verb.possession,1,True
2,1,meditating,29,39,270,280,11,0.0,8.0,241.0,249.0,,,,,,,,,,verb.social,1,True
3,1,inquired,31,39,414,422,11,28.0,30.0,411.0,413.0,"11,15,7",40.0,108.0,423.0,491.0,,,,,verb.communication,1,True
4,0,replied,4,11,497,504,7,0.0,3.0,493.0,496.0,7,12.0,24.0,505.0,517.0,,,,,verb.communication,1,True
6,1,said,29,33,606,610,11,26.0,28.0,603.0,605.0,"183,11,182,7",34.0,47.0,611.0,624.0,,,,,verb.communication,1,True
7,0,asked,9,14,694,699,11,6.0,8.0,691.0,693.0,"11,7",15.0,25.0,700.0,710.0,,,,,verb.communication,1,True
8,0,complied,4,12,755,763,7,0.0,3.0,751.0,754.0,11,13.0,29.0,764.0,780.0,,,,,verb.communication,1,True
9,0,received,19,27,800,808,11,16.0,18.0,797.0,799.0,,28.0,41.0,809.0,822.0,,,,,verb.contact,1,True
10,2,looking,54,61,947,954,,,,,,11,62.0,69.0,955.0,962.0,,,,,verb.perception,1,True
11,2,addressed,62,71,1083,1092,21,33.0,36.0,1054.0,1057.0,22,72.0,75.0,1093.0,1096.0,,,,,verb.communication,1,True
12,2,gone,75,79,1303,1307,,60.0,65.0,1288.0,1293.0,22,80.0,90.0,1308.0,1318.0,,,,,verb.motion,1,True
13,4,succeed,118,125,1479,1486,22,106.0,109.0,1467.0,1470.0,,,,,,,,,,verb.social,1,True
14,2,gave,31,35,1520,1524,21,27.0,30.0,1516.0,1519.0,22,36.0,39.0,1525.0,1528.0,,,,,verb.communication,1,True
16,1,hung,60,64,1864,1868,,8.0,55.0,1812.0,1859.0,195,65.0,120.0,1869.0,1924.0,,,,,verb.contact,1,True
18,1,abide,28,33,2039,2044,,,,,,21,43.0,59.0,2054.0,2070.0,,,,,verb.social,1,True
19,0,gave,19,23,2092,2096,23,0.0,13.0,2073.0,2086.0,"22,24",24.0,40.0,2097.0,2113.0,,,,,verb.communication,1,True
20,2,proceed,52,59,2209,2216,22,42.0,44.0,2199.0,2201.0,,,,,,,,,,verb.motion,1,True
22,2,saw,37,40,2428,2431,22,34.0,36.0,2425.0,2427.0,23,41.0,102.0,2432.0,2493.0,,,,,verb.perception,1,True
23,2,endeavored,60,70,2555,2565,22,57.0,59.0,2552.0,2554.0,,,,,,,,,,verb.social,1,True
25,1,reach,33,38,2662,2667,22,17.0,19.0,2646.0,2648.0,,39.0,41.0,2668.0,2670.0,,,,,verb.motion,1,True
26,0,bethought,3,12,2767,2776,22,0.0,2.0,2764.0,2766.0,"22,31",13.0,16.0,2777.0,2780.0,,,,,verb.cognition,1,True
28,3,thrust,125,131,3115,3121,22,122.0,124.0,3112.0,3114.0,,132.0,134.0,3122.0,3124.0,,,,,verb.motion,1,True
29,2,climb,64,69,3264,3269,22,12.0,55.0,3212.0,3255.0,,,,,,,,,,verb.motion,1,True
30,5,carry,112,117,3436,3441,,73.0,81.0,3397.0,3405.0,22,118.0,127.0,3442.0,3451.0,,,,,verb.contact,1,True
31,2,began,77,82,3554,3559,22,74.0,76.0,3551.0,3553.0,,83.0,93.0,3560.0,3570.0,,,,,verb.change,1,True
32,1,resolved,30,38,3670,3678,22,27.0,29.0,3667.0,3669.0,,39.0,55.0,3679.0,3695.0,,,,,verb.cognition,1,True
33,0,went,13,17,3710,3714,22,10.0,12.0,3707.0,3709.0,,,,,,,,,,verb.motion,1,True
34,0,goes,42,46,3856,3860,22,39.0,41.0,3853.0,3855.0,,,,,,,,,,verb.motion,1,True
36,2,sitting,83,90,4027,4034,42,60.0,82.0,4004.0,4026.0,43,91.0,110.0,4035.0,4054.0,,,,,verb.contact,1,True
37,0,asked,3,8,4059,4064,2,0.0,2.0,4056.0,4058.0,42,9.0,20.0,4065.0,4076.0,,,,,verb.communication,1,True
38,0,called,25,31,4103,4109,"2,44",0.0,24.0,4078.0,4102.0,"4,44,45,3",32.0,39.0,4110.0,4117.0,,,,,verb.communication,1,True
39,2,addressed,71,80,4236,4245,2,68.0,70.0,4233.0,4235.0,46,81.0,88.0,4246.0,4253.0,89.0,105.0,4254.0,4270.0,verb.communication,1,True
40,0,addressed,13,22,4354,4363,2,10.0,12.0,4351.0,4353.0,2,23.0,30.0,4364.0,4371.0,,,,,verb.communication,1,True
