sentence_id,event_id,temporal_rank
1,3,0
2,1,1
3,1,2
4,0,3
6,1,4
7,0,5
8,0,6
9,0,7
10,2,8
12,2,9
11,2,10
13,4,11
16,1,12
14,2,13
18,1,14
19,0,15
20,2,16
22,2,17
23,2,18
25,1,19
26,0,20
29,2,21
28,3,22
30,5,23
31,2,24
32,1,25
33,0,26
36,2,27
34,0,28
37,0,29
38,0,30
39,2,31
40,0,32
42,8,33
41,0,34
43,1,35
45,2,36
44,9,37
46,7,38
47,4,39
48,3,40
51,0,41
50,1,42
49,1,43
52,0,44
54,5,45
55,2,46
57,1,47
56,4,48
58,0,49
59,1,50
60,1,51
61,3,52
62,2,53
63,0,54
64,1,55
65,1,56
67,4,57
66,0,58
68,7,59
69,4,60
70,0,61
71,1,62
73,4,63
72,9,64
74,1,65
76,3,66
78,3,67
77,0,68
81,8,69
82,1,70
83,0,71
84,0,72
85,1,73
86,1,74
87,1,75
88,4,76
89,1,77
90,1,78
91,3,79
92,0,80
93,1,81
94,1,82
95,0,83
97,2,84
96,1,85
98,2,86
99,0,87
100,0,88
101,11,89
103,2,90
104,3,91
106,2,92
105,2,93
107,1,94
108,5,95
109,1,96
110,0,97
111,0,98
112,3,99
116,0,100
114,1,101
117,4,102
118,0,103
119,0,104
120,0,105
121,2,106
122,2,107
124,0,108
123,1,109
126,2,110
127,1,111
128,2,112
131,0,113
133,1,114
134,3,115
135,1,116
136,0,117
139,0,118
137,3,119
140,2,120
141,6,121
142,1,122
144,2,123
146,0,124
147,4,125
148,5,126
150,2,127
151,2,128
156,0,129
155,0,130
158,2,131
160,0,132
159,1,133
163,0,134
161,2,135
165,1,136
166,0,137
167,4,138
168,1,139
171,0,140
172,2,141
176,0,142
178,0,143
183,0,144
181,2,145
184,0,146
185,4,147
186,3,148
187,1,149
188,2,150
190,2,151
189,1,152
194,2,153
199,3,154
200,1,155
201,0,156
203,5,157
202,2,158
206,0,159
205,0,160
208,0,161
214,3,162
213,1,163
216,1,164
215,2,165
217,2,166
218,0,167
219,3,168
220,3,169
221,0,170
