sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
The brother of Manawyddan had been slain. ,slain,BEFORE,His throne was taken from him. ,taken,1,2,2,1
His throne was taken from him. ,taken,BEFORE,"Very sorrowful was Manawyddan, but Pryderi was stout of heart, and bade him be of good cheer. ",bade,2,3,1,2
"Very sorrowful was Manawyddan, but Pryderi was stout of heart, and bade him be of good cheer. ",bade,AFTER,He knew a way out of his trouble. ,knew,3,4,2,0
He knew a way out of his trouble. ,knew,BEFORE,asked Manawyddan. ,asked,4,6,0,0
asked Manawyddan. ,asked,BEFORE,'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,marry,6,7,0,1
'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,marry,BEFORE,'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,become,7,7,1,2
'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,become,BEFORE,'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,give,7,7,2,4
'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. ,give,AFTER,Never did any lady have more wit than she. ,have,7,8,4,1
Never did any lady have more wit than she. ,have,BEFORE,"'Thou art the best friend that ever a man had,' said Manawyddan. ",said,8,11,1,1
"'Thou art the best friend that ever a man had,' said Manawyddan. ",said,BEFORE,"'Let us go now to seek Rhiannon, and the lands where she dwells.' ",Let,11,12,1,0
"'Let us go now to seek Rhiannon, and the lands where she dwells.' ",Let,BEFORE,"'Let us go now to seek Rhiannon, and the lands where she dwells.' ",seek,12,12,0,2
"'Let us go now to seek Rhiannon, and the lands where she dwells.' ",seek,AFTER,"Rhiannon and Kieva, wife of Pryderi, made haste to prepare a feast for them. ",made,12,14,2,0
"Rhiannon and Kieva, wife of Pryderi, made haste to prepare a feast for them. ",made,BEFORE,"Rhiannon and Kieva, wife of Pryderi, made haste to prepare a feast for them. ",prepare,14,14,0,1
"Rhiannon and Kieva, wife of Pryderi, made haste to prepare a feast for them. ",prepare,BEFORE,"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",found,14,15,1,0
"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",found,AFTER,"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",spoken,15,15,0,2
"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",spoken,BEFORE,"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",asked,15,15,2,4
"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",asked,BEFORE,"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",take,15,15,4,6
"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband. ",take,BEFORE,"Right gladly did she consent, and without delay they were married, and rode away to the hunt, Rhiannon and Manawyddan, Kieva and Pryderi. ",consent,15,16,6,1
"Right gladly did she consent, and without delay they were married, and rode away to the hunt, Rhiannon and Manawyddan, Kieva and Pryderi. ",consent,AFTER,"In the place where they were wont to see cattle, and herds, and dwellings, they beheld neither house nor beast, nor man nor smoke. ",beheld,16,22,1,3
"In the place where they were wont to see cattle, and herds, and dwellings, they beheld neither house nor beast, nor man nor smoke. ",beheld,BEFORE,"For a time they desired nothing more, but when the next year began they grew weary. ",desired,22,29,3,0
"For a time they desired nothing more, but when the next year began they grew weary. ",desired,BEFORE,"For a time they desired nothing more, but when the next year began they grew weary. ",grew,29,29,0,2
"For a time they desired nothing more, but when the next year began they grew weary. ",grew,BEFORE,"'We cannot spend our lives thus,' said Manawyddan at last, 'let us go into England and learn some trade by which we may live.' ",said,29,30,2,2
"'We cannot spend our lives thus,' said Manawyddan at last, 'let us go into England and learn some trade by which we may live.' ",said,AFTER,"There they made saddles, while Manawyddan fashioned blue enamel ornaments to put on their trappings. ",fashioned,30,32,2,1
"There they made saddles, while Manawyddan fashioned blue enamel ornaments to put on their trappings. ",fashioned,BEFORE,And so greatly did the townsfolk love these saddles. ,love,32,33,1,1
