sentence_id,event_id,temporal_rank
1,2,0
2,1,1
4,0,2
3,2,3
6,0,4
8,1,5
7,2,6
11,1,7
14,1,8
12,0,9
15,4,10
22,3,11
16,1,12
29,0,13
32,1,14
30,2,15
33,1,16
34,2,17
35,4,18
39,0,19
40,2,20
42,0,21
43,2,22
46,2,23
47,0,24
48,2,25
49,3,26
50,2,27
51,1,28
53,1,29
54,0,30
55,5,31
57,2,32
56,2,33
62,2,34
65,0,35
66,3,36
67,2,37
68,0,38
69,0,39
70,0,40
72,3,41
73,0,42
74,3,43
76,0,44
77,0,45
79,0,46
80,5,47
82,3,48
83,1,49
84,0,50
86,0,51
87,1,52
90,1,53
92,1,54
91,2,55
96,0,56
98,0,57
97,3,58
99,2,59
101,0,60
100,0,61
102,1,62
103,2,63
106,0,64
108,2,65
109,1,66
110,1,67
114,3,68
112,2,69
115,1,70
120,1,71
117,1,72
124,0,73
126,3,74
130,2,75
127,4,76
132,0,77
134,3,78
133,2,79
137,4,80
136,1,81
139,2,82
140,4,83
141,5,84
144,0,85
143,1,86
146,2,87
145,3,88
149,0,89
147,1,90
152,0,91
151,1,92
155,3,93
153,2,94
157,0,95
158,3,96
159,1,97
161,1,98
160,1,99
164,3,100
163,0,101
165,1,102
167,1,103
166,0,104
170,3,105
169,0,106
173,2,107
174,1,108
175,3,109
178,0,110
176,2,111
179,1,112
182,0,113
180,2,114
187,2,115
183,0,116
188,1,117
192,1,118
189,0,119
194,1,120
195,3,121
196,1,122
197,0,123
198,1,124
199,0,125
200,1,126
203,1,127
201,3,128
206,1,129
207,1,130
210,0,131
211,2,132
212,2,133
214,5,134
215,1,135
216,0,136
217,4,137
218,0,138
219,3,139
220,1,140
222,1,141
221,1,142
223,0,143
224,1,144
228,0,145
225,1,146
229,1,147
230,2,148
232,0,149
231,1,150
234,0,151
235,1,152
236,2,153
238,1,154
240,1,155
242,1,156
241,1,157
243,2,158
244,2,159
