sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"That is, he had no special work mapped out for him to do, but he was expected to undertake odd jobs of any kind that happened to turn up. ",undertake,BEFORE,One day his master sent him out to cast peats on a piece of moorland that lay on a certain part of the farm. ,cast,2,3,5,1
One day his master sent him out to cast peats on a piece of moorland that lay on a certain part of the farm. ,cast,BEFORE,"Now this strip of moorland ran up at one end to a curiously shaped crag, known as Merlin's Crag, because, so the country folk said, that famous Enchanter had once taken up his abode there. ",said,3,4,1,2
"Now this strip of moorland ran up at one end to a curiously shaped crag, known as Merlin's Crag, because, so the country folk said, that famous Enchanter had once taken up his abode there. ",said,BEFORE,"The man obeyed, and, being a willing fellow, when he arrived at the moor he set to work with all his might and main. ",work,4,5,2,4
"The man obeyed, and, being a willing fellow, when he arrived at the moor he set to work with all his might and main. ",work,AFTER,"He had lifted quite a quantity of peat from near the Crag, when he was startled by the appearance of the very smallest woman that he had ever seen in his life. ",lifted,5,6,4,1
"He had lifted quite a quantity of peat from near the Crag, when he was startled by the appearance of the very smallest woman that he had ever seen in his life. ",lifted,BEFORE,"She was only about two feet high, and she was dressed in a green gown and red stockings, and her long yellow hair was not bound by any ribbon, but hung loosely round her shoulders. ",bound,6,7,1,4
"She was only about two feet high, and she was dressed in a green gown and red stockings, and her long yellow hair was not bound by any ribbon, but hung loosely round her shoulders. ",bound,BEFORE,"She was such a dainty little creature that the astonished countryman stopped working, stuck his spade into the ground, and gazed at her in wonder. ",working,7,8,4,2
"She was such a dainty little creature that the astonished countryman stopped working, stuck his spade into the ground, and gazed at her in wonder. ",working,BEFORE,"His wonder increased when she held up one of her tiny fingers and addressed him in these words: ""What would you think if I were to send my husband to uncover your house? ",uncover,8,9,2,7
"His wonder increased when she held up one of her tiny fingers and addressed him in these words: ""What would you think if I were to send my husband to uncover your house? ",uncover,AFTER,"You mortals think that you can do aught that pleases you."" ",think,9,10,7,0
"You mortals think that you can do aught that pleases you."" ",think,BEFORE,"Then, stamping her tiny foot, she added in a voice of command, ""Put back that turf instantly, or you shall regret this day."" ",stamping,10,11,0,0
"Then, stamping her tiny foot, she added in a voice of command, ""Put back that turf instantly, or you shall regret this day."" ",stamping,AFTER,"Now the poor man had often heard of the Fairy Folk and of the harm that they could work to unthinking mortals who offended them, so in fear and trembling he set to work to undo all his labour, and to place every divot in the exact spot from which he had taken it. ",work,11,12,0,3
"Now the poor man had often heard of the Fairy Folk and of the harm that they could work to unthinking mortals who offended them, so in fear and trembling he set to work to undo all his labour, and to place every divot in the exact spot from which he had taken it. ",work,BEFORE,"When he was finished he looked round for his strange visitor, but she had vanished completely. ",vanished,12,13,3,4
"When he was finished he looked round for his strange visitor, but she had vanished completely. ",vanished,BEFORE,"He could not tell how, nor where. ",tell,13,14,4,1
"He could not tell how, nor where. ",tell,BEFORE,"Putting up his spade, he wended his way homewards, and going straight to his master, he told him the whole story. ",wended,14,15,1,1
"Putting up his spade, he wended his way homewards, and going straight to his master, he told him the whole story. ",wended,BEFORE,He suggested that in future the peats should be taken from the other end of the moor. ,suggested,15,16,1,0
He suggested that in future the peats should be taken from the other end of the moor. ,suggested,BEFORE,But the master only laughed. ,laughed,16,17,0,0
But the master only laughed. ,laughed,AFTER,"He was a strong, hearty man, and had no belief in Ghosts, or Elves, or Fairies, or any other creature that he could not see. ",had,17,18,0,1
"He was a strong, hearty man, and had no belief in Ghosts, or Elves, or Fairies, or any other creature that he could not see. ",had,BEFORE,"Although he laughed, he was vexed that his servant should believe in such things, so to cure him, as he thought, of his superstition, he ordered him to take a horse and cart and go back at once, and lift all the peats and bring them to dry in the farm steading. ",lift,18,19,1,10
"Although he laughed, he was vexed that his servant should believe in such things, so to cure him, as he thought, of his superstition, he ordered him to take a horse and cart and go back at once, and lift all the peats and bring them to dry in the farm steading. ",lift,BEFORE,The poor man obeyed with much reluctance. ,obeyed,19,20,10,0
The poor man obeyed with much reluctance. ,obeyed,BEFORE,"He was greatly relieved, as weeks went on, to find that, in spite of his having done so, no harm befell him. ",relieved,20,21,0,1
"He was greatly relieved, as weeks went on, to find that, in spite of his having done so, no harm befell him. ",relieved,BEFORE,"In fact, he began to think that his master was right, and that the whole thing must have been a dream. ",think,21,22,1,1
"In fact, he began to think that his master was right, and that the whole thing must have been a dream. ",think,BEFORE,"That day, as the sun went down, the orra man left the farm to go home to his cottage. ",left,22,25,1,1
"That day, as the sun went down, the orra man left the farm to go home to his cottage. ",left,AFTER,"As his master was pleased with him because he had been working very hard lately, he had given him a little can of milk as a present to carry home to his wife. ",working,25,26,1,3
"As his master was pleased with him because he had been working very hard lately, he had given him a little can of milk as a present to carry home to his wife. ",working,BEFORE,"So he was feeling very happy, and as he walked along he was humming a tune to himself. ",humming,26,27,3,4
"So he was feeling very happy, and as he walked along he was humming a tune to himself. ",humming,BEFORE,"His road took him by the foot of Merlin's Crag, and as he approached it he was astonished to find himself growing strangely tired. ",astonished,27,28,4,3
"His road took him by the foot of Merlin's Crag, and as he approached it he was astonished to find himself growing strangely tired. ",astonished,BEFORE,"His eyelids dropped over his eyes as if he were going to sleep, and his feet grew as heavy as lead. ",sleep,28,29,3,3
"His eyelids dropped over his eyes as if he were going to sleep, and his feet grew as heavy as lead. ",sleep,BEFORE,"""I will sit down and take a rest for a few minutes,"" he said to himself; ",said,29,30,3,3
"""I will sit down and take a rest for a few minutes,"" he said to himself; ",said,BEFORE,"So he sat down on a tuft of grass right under the shadow of the Crag, and before he knew where he was he had fallen into a deep and heavy slumber. ",knew,30,32,3,1
"So he sat down on a tuft of grass right under the shadow of the Crag, and before he knew where he was he had fallen into a deep and heavy slumber. ",knew,BEFORE,"When he awoke it was near midnight, and the moon had risen on the Crag. ",awoke,32,33,1,0
"When he awoke it was near midnight, and the moon had risen on the Crag. ",awoke,BEFORE,"And he rubbed his eyes, when by its soft light he became aware of a large band of Fairies who were dancing round and round him, singing and laughing, pointing their tiny fingers at him, and shaking their wee fists in his face. ",rubbed,33,34,0,0
"And he rubbed his eyes, when by its soft light he became aware of a large band of Fairies who were dancing round and round him, singing and laughing, pointing their tiny fingers at him, and shaking their wee fists in his face. ",rubbed,BEFORE,"The bewildered man rose and tried to walk away from them, but turn in whichever direction he would the Fairies accompanied him, encircling him in a magic ring, out of which he could in no way go. ",encircling,34,35,0,6
"The bewildered man rose and tried to walk away from them, but turn in whichever direction he would the Fairies accompanied him, encircling him in a magic ring, out of which he could in no way go. ",encircling,BEFORE,"At last they stopped, and, with shrieks of elfin laughter, led the prettiest and daintiest of their companions up to him, and cried, ""Tread a measure, tread a measure, Oh, Man! ",led,35,36,6,1
"At last they stopped, and, with shrieks of elfin laughter, led the prettiest and daintiest of their companions up to him, and cried, ""Tread a measure, tread a measure, Oh, Man! ",led,BEFORE,"Then wilt thou not be so eager to escape from our company."" ",escape,36,37,1,2
"Then wilt thou not be so eager to escape from our company."" ",escape,AFTER,"But the Fairy who had been chosen to be his partner reached up and seized his hands, and lo! ",chosen,37,39,2,2
"But the Fairy who had been chosen to be his partner reached up and seized his hands, and lo! ",chosen,BEFORE,some strange magic seemed to enter into his veins. ,enter,39,40,2,1
some strange magic seemed to enter into his veins. ,enter,BEFORE,"For in a moment he found himself waltzing and whirling, sliding and bowing, as if he had done nothing else but dance all his life. ",waltzing,40,41,1,1
"For in a moment he found himself waltzing and whirling, sliding and bowing, as if he had done nothing else but dance all his life. ",waltzing,BEFORE,he forgot about his home and his children. ,forgot,41,43,1,0
he forgot about his home and his children. ,forgot,BEFORE,He felt so happy that he had no longer the slightest desire to leave the Fairies' company. ,leave,43,44,0,2
He felt so happy that he had no longer the slightest desire to leave the Fairies' company. ,leave,BEFORE,"The Little Folk danced and danced as if they were mad, and the farm man danced with them, until at last a shrill sound came over the moor. ",danced,44,46,2,0
"The Little Folk danced and danced as if they were mad, and the farm man danced with them, until at last a shrill sound came over the moor. ",danced,BEFORE,"In an instant the revelry ceased, and the Fairies, with cries of alarm, crowded together and rushed towards the Crag, dragging the countryman along in their midst. ",dragging,46,48,0,3
"In an instant the revelry ceased, and the Fairies, with cries of alarm, crowded together and rushed towards the Crag, dragging the countryman along in their midst. ",dragging,AFTER,"As they reached the rock, a mysterious door, which he never remembered having seen before, opened in it of its own accord, and shut again with a crash as soon as the Fairy Host had all trooped through. ",seen,48,49,3,3
"As they reached the rock, a mysterious door, which he never remembered having seen before, opened in it of its own accord, and shut again with a crash as soon as the Fairy Host had all trooped through. ",seen,BEFORE,"Here the Little Folk sank to rest, tired out with their exertions, while the good man sat down on a piece of rock in the corner, wondering what would happen next. ",wondering,49,51,3,3
"Here the Little Folk sank to rest, tired out with their exertions, while the good man sat down on a piece of rock in the corner, wondering what would happen next. ",wondering,AFTER,But there seemed to be some kind of spell thrown over his senses. ,thrown,51,52,3,2
But there seemed to be some kind of spell thrown over his senses. ,thrown,AFTER,"Even when the Fairies awoke and began to go about their household occupations, and to carry out certain curious practices which he had never seen before, and which, as you will hear, he was forbidden to speak of afterwards, he was content to sit and watch them, without in any way attempting to escape. ",seen,52,53,2,5
"Even when the Fairies awoke and began to go about their household occupations, and to carry out certain curious practices which he had never seen before, and which, as you will hear, he was forbidden to speak of afterwards, he was content to sit and watch them, without in any way attempting to escape. ",seen,BEFORE,As it drew toward evening someone touched his elbow. ,touched,53,54,5,1
As it drew toward evening someone touched his elbow. ,touched,AFTER,"He turned round with a start to see the little woman with the green dress and scarlet stockings, who had remonstrated with him for lifting the turf the year before, standing by his side. ",remonstrated,54,55,1,3
"He turned round with a start to see the little woman with the green dress and scarlet stockings, who had remonstrated with him for lifting the turf the year before, standing by his side. ",remonstrated,BEFORE,"""The divots which you took from the roof of my house have grown once more,"" she said, ""and once more it is covered with grass. ",took,55,56,3,0
"""The divots which you took from the roof of my house have grown once more,"" she said, ""and once more it is covered with grass. ",took,BEFORE,"But first must you take your solemn oath never to tell to mortal ears what you have seen while you have dwelt among us."" ",seen,56,58,0,4
"But first must you take your solemn oath never to tell to mortal ears what you have seen while you have dwelt among us."" ",seen,BEFORE,"The countryman promised gladly, and took the oath with all due solemnity. ",promised,58,59,4,0
"The countryman promised gladly, and took the oath with all due solemnity. ",promised,BEFORE,"Then the door was opened, and he was at liberty to depart. ",depart,59,60,0,3
"Then the door was opened, and he was at liberty to depart. ",depart,AFTER,"His can of milk was standing on the green, just where he had laid it down when he went to sleep. ",standing,60,61,3,1
"His can of milk was standing on the green, just where he had laid it down when he went to sleep. ",standing,AFTER,It seemed to him as if it were only yesternight that the farmer had given it to him. ,given,61,62,1,3
It seemed to him as if it were only yesternight that the farmer had given it to him. ,given,BEFORE,But when he reached his home he was speedily undeceived. ,reached,62,63,3,0
