sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
2,5,undertake,81,90,216,225,7.0,62.0,64.0,197.0,199.0,,,,,verb.creation,True,0,subject,a poor man working as a laborer on a farm in Lanarkshire,1.0,6.0,7.0,male,1.0,tertiary
3,1,cast,35,39,308,312,7.0,24.0,27.0,297.0,300.0,,,,,verb.creation,True,1,subject,a poor man working as a laborer on a farm in Lanarkshire,1.0,6.0,7.0,male,1.0,tertiary
4,2,said,126,130,508,512,13.0,109.0,125.0,491.0,507.0,,,,,verb.communication,True,2,subject,the country folk,1.0,0.0,1.0,unknown,0.0,tertiary
5,4,work,83,87,654,658,17.0,73.0,75.0,644.0,646.0,,,,,verb.social,True,4,subject,The man,1.0,16.0,17.0,male,1.0,tertiary
6,1,lifted,7,13,695,701,17.0,0.0,2.0,688.0,690.0,59.0,158.0,747.0,846.0,verb.contact,True,3,subject,The man,1.0,16.0,17.0,male,1.0,tertiary
7,4,bound,122,127,970,975,20.0,93.0,113.0,941.0,961.0,,,,,verb.contact,True,5,subject,The man's very smallest woman that he had ever seen in his life,1.0,12.0,13.0,female,1.0,tertiary
8,2,working,77,84,1106,1113,21.0,43.0,68.0,1072.0,1097.0,,,,,verb.social,True,6,subject,the astonished countryman,1.0,0.0,1.0,unknown,0.0,tertiary
10,0,think,12,17,1358,1363,17.0,0.0,11.0,1346.0,1357.0,,,,,verb.cognition,True,7,subject,The man,1.0,16.0,17.0,male,1.0,tertiary
12,3,work,83,87,1613,1617,5.0,72.0,76.0,1602.0,1606.0,,,,,verb.social,True,9,subject,the Fairy Folk,1.0,2.0,3.0,group/nonbinary,1.0,tertiary
13,4,vanished,74,82,1868,1876,24.0,66.0,69.0,1860.0,1863.0,,,,,verb.change,True,11,subject,The poor man's strange visitor,1.0,1.0,2.0,female,1.0,tertiary
14,1,tell,13,17,1902,1906,22.0,0.0,2.0,1889.0,1891.0,,,,,verb.cognition,True,12,subject,The poor man,2.0,65.0,67.0,male,1.0,primary
15,1,wended,25,31,1948,1954,22.0,22.0,24.0,1945.0,1947.0,,,,,verb.motion,True,13,subject,The poor man,2.0,65.0,67.0,male,1.0,primary
16,0,suggested,3,12,2040,2049,22.0,0.0,2.0,2037.0,2039.0,,,,,verb.communication,True,14,subject,The poor man,2.0,65.0,67.0,male,1.0,primary
17,0,laughed,20,27,2143,2150,28.0,4.0,14.0,2127.0,2137.0,,,,,verb.body,True,16,subject,the master,1.0,10.0,11.0,male,1.0,tertiary
18,1,had,33,36,2185,2188,28.0,0.0,2.0,2152.0,2154.0,,,,,verb.possession,True,15,subject,the master,1.0,10.0,11.0,male,1.0,tertiary
