sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"The king had just awakened from his midday sleep, for it was summer, and everyone rose early and rested from twelve to three, as they do in hot countries. ",awakened,BEFORE,"He had dressed himself in cool white clothes, and was passing through the hall on his way to the council chamber, when a number of young nobles suddenly appeared before him, and one amongst them stepped forward and spoke. ",appeared,0,1,1,4
"He had dressed himself in cool white clothes, and was passing through the hall on his way to the council chamber, when a number of young nobles suddenly appeared before him, and one amongst them stepped forward and spoke. ",appeared,AFTER,"'Sire, this morning we were all playing tennis in the court, the prince and this gentleman with the rest, when there broke out some dispute about the game. ",playing,1,2,4,1
"'Sire, this morning we were all playing tennis in the court, the prince and this gentleman with the rest, when there broke out some dispute about the game. ",playing,BEFORE,"The prince lost his temper, and said many insulting things to the other, who was playing against him, till at length the gentleman whom you see there struck him violently in the face, so that the blood ran from his mouth and nose. ",struck,2,3,1,6
"The prince lost his temper, and said many insulting things to the other, who was playing against him, till at length the gentleman whom you see there struck him violently in the face, so that the blood ran from his mouth and nose. ",struck,BEFORE,"We were all so horrified at the sight, that we should most likely have killed the man then and there, for daring to lay hands on the prince, had not his grandfather the duke stepped between and commanded us to lay the affair before you.' ",stepped,3,4,6,7
"We were all so horrified at the sight, that we should most likely have killed the man then and there, for daring to lay hands on the prince, had not his grandfather the duke stepped between and commanded us to lay the affair before you.' ",stepped,BEFORE,"The king had listened attentively to the story, and when it was ended he said: 'I suppose the prince had no arms with him, or else he would have used them?' ",suppose,4,5,7,5
"The king had listened attentively to the story, and when it was ended he said: 'I suppose the prince had no arms with him, or else he would have used them?' ",suppose,AFTER,"'Yes, sire, he had arms; ",had,5,6,5,0
"'Yes, sire, he had arms; ",had,BEFORE,"But when he saw the blood pouring from his face, he went to a corner of the court and began to cry, which was the strangest thing of all.' ",saw,6,8,0,0
"But when he saw the blood pouring from his face, he went to a corner of the court and began to cry, which was the strangest thing of all.' ",saw,BEFORE,"On hearing this the king walked to the window and stood for a few minutes with his back to the room, where the company of young men remained silent. ",walked,8,9,0,1
"On hearing this the king walked to the window and stood for a few minutes with his back to the room, where the company of young men remained silent. ",walked,BEFORE,"'I tell you,' he said, 'and it is the solemn truth, that I would rather you had told me that the prince was dead, though he is my only son, than know that he would suffer such an injury without attempting to avenge it. ",told,9,11,1,5
"'I tell you,' he said, 'and it is the solemn truth, that I would rather you had told me that the prince was dead, though he is my only son, than know that he would suffer such an injury without attempting to avenge it. ",told,BEFORE,"As for the gentleman who struck him, he will be brought before my judges, and will plead his own cause, but I hardly think he can escape death, after having assaulted the heir to the crown.' ",brought,11,12,5,3
