sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,awakened,18,26,18,26,2,0.0,8.0,0.0,8.0,,,,,verb.body,0,subject,the king,20.0,74.0,94.0,male,1.0,primary
1,1,dressed,7,14,162,169,2,0.0,2.0,155.0,157.0,,,,,verb.body,1,subject,the king,20.0,74.0,94.0,male,1.0,primary
1,4,appeared,153,161,308,316,6,119.0,143.0,274.0,298.0,,,,,verb.change,2,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
1,6,spoke,215,220,370,375,7,178.0,194.0,333.0,349.0,,,,,verb.communication,4,subject,a number of young nobles's amongst them,1.0,0.0,1.0,unknown,0.0,tertiary
1,6,spoke,215,220,370,375,6,178.0,194.0,333.0,349.0,,,,,verb.communication,4,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
2,1,playing,32,39,409,416,6,20.0,22.0,397.0,399.0,47.0,154.0,424.0,531.0,verb.competition,3,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
3,0,lost,11,15,544,548,122,0.0,10.0,533.0,543.0,,,,,verb.possession,5,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
3,1,said,32,36,565,569,122,0.0,10.0,533.0,543.0,,,,,verb.communication,7,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
3,5,see,140,143,673,676,120,117.0,130.0,650.0,663.0,,,,,verb.perception,9,subject,sire,3.0,2.0,5.0,unknown,0.0,tertiary
3,6,struck,150,156,683,689,126,117.0,149.0,650.0,682.0,161.0,229.0,694.0,762.0,verb.contact,8,subject,sire's gentleman whom you see there,1.0,0.0,1.0,male,1.0,tertiary
3,6,struck,150,156,683,689,120,117.0,149.0,650.0,682.0,161.0,229.0,694.0,762.0,verb.contact,8,subject,sire,3.0,2.0,5.0,unknown,0.0,tertiary
4,3,killed,71,77,835,841,6,44.0,46.0,808.0,810.0,86.0,139.0,850.0,903.0,verb.contact,11,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
4,7,stepped,174,181,938,945,130,165.0,173.0,929.0,937.0,,,,,verb.motion,12,subject,the duke,1.0,0.0,1.0,unknown,0.0,tertiary
4,9,lay,210,213,974,977,6,204.0,206.0,968.0,970.0,225.0,235.0,989.0,999.0,verb.contact,15,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
5,1,listened,13,21,1015,1023,2,0.0,8.0,1002.0,1010.0,,,,,verb.perception,14,subject,the king,20.0,74.0,94.0,male,1.0,primary
5,4,said,73,77,1075,1079,2,70.0,72.0,1072.0,1074.0,,,,,verb.communication,18,subject,the king,20.0,74.0,94.0,male,1.0,primary
5,5,suppose,82,89,1084,1091,2,80.0,81.0,1082.0,1083.0,,,,,verb.cognition,17,subject,the king,20.0,74.0,94.0,male,1.0,primary
5,6,had,101,104,1103,1106,122,90.0,100.0,1092.0,1102.0,,,,,verb.possession,16,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
5,9,used,145,149,1147,1151,122,131.0,133.0,1133.0,1135.0,,,,,verb.consumption,20,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
6,0,had,15,18,1174,1177,122,12.0,14.0,1171.0,1173.0,,,,,verb.possession,19,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
8,0,saw,12,15,1236,1239,122,9.0,11.0,1233.0,1235.0,,,,,verb.perception,22,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
8,4,cry,95,98,1319,1322,122,49.0,51.0,1273.0,1275.0,,,,,verb.body,23,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
9,1,walked,25,31,1388,1394,2,16.0,24.0,1379.0,1387.0,,,,,verb.motion,25,subject,the king,20.0,74.0,94.0,male,1.0,primary
9,2,stood,50,55,1413,1418,2,16.0,24.0,1379.0,1387.0,,,,,verb.contact,27,subject,the king,20.0,74.0,94.0,male,1.0,primary
9,3,remained,132,140,1495,1503,11,107.0,131.0,1470.0,1494.0,,,,,verb.change,26,subject,the company of young men,1.0,0.0,1.0,male,1.0,tertiary
11,0,tell,3,7,1560,1564,2,1.0,2.0,1558.0,1559.0,,,,,verb.communication,28,subject,the king,20.0,74.0,94.0,male,1.0,primary
11,1,said,17,21,1574,1578,2,14.0,16.0,1571.0,1573.0,,,,,verb.communication,30,subject,the king,20.0,74.0,94.0,male,1.0,primary
11,10,suffer,164,170,1721,1727,122,155.0,157.0,1712.0,1714.0,186.0,217.0,1743.0,1774.0,verb.perception,32,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
11,11,attempting,194,204,1751,1761,122,155.0,157.0,1712.0,1714.0,,,,,verb.social,33,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
11,12,avenge,208,214,1765,1771,122,155.0,157.0,1712.0,1714.0,,,,,verb.cognition,35,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
12,3,brought,48,55,1824,1831,122,37.0,39.0,1813.0,1815.0,,,,,verb.motion,36,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
12,5,plead,83,88,1859,1864,122,37.0,39.0,1813.0,1815.0,,,,,verb.communication,38,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
12,8,escape,130,136,1906,1912,122,123.0,125.0,1899.0,1901.0,144.0,188.0,1920.0,1964.0,verb.social,40,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
12,10,assaulted,157,166,1933,1942,122,123.0,125.0,1899.0,1901.0,,,,,verb.competition,39,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
13,0,raised,14,20,1981,1987,12,0.0,13.0,1967.0,1980.0,30.0,44.0,1997.0,2011.0,verb.contact,41,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
13,3,listen,69,75,2036,2042,2,50.0,58.0,2017.0,2025.0,,,,,verb.perception,42,subject,the king,20.0,74.0,94.0,male,1.0,primary
13,4,commanded,81,90,2048,2057,12,0.0,13.0,1967.0,1980.0,127.0,334.0,2094.0,2301.0,verb.communication,43,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
13,5,put,105,108,2072,2075,2,91.0,101.0,2058.0,2068.0,,,,,verb.contact,44,subject,the king,20.0,74.0,94.0,male,1.0,primary
13,5,put,105,108,2072,2075,14,91.0,101.0,2058.0,2068.0,,,,,verb.contact,44,subject,the king's guards,1.0,0.0,1.0,unknown,0.0,tertiary
13,6,adding,127,133,2094,2100,12,0.0,13.0,1967.0,1980.0,,,,,verb.communication,46,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
13,7,wished,165,171,2132,2138,15,152.0,164.0,2119.0,2131.0,,,,,verb.emotion,45,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
13,8,visit,175,180,2142,2147,15,152.0,164.0,2119.0,2131.0,,,,,verb.social,48,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
13,11,guarded,239,246,2206,2213,15,203.0,205.0,2170.0,2172.0,,,,,verb.competition,47,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
13,14,brought,280,287,2247,2254,15,268.0,270.0,2235.0,2237.0,297.0,334.0,2264.0,2301.0,verb.motion,51,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
14,0,left,14,18,2317,2321,12,0.0,13.0,2303.0,2316.0,,,,,verb.motion,50,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
14,1,surrounded,40,50,2343,2353,12,0.0,13.0,2303.0,2316.0,,,,,verb.competition,49,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
15,5,escape,139,145,2576,2582,12,130.0,132.0,2567.0,2569.0,,,,,verb.motion,53,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
15,9,find,195,199,2632,2636,27,184.0,188.0,2621.0,2625.0,,,,,verb.possession,56,subject,none,2.0,0.0,2.0,unknown,0.0,tertiary
15,11,given,231,236,2668,2673,12,215.0,223.0,2652.0,2660.0,,,,,verb.possession,55,subject,the young man,8.0,12.0,20.0,male,1.0,tertiary
16,3,take,71,75,2760,2764,15,46.0,58.0,2735.0,2747.0,,,,,verb.social,57,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
17,0,wandered,3,11,2800,2808,15,0.0,2.0,2797.0,2799.0,,,,,verb.motion,58,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
17,1,knowing,22,29,2819,2826,15,0.0,2.0,2797.0,2799.0,,,,,verb.cognition,60,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
17,2,went,39,43,2836,2840,15,36.0,38.0,2833.0,2835.0,,,,,verb.motion,59,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
17,5,speak,119,124,2916,2921,15,90.0,112.0,2887.0,2909.0,,,,,verb.communication,61,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
17,5,speak,119,124,2916,2921,31,90.0,112.0,2887.0,2909.0,,,,,verb.communication,61,subject,the prisoner's companions,1.0,0.0,1.0,unknown,0.0,tertiary
18,3,stood,151,156,3081,3086,33,100.0,112.0,3030.0,3042.0,,,,,verb.contact,62,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
19,4,looked,69,75,3178,3184,33,65.0,68.0,3174.0,3177.0,,,,,verb.body,63,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
21,0,said,11,15,3269,3273,140,1.0,4.0,3259.0,3262.0,,,,,verb.communication,66,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
21,0,said,11,15,3269,3273,33,1.0,4.0,3259.0,3262.0,,,,,verb.communication,66,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
21,1,know,20,24,3278,3282,33,18.0,19.0,3276.0,3277.0,,,,,verb.cognition,65,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
21,5,seeking,71,78,3329,3336,140,63.0,66.0,3321.0,3324.0,,,,,verb.communication,67,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
21,7,save,102,106,3360,3364,140,94.0,97.0,3352.0,3355.0,,,,,verb.social,68,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
22,4,promise,80,87,3456,3463,140,71.0,74.0,3447.0,3450.0,,,,,verb.communication,70,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
22,6,ask,100,103,3476,3479,33,94.0,97.0,3470.0,3473.0,,,,,verb.communication,69,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
23,0,felt,26,30,3508,3512,15,13.0,25.0,3495.0,3507.0,,,,,verb.body,72,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
24,2,do,25,27,3588,3590,15,18.0,19.0,3581.0,3582.0,,,,,verb.social,75,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
25,0,cried,3,8,3605,3610,15,0.0,2.0,3602.0,3604.0,,,,,verb.communication,74,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
27,6,marry,78,83,3755,3760,140,57.0,60.0,3734.0,3737.0,,,,,verb.social,77,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
31,0,spoke,3,8,3935,3940,15,0.0,2.0,3932.0,3934.0,,,,,verb.communication,79,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
31,3,made,77,81,4009,4013,33,31.0,76.0,3963.0,4008.0,,,,,verb.communication,81,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
31,4,feel,86,90,4018,4022,15,82.0,85.0,4014.0,4017.0,,,,,verb.cognition,82,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
32,0,said,17,21,4055,4059,33,9.0,12.0,4047.0,4050.0,,,,,verb.communication,84,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
33,0,reject,11,17,4089,4095,140,7.0,10.0,4085.0,4088.0,,,,,verb.cognition,83,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
33,3,hurried,51,58,4129,4136,140,7.0,10.0,4085.0,4088.0,,,,,verb.motion,87,subject,Sir,1.0,13.0,14.0,unknown,0.0,tertiary
34,2,rushed,53,59,4212,4218,15,17.0,52.0,4176.0,4211.0,,,,,verb.motion,88,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
34,3,understood,87,97,4246,4256,15,84.0,86.0,4243.0,4245.0,,,,,verb.cognition,89,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
35,2,said,30,34,4336,4340,15,27.0,29.0,4333.0,4335.0,,,,,verb.communication,90,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
35,4,run,60,63,4366,4369,15,18.0,20.0,4324.0,4326.0,,,,,verb.motion,92,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
36,4,walk,50,54,4525,4529,41,24.0,43.0,4499.0,4518.0,,,,,verb.motion,93,subject,a woman past ninety,1.0,0.0,1.0,female,1.0,tertiary
38,1,reached,44,51,4619,4626,15,41.0,43.0,4616.0,4618.0,,,,,verb.motion,95,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
39,2,accept,34,40,4733,4739,15,1.0,2.0,4700.0,4701.0,,,,,verb.possession,98,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
39,3,made,55,59,4754,4758,33,41.0,50.0,4740.0,4749.0,,,,,verb.social,97,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
40,0,thought,7,14,4771,4778,33,5.0,6.0,4769.0,4770.0,,,,,verb.cognition,99,subject,an old woman,2.0,19.0,21.0,female,1.0,tertiary
40,2,come,25,29,4789,4793,15,15.0,18.0,4779.0,4782.0,,,,,verb.change,100,subject,the prisoner,5.0,39.0,44.0,male,1.0,secondary
