sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,awakened,18,26,18,26,2,0.0,8.0,0.0,8.0,,,,,verb.body,True,0,subject,the king,20.0,74.0,94.0,male,1.0,primary
1,4,appeared,153,161,308,316,6,119.0,143.0,274.0,298.0,,,,,verb.change,True,2,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
2,1,playing,32,39,409,416,6,20.0,22.0,397.0,399.0,47.0,154.0,424.0,531.0,verb.competition,True,1,subject,a number of young nobles,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
3,6,struck,150,156,683,689,126,117.0,149.0,650.0,682.0,161.0,229.0,694.0,762.0,verb.contact,True,3,subject,sire's gentleman whom you see there,1.0,0.0,1.0,male,1.0,tertiary
3,6,struck,150,156,683,689,120,117.0,149.0,650.0,682.0,161.0,229.0,694.0,762.0,verb.contact,True,3,subject,sire,3.0,2.0,5.0,unknown,0.0,tertiary
4,7,stepped,174,181,938,945,130,165.0,173.0,929.0,937.0,,,,,verb.motion,True,4,subject,the duke,1.0,0.0,1.0,unknown,0.0,tertiary
5,5,suppose,82,89,1084,1091,2,80.0,81.0,1082.0,1083.0,,,,,verb.cognition,True,6,subject,the king,20.0,74.0,94.0,male,1.0,primary
6,0,had,15,18,1174,1177,122,12.0,14.0,1171.0,1173.0,,,,,verb.possession,True,5,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
8,0,saw,12,15,1236,1239,122,9.0,11.0,1233.0,1235.0,,,,,verb.perception,True,7,subject,The prince,12.0,35.0,47.0,male,1.0,secondary
9,1,walked,25,31,1388,1394,2,16.0,24.0,1379.0,1387.0,,,,,verb.motion,True,8,subject,the king,20.0,74.0,94.0,male,1.0,primary
