sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,had,46.0,49.0,46.0,49.0,0,27.0,41.0,27.0,41.0,,,,,verb.possession,0,subject,a proud prince,1,0,1,male,1.0,tertiary
2,1,marry,29.0,34.0,133.0,138.0,2,22.0,25.0,126.0,129.0,,,,,verb.social,2,subject,the daughter,1,6,7,female,1.0,tertiary
4,1,gathered,39.0,47.0,344.0,352.0,9,15.0,38.0,320.0,343.0,,,,,verb.contact,3,subject,many princes,1,1,2,male,1.0,tertiary
4,1,gathered,39.0,47.0,344.0,352.0,10,15.0,38.0,320.0,343.0,,,,,verb.contact,3,subject,counts,1,0,1,unknown,0.0,tertiary
5,1,see,23.0,26.0,439.0,442.0,13,4.0,16.0,420.0,432.0,100.0,126.0,516.0,542.0,verb.perception,4,subject,The princess,5,28,33,female,1.0,primary
6,0,threw,7.0,12.0,551.0,556.0,13,3.0,6.0,547.0,550.0,,,,,verb.contact,5,subject,The princess,5,28,33,female,1.0,primary
6,1,caught,43.0,49.0,587.0,593.0,15,40.0,42.0,584.0,586.0,,,,,verb.contact,6,subject,the beggar,4,18,22,male,1.0,primary
7,0,asked,11.0,16.0,609.0,614.0,13,0.0,10.0,598.0,608.0,,,,,verb.communication,8,subject,The princess,5,28,33,female,1.0,primary
7,0,asked,11.0,16.0,609.0,614.0,5,0.0,10.0,598.0,608.0,,,,,verb.communication,8,subject,the daughter's father,4,2,6,male,1.0,tertiary
7,2,throw,39.0,44.0,637.0,642.0,13,35.0,38.0,633.0,636.0,,,,,verb.contact,7,subject,The princess,5,28,33,female,1.0,primary
8,1,said,31.0,35.0,709.0,713.0,12,1.0,20.0,679.0,698.0,,,,,verb.communication,9,subject,a beggar,2,6,8,male,1.0,tertiary
8,3,marry,58.0,63.0,736.0,741.0,13,51.0,52.0,729.0,730.0,,,,,verb.social,11,subject,The princess,5,28,33,female,1.0,primary
9,1,hear,25.0,29.0,823.0,827.0,13,4.0,14.0,802.0,812.0,,,,,verb.cognition,10,subject,The princess,5,28,33,female,1.0,primary
9,1,hear,25.0,29.0,823.0,827.0,5,4.0,14.0,802.0,812.0,,,,,verb.cognition,10,subject,the daughter's father,4,2,6,male,1.0,tertiary
9,2,insisted,51.0,59.0,849.0,857.0,13,47.0,50.0,845.0,848.0,,,,,verb.communication,12,subject,The princess,5,28,33,female,1.0,primary
9,3,drove,64.0,69.0,862.0,867.0,5,61.0,63.0,859.0,861.0,90.0,101.0,888.0,899.0,verb.motion,14,subject,the daughter's father,4,2,6,male,1.0,tertiary
11,0,dwelt,4.0,9.0,952.0,957.0,13,0.0,3.0,948.0,951.0,19.0,34.0,967.0,982.0,verb.motion,13,subject,The princess,5,28,33,female,1.0,primary
11,3,cook,77.0,81.0,1025.0,1029.0,13,0.0,3.0,948.0,951.0,87.0,136.0,1035.0,1084.0,verb.consumption,15,subject,The princess,5,28,33,female,1.0,primary
13,0,said,20.0,24.0,1139.0,1143.0,13,8.0,19.0,1127.0,1138.0,,,,,verb.communication,16,subject,The princess,5,28,33,female,1.0,primary
13,0,said,20.0,24.0,1139.0,1143.0,8,8.0,19.0,1127.0,1138.0,,,,,verb.communication,16,subject,the daughter's husband,3,5,8,male,1.0,tertiary
13,3,seek,53.0,57.0,1172.0,1176.0,8,34.0,35.0,1153.0,1154.0,,,,,verb.possession,17,subject,the daughter's husband,3,5,8,male,1.0,tertiary
14,1,found,16.0,21.0,1205.0,1210.0,8,9.0,10.0,1198.0,1199.0,,,,,verb.possession,18,subject,the daughter's husband,3,5,8,male,1.0,tertiary
14,4,fetch,53.0,58.0,1242.0,1247.0,8,26.0,27.0,1215.0,1216.0,,,,,verb.contact,20,subject,the daughter's husband,3,5,8,male,1.0,tertiary
16,1,remained,68.0,76.0,1399.0,1407.0,13,57.0,67.0,1388.0,1398.0,,,,,verb.change,19,subject,The princess,5,28,33,female,1.0,primary
16,1,remained,68.0,76.0,1399.0,1407.0,5,57.0,67.0,1388.0,1398.0,,,,,verb.change,19,subject,the daughter's father,4,2,6,male,1.0,tertiary
17,1,given,31.0,36.0,1459.0,1464.0,13,3.0,13.0,1431.0,1441.0,,,,,verb.possession,21,subject,The princess,5,28,33,female,1.0,primary
17,1,given,31.0,36.0,1459.0,1464.0,28,3.0,13.0,1431.0,1441.0,,,,,verb.possession,21,subject,The princess's mother,1,0,1,female,1.0,tertiary
17,4,starved,81.0,88.0,1509.0,1516.0,13,66.0,69.0,1494.0,1497.0,98.0,118.0,1526.0,1546.0,verb.body,22,subject,The princess,5,28,33,female,1.0,primary
18,0,found,15.0,20.0,1563.0,1568.0,15,4.0,14.0,1552.0,1562.0,,,,,verb.possession,23,subject,the beggar,4,18,22,male,1.0,primary
19,0,returned,3.0,11.0,1615.0,1623.0,15,0.0,2.0,1612.0,1614.0,,,,,verb.motion,24,subject,the beggar,4,18,22,male,1.0,primary
19,1,stood,16.0,21.0,1628.0,1633.0,15,0.0,2.0,1612.0,1614.0,,,,,verb.contact,27,subject,the beggar,4,18,22,male,1.0,primary
20,0,recognized,23.0,33.0,1674.0,1684.0,13,0.0,3.0,1651.0,1654.0,,,,,verb.perception,26,subject,The princess,5,28,33,female,1.0,primary
20,1,knew,48.0,52.0,1699.0,1703.0,13,39.0,42.0,1690.0,1693.0,,,,,verb.cognition,25,subject,The princess,5,28,33,female,1.0,primary
21,0,asked,3.0,8.0,1741.0,1746.0,15,0.0,2.0,1738.0,1740.0,,,,,verb.communication,28,subject,the beggar,4,18,22,male,1.0,primary
22,1,ask,12.0,15.0,1791.0,1794.0,15,8.0,11.0,1787.0,1790.0,,,,,verb.communication,29,subject,the beggar,4,18,22,male,1.0,primary
23,0,replied,4.0,11.0,1827.0,1834.0,13,0.0,3.0,1823.0,1826.0,,,,,verb.communication,31,subject,The princess,5,28,33,female,1.0,primary
26,0,was,12.0,15.0,1915.0,1918.0,46,1.0,11.0,1904.0,1914.0,,,,,verb.social,30,subject,the beggar's husband,1,2,3,male,1.0,tertiary
26,0,was,12.0,15.0,1915.0,1918.0,15,1.0,11.0,1904.0,1914.0,,,,,verb.social,30,subject,the beggar,4,18,22,male,1.0,primary
27,1,seek,16.0,20.0,1945.0,1949.0,46,0.0,2.0,1929.0,1931.0,,,,,verb.possession,32,subject,the beggar's husband,1,2,3,male,1.0,tertiary
28,2,returned,48.0,56.0,2011.0,2019.0,15,33.0,35.0,1996.0,1998.0,,,,,verb.motion,34,subject,the beggar,4,18,22,male,1.0,primary
29,1,done,19.0,23.0,2041.0,2045.0,13,5.0,9.0,2027.0,2031.0,,,,,verb.social,33,subject,The princess,5,28,33,female,1.0,primary
30,3,return,32.0,38.0,2108.0,2114.0,15,25.0,28.0,2101.0,2104.0,,,,,verb.motion,35,subject,the beggar,4,18,22,male,1.0,primary
31,1,wish,8.0,12.0,2125.0,2129.0,13,4.0,7.0,2121.0,2124.0,37.0,76.0,2154.0,2193.0,verb.emotion,36,subject,The princess,5,28,33,female,1.0,primary
31,2,marry,16.0,21.0,2133.0,2138.0,13,4.0,7.0,2121.0,2124.0,37.0,76.0,2154.0,2193.0,verb.social,38,subject,The princess,5,28,33,female,1.0,primary
32,2,die,36.0,39.0,2232.0,2235.0,15,34.0,35.0,2230.0,2231.0,,,,,verb.change,40,subject,the beggar,4,18,22,male,1.0,primary
33,0,saw,17.0,20.0,2255.0,2258.0,33,5.0,16.0,2243.0,2254.0,,,,,verb.cognition,39,subject,the emperor,2,8,10,male,1.0,secondary
33,2,told,51.0,55.0,2289.0,2293.0,33,48.0,50.0,2286.0,2288.0,,,,,verb.communication,41,subject,the emperor,2,8,10,male,1.0,secondary
33,4,had,72.0,75.0,2310.0,2313.0,33,48.0,50.0,2286.0,2288.0,,,,,verb.possession,42,subject,the emperor,2,8,10,male,1.0,secondary
33,5,clothed,80.0,87.0,2318.0,2325.0,31,76.0,79.0,2314.0,2317.0,,,,,verb.body,43,subject,the beggar's wife,6,6,12,female,1.0,secondary
33,6,took,117.0,121.0,2355.0,2359.0,33,48.0,50.0,2286.0,2288.0,,,,,verb.motion,44,subject,the emperor,2,8,10,male,1.0,secondary
35,0,said,29.0,33.0,2474.0,2478.0,33,17.0,28.0,2462.0,2473.0,,,,,verb.communication,45,subject,the emperor,2,8,10,male,1.0,secondary
38,2,fell,58.0,62.0,2762.0,2766.0,31,54.0,57.0,2758.0,2761.0,,,,,verb.change,46,subject,the beggar's wife,6,6,12,female,1.0,secondary
38,3,died,72.0,76.0,2776.0,2780.0,31,54.0,57.0,2758.0,2761.0,,,,,verb.change,48,subject,the beggar's wife,6,6,12,female,1.0,secondary
0,1,had,46.0,49.0,46.0,49.0,1,50.0,60.0,50.0,60.0,,,,,verb.possession,0,direct_object,a daughter,1,0,1,unknown,0.0,tertiary
2,0,came,8.0,12.0,112.0,116.0,2,13.0,34.0,117.0,138.0,,,,,verb.change,1,direct_object,the daughter,1,6,7,female,1.0,tertiary
5,1,see,23.0,26.0,439.0,442.0,12,27.0,98.0,443.0,514.0,100.0,126.0,516.0,542.0,verb.perception,4,direct_object,a beggar,2,6,8,male,1.0,tertiary
