sentence_id,text,start,end
0,Once upon a time there was a proud prince who had a daughter. ,0,62
1,But the daughter was a child of ill luck. ,62,104
2,"When it came time for her to marry, she had all her suitors assemble before her father's palace. ",104,201
3,"She was going to throw down a ball of red silk among them, and whoever caught it was to be her husband. ",201,305
4,"Now there were many princes and counts gathered before the castle, and in their midst there was also a beggar. ",305,416
5,"And the princess could see dragons crawling into his ears and crawling out again from his nostrils, for he was a child of luck. ",416,544
6,So she threw the ball to the beggar and he caught it. ,544,598
7,"Her father asked angrily: ""Why did you throw the ball into the beggar's hands?"" ",598,678
8,"""He is a favorite of Fortune,"" said the princess, ""I will marry him, and then, perhaps, I will share in his good luck."" ",678,798
9,"But her father would not hear of it, and since she insisted, he drove her from the castle in his rage. ",798,901
10,So the princess had to go off with the beggar. ,901,948
11,"She dwelt with him in a little hut, and had to hunt for herbs and roots, and cook them herself, so that they might have something to eat; ",948,1086
12, and often they both went hungry. ,1085,1119
13,"One day her husband said to her: ""I will set out and seek my fortune. ",1119,1189
14,"And when I have found it, I will come back again and fetch you."" ",1189,1254
15,"The princess was willing, and he went away, and was gone for eighteen years. ",1254,1331
16,"Meanwhile the princess lived in want and affliction, for her father remained hard and merciless. ",1331,1428
17,"If her mother had not secretly given her food and money, no doubt she would have starved to death during all that time. ",1428,1548
18,"But the beggar found his fortune, and at length became emperor. ",1548,1612
19,He returned and stood before his wife. ,1612,1651
20,"She however, no longer recognized him: She only knew that he was the powerful emperor. ",1651,1738
21,He asked her how she were getting along. ,1738,1779
22,"""Why do you ask me how I am getting along?"" ",1779,1823
23,she replied. ,1823,1836
24,"""I am too far beneath your notice."" ",1836,1872
25,"""And who may your husband be!"" ",1872,1903
26,"""My husband was a beggar. ",1903,1929
27,He went away to seek his fortune. ,1929,1963
28,"That was eighteen years ago, and he has not yet returned."" ",1963,2022
29,"""And what have you done during all those long years?"" ",2022,2076
30,"""I have been waiting for him to return."" ",2076,2117
31,"""Do you wish to marry some one else, seeing that he has been missing so long?"" ",2117,2196
32,"""No, I will remain his wife until I die."" ",2196,2238
33,"When the emperor saw how faithful his wife was, he told her who he was, had her clothed in magnificent garments, and took her with him to his imperial palace. ",2238,2397
34,And there they lived in splendor and happiness. ,2397,2445
35,"After a few days the emperor said to his wife: ""We spend every day in festivities, as though every day were New Year."" ",2445,2564
36,"""And why should we not celebrate,"" answered his wife, ""since we have now become emperor and empress?"" ",2564,2666
37,Yet his wife was a child of ill luck. ,2666,2704
38,"When she had been empress no more than eighteen days, she fell sick and died. ",2704,2782
39,But her husband lived for many a long year.,2782,2826
