sentence_id,event_id,temporal_rank
2,2,0
3,0,1
4,2,2
9,0,3
17,1,4
10,4,5
18,2,6
19,2,7
20,1,8
22,3,9
21,1,10
23,1,11
25,1,12
24,4,13
32,1,14
36,4,15
37,1,16
43,0,17
47,0,18
48,0,19
49,0,20
51,0,21
50,2,22
52,1,23
56,1,24
67,0,25
71,1,26
72,2,27
80,0,28
74,2,29
82,7,30
89,0,31
85,3,32
93,0,33
95,0,34
106,0,35
98,0,36
110,6,37
111,2,38
112,1,39
115,4,40
116,0,41
121,1,42
122,1,43
124,4,44
123,2,45
126,0,46
128,0,47
133,2,48
131,1,49
130,1,50
137,0,51
136,0,52
134,1,53
139,1,54
141,0,55
143,2,56
145,1,57
151,0,58
147,1,59
146,1,60
154,1,61
158,1,62
155,1,63
161,1,64
162,3,65
166,2,66
164,0,67
167,2,68
170,0,69
171,1,70
174,1,71
172,1,72
177,1,73
175,1,74
178,2,75
181,1,76
180,1,77
185,6,78
188,3,79
190,1,80
192,0,81
194,0,82
193,1,83
196,0,84
200,1,85
198,0,86
202,2,87
201,1,88
204,0,89
206,3,90
207,0,91
209,1,92
208,3,93
210,0,94
211,0,95
214,1,96
212,2,97
216,0,98
218,6,99
217,1,100
220,4,101
223,1,102
226,0,103
242,2,104
237,3,105
231,1,106
230,4,107
246,1,108
245,0,109
248,0,110
251,5,111
256,0,112
255,5,113
