sentence_id,event_id,temporal_rank
0,2,0
0,4,1
2,2,2
1,2,3
3,5,4
3,4,5
3,7,6
3,8,7
3,10,8
3,9,9
4,0,10
4,2,11
4,1,12
5,5,13
5,4,14
6,0,15
6,1,16
6,4,17
6,2,18
6,9,19
7,1,20
6,11,21
7,2,22
7,6,23
8,0,24
8,2,25
11,0,26
9,1,27
11,2,28
14,2,29
13,0,30
15,1,31
15,2,32
15,3,33
15,8,34
15,5,35
17,2,36
17,3,37
18,1,38
19,3,39
20,2,40
20,0,41
19,5,42
20,4,43
20,6,44
21,0,45
21,1,46
21,3,47
22,0,48
22,2,49
22,1,50
22,3,51
23,1,52
23,3,53
25,1,54
24,0,55
25,4,56
25,2,57
27,0,58
28,2,59
30,0,60
29,0,61
30,2,62
30,1,63
31,3,64
31,1,65
32,1,66
33,3,67
33,2,68
34,0,69
33,4,70
34,3,71
35,2,72
34,4,73
36,3,74
38,1,75
36,6,76
36,5,77
38,3,78
38,2,79
38,5,80
39,8,81
39,2,82
39,5,83
39,7,84
40,6,85
41,1,86
41,2,87
42,0,88
43,6,89
43,4,90
44,3,91
44,0,92
45,0,93
45,2,94
45,3,95
46,2,96
47,0,97
49,1,98
49,0,99
50,0,100
49,2,101
50,1,102
50,7,103
50,6,104
50,10,105
50,8,106
50,12,107
50,15,108
50,13,109
50,16,110
51,0,111
51,5,112
51,2,113
51,9,114
51,7,115
51,11,116
51,10,117
52,2,118
52,0,119
52,3,120
53,2,121
53,0,122
52,4,123
53,3,124
53,4,125
53,8,126
53,6,127
53,5,128
53,9,129
54,1,130
54,3,131
54,2,132
56,2,133
56,5,134
57,1,135
58,0,136
59,1,137
60,0,138
61,1,139
62,0,140
62,3,141
62,2,142
63,3,143
63,1,144
63,0,145
63,5,146
65,3,147
64,1,148
65,5,149
66,5,150
66,3,151
65,7,152
67,1,153
68,2,154
68,1,155
69,3,156
69,0,157
69,5,158
69,4,159
69,7,160
70,0,161
70,1,162
70,2,163
70,4,164
70,6,165
70,10,166
71,1,167
71,3,168
71,2,169
71,5,170
71,6,171
71,7,172
71,9,173
71,10,174
71,12,175
72,5,176
72,1,177
74,1,178
73,0,179
74,4,180
75,0,181
75,1,182
75,4,183
75,5,184
76,0,185
78,2,186
76,3,187
79,4,188
79,2,189
79,7,190
81,0,191
81,1,192
81,2,193
82,1,194
83,0,195
83,1,196
84,3,197
83,2,198
85,3,199
87,0,200
87,3,201
87,2,202
87,6,203
87,5,204
88,2,205
88,5,206
89,0,207
91,0,208
92,1,209
92,0,210
95,3,211
94,1,212
94,0,213
97,3,214
98,0,215
98,1,216
98,2,217
98,3,218
99,2,219
98,4,220
100,5,221
100,4,222
100,3,223
100,6,224
100,7,225
101,1,226
101,3,227
101,5,228
101,10,229
101,9,230
101,7,231
102,2,232
102,0,233
102,4,234
102,5,235
104,0,236
104,2,237
104,4,238
104,5,239
104,8,240
105,0,241
105,1,242
105,4,243
105,2,244
105,6,245
105,7,246
105,8,247
107,3,248
105,11,249
107,5,250
108,1,251
108,0,252
108,2,253
108,5,254
108,7,255
110,0,256
110,1,257
111,0,258
111,2,259
111,3,260
111,4,261
114,0,262
114,2,263
114,3,264
114,8,265
114,6,266
114,9,267
114,10,268
115,2,269
116,0,270
116,1,271
116,2,272
116,3,273
117,0,274
117,1,275
118,0,276
118,1,277
118,6,278
118,7,279
118,10,280
119,0,281
119,1,282
119,3,283
120,0,284
119,4,285
120,2,286
120,3,287
122,2,288
121,1,289
123,1,290
123,2,291
125,8,292
124,3,293
125,1,294
125,4,295
125,7,296
127,1,297
127,4,298
128,4,299
128,2,300
128,1,301
129,0,302
129,3,303
130,0,304
131,2,305
131,1,306
130,3,307
131,5,308
131,6,309
133,1,310
134,2,311
133,2,312
134,3,313
134,4,314
134,6,315
134,11,316
135,1,317
135,0,318
135,4,319
138,1,320
139,0,321
139,1,322
140,1,323
142,0,324
141,1,325
142,1,326
142,2,327
142,3,328
143,1,329
143,3,330
146,0,331
146,1,332
146,4,333
146,3,334
146,2,335
147,1,336
147,2,337
147,3,338
148,1,339
148,3,340
149,2,341
150,2,342
152,0,343
151,1,344
152,3,345
152,4,346
152,6,347
152,7,348
152,9,349
152,10,350
152,11,351
153,1,352
152,12,353
156,1,354
156,4,355
157,0,356
157,1,357
160,3,358
160,2,359
161,1,360
162,1,361
162,0,362
162,3,363
163,3,364
163,0,365
163,4,366
163,5,367
164,0,368
164,2,369
164,3,370
165,1,371
167,0,372
167,4,373
167,3,374
167,1,375
168,1,376
168,2,377
169,1,378
169,2,379
169,4,380
169,6,381
169,5,382
171,1,383
171,3,384
171,2,385
171,4,386
171,6,387
