coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
6,a Fox,his,2,121,124,1
6,a Fox,he,2,168,170,0
6,a Fox,a Fox,0,15,20,0
11,his companion,his companion,96,45,58,0
11,his companion,his companion,37,55,68,0
11,his companion,his companion,2,121,134,0
14,the two friends,us,10,5,7,0
14,the two friends,we,9,4,6,0
14,the two friends,They,6,0,4,0
14,the two friends,they,5,79,83,0
14,the two friends,the two friends,5,30,45,0
19,folk,their,6,189,194,0
19,folk,folk,6,169,173,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,56,58,66,0
1,The simple Wolf/the Wolf/The Wolf,you,66,34,37,0
1,The simple Wolf/the Wolf/The Wolf,you,66,12,15,0
1,The simple Wolf/the Wolf/The Wolf,I,65,1,2,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,64,17,25,0
1,The simple Wolf/the Wolf/The Wolf,I,64,5,6,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,33,40,48,0
1,The simple Wolf/the Wolf/The Wolf,You,63,1,4,0
1,The simple Wolf/the Wolf/The Wolf,his,37,55,58,1
1,The simple Wolf/the Wolf/The Wolf,your,62,9,13,0
1,The simple Wolf/the Wolf/The Wolf,The Wolf,37,0,8,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,57,47,55,0
1,The simple Wolf/the Wolf/The Wolf,he,37,30,32,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,53,28,36,0
1,The simple Wolf/the Wolf/The Wolf,he,45,52,54,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,45,7,15,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,43,11,19,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,17,64,72,0
1,The simple Wolf/the Wolf/The Wolf,you,67,58,61,0
1,The simple Wolf/the Wolf/The Wolf,your,67,44,48,0
1,The simple Wolf/the Wolf/The Wolf,his,70,82,85,0
1,The simple Wolf/the Wolf/The Wolf,his,77,34,37,0
1,The simple Wolf/the Wolf/The Wolf,he,77,22,24,0
1,The simple Wolf/the Wolf/The Wolf,he,77,5,7,0
1,The simple Wolf/the Wolf/The Wolf,me,76,70,72,0
1,The simple Wolf/the Wolf/The Wolf,me,76,58,60,0
1,The simple Wolf/the Wolf/The Wolf,I,75,115,116,0
1,The simple Wolf/the Wolf/The Wolf,he,75,74,76,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,70,62,70,0
1,The simple Wolf/the Wolf/The Wolf,he,39,0,2,0
1,The simple Wolf/the Wolf/The Wolf,he,7,37,39,0
1,The simple Wolf/the Wolf/The Wolf,the Wolf,74,21,29,0
1,The simple Wolf/the Wolf/The Wolf,I,74,6,7,0
1,The simple Wolf/the Wolf/The Wolf,he,9,50,52,0
1,The simple Wolf/the Wolf/The Wolf,his,9,62,65,0
1,The simple Wolf/the Wolf/The Wolf,you,71,5,8,0
1,The simple Wolf/the Wolf/The Wolf,The simple Wolf,7,0,15,0
65,trotters,trotters,8,17,25,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the sly Fox,34,37,48,0
2,the wily Fox/the Fox/the sly Fox/The Fox,himself,36,73,80,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,33,16,23,0
2,the wily Fox/the Fox/the sly Fox/The Fox,my,32,59,61,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,36,15,17,0
2,the wily Fox/the Fox/the sly Fox/The Fox,I,63,33,34,0
2,the wily Fox/the Fox/the sly Fox/The Fox,I,41,32,33,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,56,46,53,0
2,the wily Fox/the Fox/the sly Fox/The Fox,The Fox,59,0,7,0
2,the wily Fox/the Fox/the sly Fox/The Fox,his,59,31,34,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,59,44,46,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,62,26,33,0
2,the wily Fox/the Fox/the sly Fox/The Fox,my,32,31,33,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,72,5,12,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,94,22,29,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,40,38,45,0
2,the wily Fox/the Fox/the sly Fox/The Fox,me,32,22,24,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,99,127,134,0
2,the wily Fox/the Fox/the sly Fox/The Fox,me,31,78,80,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the wily Fox,11,4,16,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,11,41,43,0
2,the wily Fox/the Fox/the sly Fox/The Fox,his,11,52,55,0
2,the wily Fox/the Fox/the sly Fox/The Fox,himself,11,90,97,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,12,3,5,0
2,the wily Fox/the Fox/the sly Fox/The Fox,his,12,13,16,0
2,the wily Fox/the Fox/the sly Fox/The Fox,his,12,40,43,0
2,the wily Fox/the Fox/the sly Fox/The Fox,my,13,23,25,1
2,the wily Fox/the Fox/the sly Fox/The Fox,he,13,35,37,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,17,22,24,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,17,55,62,0
2,the wily Fox/the Fox/the sly Fox/The Fox,you,24,20,23,0
2,the wily Fox/the Fox/the sly Fox/The Fox,he,11,66,68,0
2,the wily Fox/the Fox/the sly Fox/The Fox,the Fox,31,53,60,0
2,the wily Fox/the Fox/the sly Fox/The Fox,I,31,1,2,0
2,the wily Fox/the Fox/the sly Fox/The Fox,you,30,5,8,0
2,the wily Fox/the Fox/the sly Fox/The Fox,you,28,8,11,0
68,my friend,my friend,13,23,32,0
21,the two animals,the two animals,18,47,62,0
21,the two animals,us,15,12,14,0
21,the two animals,we,16,3,5,0
21,the two animals,we,16,49,51,0
20,the Keg,the Keg,18,23,30,0
22,the fox,he,19,108,110,0
22,the fox,him,77,77,80,0
22,the fox,him,78,27,30,0
22,the fox,his,78,36,39,0
22,the fox,your,79,7,11,0
22,the fox,he,79,23,25,0
22,the fox,I,80,1,2,0
22,the fox,he,73,12,14,0
22,the fox,his,20,78,81,0
22,the fox,the Fox,77,58,65,0
22,the fox,you,80,19,22,0
22,the fox,The Fox,81,0,7,0
22,the fox,he,22,0,2,0
22,the fox,he,92,94,96,0
22,the fox,he,92,33,35,0
22,the fox,him,92,21,24,0
22,the fox,himself,91,63,70,0
22,the fox,he,91,60,62,0
22,the fox,he,89,4,6,0
22,the fox,he,87,3,5,0
22,the fox,the Fox,86,5,12,0
22,the fox,him,85,19,22,0
22,the fox,me,84,67,69,0
22,the fox,I,83,133,134,0
22,the fox,he,83,108,110,0
22,the fox,he,83,45,47,0
22,the fox,he,83,7,9,0
22,the fox,him,82,126,129,0
22,the fox,he,82,3,5,0
22,the fox,he,81,137,139,0
22,the fox,his,81,122,125,0
22,the fox,he,81,91,93,0
22,the fox,he,81,49,51,0
22,the fox,me,44,35,37,0
22,the fox,The Fox,70,0,7,0
22,the fox,he,45,79,81,0
22,the fox,he,50,5,7,0
22,the fox,he,52,51,53,0
22,the fox,himself,19,75,82,0
22,the fox,the Fox,53,47,54,0
22,the fox,his,51,70,73,0
22,the fox,him,45,32,35,0
22,the fox,the Fox,19,37,44,0
22,the fox,him,20,28,31,0
22,the fox,himself,51,37,44,0
22,the fox,he,51,12,14,0
22,the fox,he,50,49,51,0
22,the fox,his,50,29,32,0
22,the fox,he,49,34,36,0
22,the fox,he,49,7,9,0
22,the fox,his,44,89,92,0
22,the fox,him,52,24,27,0
22,the fox,I,66,5,6,0
22,the fox,himself,44,73,80,0
22,the fox,the Fox,66,49,56,0
22,the fox,himself,45,98,105,0
22,the fox,I,67,14,15,0
22,the fox,The Fox,47,0,7,0
22,the fox,the Fox,44,55,62,0
25,the Wolf,he,96,34,36,0
25,the Wolf,he,95,3,5,0
25,the Wolf,his,94,117,120,0
25,the Wolf,he,85,6,8,0
25,the Wolf,he,94,95,97,0
25,the Wolf,he,94,60,62,0
25,the Wolf,his,85,71,74,0
25,the Wolf,he,85,110,112,0
25,the Wolf,the Wolf,94,4,12,0
25,the Wolf,the Wolf,89,22,30,0
25,the Wolf,the Wolf,52,9,17,0
25,the Wolf,I,96,105,106,0
25,the Wolf,the Wolf,85,49,57,0
25,the Wolf,the Wolf,82,41,49,0
25,the Wolf,my,96,123,125,0
25,the Wolf,the Wolf,70,23,31,0
25,the Wolf,I,27,32,33,0
25,the Wolf,the Wolf,25,6,14,0
25,the Wolf,me,26,67,69,0
25,the Wolf,the Wolf,29,6,14,0
25,the Wolf,his,96,45,48,1
72,Some friends of mine,they,31,67,71,0
72,Some friends of mine,Some friends of mine,26,1,21,0
74,god - father,god-father,31,90,100,0
3,Butter,Butter,35,22,28,0
3,Butter,Butter,57,33,39,0
76,the bairn,the bairn,38,25,34,0
4,Blaisean,Blaisean,44,20,28,0
34,the child,the child,54,26,35,0
34,the child,the child,52,40,49,0
5,Sgriot an Clar,Sgriot an Clar,54,41,55,0
38,the two,they,61,23,27,0
38,the two,we,65,52,54,0
38,the two,ourselves,66,106,115,0
38,the two,They,60,0,4,0
38,the two,the two,59,62,69,0
38,the two,we,58,31,33,0
38,the two,us,57,5,7,0
39,"the poor , innocent Wolf","the poor, innocent Wolf",62,54,77,0
78,no other creature,no other creature,66,63,80,0
41,the poor Wolf,he,68,104,106,0
41,the poor Wolf,the poor Wolf,68,52,65,0
46,the thief,the thief,70,47,56,0
57,the poor lean Wolf,the poor lean Wolf,91,11,29,0
80,some stranger who hath found out our secret,some stranger who hath found out our secret,93,18,61,0
62,"the silly Fox , who was very vain , and did not like to confess that his eyes were no better than those of his friend","the silly Fox, who was very vain, and did not like to confess that his eyes were no better than those of his friend",98,4,119,0
62,"the silly Fox , who was very vain , and did not like to confess that his eyes were no better than those of his friend",he,99,4,6,0
62,"the silly Fox , who was very vain , and did not like to confess that his eyes were no better than those of his friend",his,98,71,74,1
62,"the silly Fox , who was very vain , and did not like to confess that his eyes were no better than those of his friend",his,98,109,112,1
63,his friend,his friend,98,109,119,1
