sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
1,5,give,verb.possession,8,4
1,5,give,verb.possession,6,4
2,1,declared,verb.communication,9,0
2,1,declared,verb.communication,9,10
2,3,cure,verb.body,0,10
3,0,despatched,verb.contact,11,11
3,0,despatched,verb.contact,11,12
3,2,promised,verb.communication,11,12
3,2,promised,verb.communication,12,12
4,0,began,verb.change,13,13
5,3,tossed,verb.motion,13,13
5,4,determining,verb.cognition,13,13
7,0,said,verb.communication,13,13
8,3,inherit,verb.possession,13,115
9,1,sent,verb.motion,17,17
9,1,sent,verb.motion,17,18
11,2,came,verb.motion,19,19
11,2,came,verb.motion,19,20
12,2,called,verb.communication,23,19
12,3,stay,verb.motion,23,19
13,1,replied,verb.communication,23,19
14,2,find,verb.possession,19,0
15,2,have,verb.possession,27,17
17,0,owed,verb.possession,27,29
17,0,owed,verb.possession,27,28
17,0,owed,verb.possession,27,27
17,3,pay,verb.possession,27,27
19,2,did,verb.social,32,32
20,0,replied,verb.communication,19,115
20,0,replied,verb.communication,19,19
20,0,replied,verb.communication,19,0
20,1,trusted,verb.social,115,19
20,1,trusted,verb.social,19,19
20,4,find,verb.possession,19,0
24,1,met,verb.motion,19,19
24,4,asked,verb.communication,19,19
24,4,asked,verb.communication,19,121
25,2,answered,verb.communication,19,19
26,4,bring,verb.motion,35,115
31,2,conduct,verb.social,36,19
32,0,obeyed,verb.communication,13,36
33,1,said,verb.communication,0,36
35,4,know,verb.cognition,125,19
36,0,found,verb.perception,19,0
38,3,put,verb.contact,19,0
38,4,thought,verb.communication,19,19
38,4,thought,verb.communication,0,19
39,1,touched,verb.contact,1,0
39,8,saying,verb.communication,48,50
39,8,saying,verb.communication,48,0
40,0,answered,verb.communication,0,50
40,0,answered,verb.communication,0,0
42,7,bring,verb.motion,19,2
46,1,answered,verb.communication,0,131
46,1,answered,verb.communication,0,130
46,1,answered,verb.communication,0,0
46,3,allow,verb.communication,130,131
46,3,allow,verb.communication,130,130
46,3,allow,verb.communication,130,0
46,4,carry,verb.motion,0,0
47,1,followed,verb.social,19,36
47,2,said,verb.communication,19,36
47,2,said,verb.communication,36,36
53,2,take,verb.motion,36,19
55,0,said,verb.communication,2,19
55,0,said,verb.communication,2,35
55,5,refresh,verb.consumption,35,35
56,2,hide,verb.perception,19,2
56,8,follow,verb.motion,2,19
57,0,left,verb.motion,36,0
58,0,undressed,verb.body,131,131
60,3,dress,verb.body,131,131
61,0,helped,verb.social,131,131
61,0,helped,verb.social,134,131
61,1,seeing,verb.cognition,131,131
61,1,seeing,verb.cognition,131,134
61,1,seeing,verb.cognition,134,131
61,1,seeing,verb.cognition,134,134
63,1,approaching,verb.motion,13,131
65,3,stole,verb.possession,136,131
65,5,abandoned,verb.possession,131,131
65,5,abandoned,verb.possession,137,131
66,1,find,verb.possession,13,13
67,0,agreed,verb.communication,131,13
67,1,follow,verb.motion,131,13
67,4,bought,verb.possession,13,131
68,4,said,verb.communication,73,13
68,4,said,verb.communication,73,131
68,9,manage,verb.social,13,131
71,3,noticed,verb.perception,78,19
72,0,reached,verb.motion,19,32
72,0,reached,verb.motion,19,19
72,3,delivered,verb.contact,19,32
72,4,paying,verb.possession,19,32
73,7,fling,verb.contact,81,19
74,1,taking,verb.social,32,32
74,1,taking,verb.social,32,131
74,1,taking,verb.social,32,87
76,1,running,verb.motion,36,19
76,2,said,verb.communication,36,19
76,2,said,verb.communication,36,36
77,1,said,verb.communication,36,140
77,1,said,verb.communication,36,19
77,1,said,verb.communication,36,139
77,1,said,verb.communication,36,141
77,6,seeking,verb.possession,139,140
78,2,make,verb.communication,19,141
79,3,enquired,verb.communication,13,96
83,3,said,verb.communication,19,19
84,0,saw,verb.perception,19,19
88,1,lets,verb.social,96,96
88,1,lets,verb.social,96,19
88,2,touch,verb.contact,19,96
89,0,knows,verb.cognition,96,100
90,0,said,verb.communication,99,131
90,0,said,verb.communication,99,100
90,4,scratches,verb.emotion,131,131
90,5,approaches,verb.motion,131,131
91,2,accept,verb.possession,131,19
95,0,know,verb.cognition,131,19
95,0,know,verb.cognition,149,19
96,2,tell,verb.communication,131,99
98,1,delivered,verb.motion,19,19
98,1,delivered,verb.motion,19,151
98,4,threw,verb.contact,151,19
99,0,disguised,verb.change,19,19
100,0,embraced,verb.emotion,11,11
100,0,embraced,verb.emotion,11,111
100,1,promised,verb.communication,11,111
100,3,inherit,verb.possession,111,111
100,4,put,verb.contact,11,11
100,4,put,verb.contact,11,112
100,4,put,verb.contact,11,113
100,6,deceived,verb.social,112,11
100,8,tried,verb.social,112,112
100,8,tried,verb.social,112,113
101,0,married,verb.social,13,2
