sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
Once upon a time there was a fisherman who had a wife and three children. ,had,BEFORE,"Every morning he used to go out fishing, and whatever fish he caught he sold to the King. ",caught,0,1,1,2
"Every morning he used to go out fishing, and whatever fish he caught he sold to the King. ",caught,BEFORE,"Every morning he used to go out fishing, and whatever fish he caught he sold to the King. ",sold,1,1,2,3
"Every morning he used to go out fishing, and whatever fish he caught he sold to the King. ",sold,AFTER,"One day, among the other fishes, he caught a golden crab. ",caught,1,2,3,0
"One day, among the other fishes, he caught a golden crab. ",caught,BEFORE,"When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard. ",put,2,3,0,1
"When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard. ",put,BEFORE,"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",cleaning,3,4,1,1
"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",cleaning,BEFORE,"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",heard,4,4,1,5
"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",heard,BEFORE,"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",said,4,4,5,6
"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",said,AFTER,"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",lets,4,4,6,9
"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",lets,BEFORE,"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",seen,4,4,9,11
"Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said: 'Let down, let down thy petticoat That lets thy feet be seen.' ",seen,BEFORE,"She turned round in surprise, and then she saw the little creature, the Golden Crab. ",saw,4,5,11,1
"She turned round in surprise, and then she saw the little creature, the Golden Crab. ",saw,AFTER,"You can speak, can you, you ridiculous crab?' ",speak,5,7,1,1
"You can speak, can you, you ridiculous crab?' ",speak,BEFORE,"she said, for she was not quite pleased at the Crab's remarks. ",said,7,8,1,0
"she said, for she was not quite pleased at the Crab's remarks. ",said,AFTER,Then she took him up and placed him on a dish. ,took,8,9,0,0
Then she took him up and placed him on a dish. ,took,BEFORE,Then she took him up and placed him on a dish. ,placed,9,9,0,1
Then she took him up and placed him on a dish. ,placed,BEFORE,"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",heard,9,10,1,2
"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",heard,AFTER,"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",saying,10,10,2,3
"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",saying,BEFORE,"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",Give,10,10,3,4
"When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' ",Give,BEFORE,"They were all very much surprised, but they gave him something to eat. ",gave,10,11,4,1
"They were all very much surprised, but they gave him something to eat. ",gave,BEFORE,"When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab. ",came,11,12,1,0
"When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab. ",came,BEFORE,"When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab. ",found,12,12,0,4
"When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab. ",found,BEFORE,"When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab. ",became,12,12,4,6
