sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Once upon a time when wishes came true there was a king's son who was enchanted by an old witch, so that he was obliged to sit in a large iron stove in a wood. ",sit,BEFORE,"There he lived for many years, and no one could free him. ",free,0,1,6,2
"There he lived for many years, and no one could free him. ",free,BEFORE,At last a king's daughter came into the wood; ,came,1,2,2,0
At last a king's daughter came into the wood; ,came,AFTER," she had lost her way, and could not find her father's kingdom again. ",lost,2,3,0,1
" she had lost her way, and could not find her father's kingdom again. ",lost,BEFORE,"She had been wandering round and round for nine days, and she came at last to the iron case. ",came,3,4,1,3
"She had been wandering round and round for nine days, and she came at last to the iron case. ",came,AFTER,"A voice came from within and asked her, 'Where do you come from, and where do you want to go?' ",come,4,5,3,3
"A voice came from within and asked her, 'Where do you come from, and where do you want to go?' ",come,BEFORE,"She answered, 'I have lost my way to my father's kingdom, and I shall never get home again.' ",answered,5,6,3,0
"She answered, 'I have lost my way to my father's kingdom, and I shall never get home again.' ",answered,BEFORE,"Then the voice from the iron stove said, 'I will help you to find your home again, and that in a very short time, if you will promise to do what I ask you. ",promise,6,7,0,5
"Then the voice from the iron stove said, 'I will help you to find your home again, and that in a very short time, if you will promise to do what I ask you. ",promise,BEFORE,"I am a greater prince than you are a princess, and I will marry you.' ",marry,7,8,5,3
"I am a greater prince than you are a princess, and I will marry you.' ",marry,BEFORE,"Then she grew frightened, and thought, 'What can a young lassie do with an iron stove?' ",thought,8,9,3,1
"Then she grew frightened, and thought, 'What can a young lassie do with an iron stove?' ",thought,BEFORE,"But as she wanted very much to go home to her father, she promised to do what he wished. ",wanted,9,10,1,0
"But as she wanted very much to go home to her father, she promised to do what he wished. ",wanted,BEFORE,"He said, 'You must come again, and bring a knife with you to scrape a hole in the iron.' ",said,10,11,0,0
"He said, 'You must come again, and bring a knife with you to scrape a hole in the iron.' ",said,BEFORE,"Then he gave her someone for a guide, who walked near her and said nothing, but he brought her in two hours to her house. ",brought,11,12,0,3
"Then he gave her someone for a guide, who walked near her and said nothing, but he brought her in two hours to her house. ",brought,BEFORE,"There was great joy in the castle when the Princess came back, and the old King fell on her neck and kissed her. ",kissed,12,13,3,3
"There was great joy in the castle when the Princess came back, and the old King fell on her neck and kissed her. ",kissed,BEFORE,"But she was very much troubled, and said, 'Dear father, listen to what has befallen me! ",said,13,14,3,1
"But she was very much troubled, and said, 'Dear father, listen to what has befallen me! ",said,BEFORE,"I should never have come home again out of the great wild wood if I had not come to an iron stove, to whom I have had to promise that I will go back to free him and marry him!' ",free,14,15,1,10
"I should never have come home again out of the great wild wood if I had not come to an iron stove, to whom I have had to promise that I will go back to free him and marry him!' ",free,AFTER,"The old King was so frightened that he nearly fainted, for she was his only daughter. ",fainted,15,16,10,1
"The old King was so frightened that he nearly fainted, for she was his only daughter. ",fainted,BEFORE,"So they consulted together, and determined that the miller's daughter, who was very beautiful, should take her place. ",determined,16,17,1,1
"So they consulted together, and determined that the miller's daughter, who was very beautiful, should take her place. ",determined,BEFORE, I think I hear my father's mill rattling.' ,hear,17,22,1,1
 I think I hear my father's mill rattling.' ,hear,BEFORE,"Then go away at once, and tell the King's daughter to come.' ",come,22,24,1,2
"Then go away at once, and tell the King's daughter to come.' ",come,AFTER,"Then she went away, and told the old King that the thing inside the iron stove would not have her, but wanted the Princess. ",wanted,24,25,2,4
"Then she went away, and told the old King that the thing inside the iron stove would not have her, but wanted the Princess. ",wanted,BEFORE,"The old King was frightened, and his daughter wept. ",wept,25,26,4,1
"The old King was frightened, and his daughter wept. ",wept,BEFORE,"But they had a swineherd's daughter who was even more beautiful than the miller's daughter, and they gave her a piece of gold to go to the iron stove instead of the Princess. ",gave,26,27,1,2
"But they had a swineherd's daughter who was even more beautiful than the miller's daughter, and they gave her a piece of gold to go to the iron stove instead of the Princess. ",gave,BEFORE,"Then she was taken out, and had to scrape for four-and-twenty hours, but she could make no impression. ",scrape,27,28,2,3
"Then she was taken out, and had to scrape for four-and-twenty hours, but she could make no impression. ",scrape,BEFORE, I think I hear my father blowing his horn.' ,hear,28,31,3,1
 I think I hear my father blowing his horn.' ,hear,BEFORE,"Go away at once, and let the King's daughter come. ",come,31,33,1,2
"Go away at once, and let the King's daughter come. ",come,BEFORE,"And say to her that what I foretell shall come to pass, and if she does not come everything in the kingdom shall fall into ruin, and not one stone shall be left upon another.' ",come,33,34,2,5
"And say to her that what I foretell shall come to pass, and if she does not come everything in the kingdom shall fall into ruin, and not one stone shall be left upon another.' ",come,AFTER,"When the Princess heard this she began to cry, but it was no good; ",heard,34,35,5,0
"When the Princess heard this she began to cry, but it was no good; ",heard,BEFORE,"She took leave of her father, put a knife in her belt, and went to the iron stove in the wood. ",took,35,37,0,0
"She took leave of her father, put a knife in her belt, and went to the iron stove in the wood. ",took,BEFORE,"As soon as she reached it she began to scrape, and the iron gave way and before two hours had passed she had made a little hole. ",scrape,37,38,0,2
"As soon as she reached it she began to scrape, and the iron gave way and before two hours had passed she had made a little hole. ",scrape,BEFORE,Then she peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot. ,saw,38,39,2,1
Then she peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot. ,saw,BEFORE,"So she scraped away harder than ever, and made the hole so large that he could get out. ",made,39,40,1,1
"So she scraped away harder than ever, and made the hole so large that he could get out. ",made,BEFORE,"Then he said, 'You are mine, and I am thine; ",said,40,41,1,0
"Then he said, 'You are mine, and I am thine; ",said,AFTER, you are my bride and have set me free!' ,set,41,42,0,2
 you are my bride and have set me free!' ,set,BEFORE,"He wanted to take her with him to his kingdom, but she begged him just to let her go once more to her father; ",wanted,42,43,2,0
"He wanted to take her with him to his kingdom, but she begged him just to let her go once more to her father; ",wanted,BEFORE," and the Prince let her go, but told her not to say more than three words to her father, then to come back again. ",told,43,44,0,2
" and the Prince let her go, but told her not to say more than three words to her father, then to come back again. ",told,BEFORE,she said MORE THAN THREE WORDS; ,said,44,46,2,0
she said MORE THAN THREE WORDS; ,said,BEFORE,"Then she said good-bye to her father, and took a little money with her, and went again into the great wood to look for the iron stove; ",went,46,49,0,2
"Then she said good-bye to her father, and took a little money with her, and went again into the great wood to look for the iron stove; ",went,BEFORE, but she could not find it. ,find,49,50,2,1
 but she could not find it. ,find,BEFORE,"She sought it for nine days, and then her hunger became so great that she did not know how she could live any longer. ",sought,50,51,1,0
"She sought it for nine days, and then her hunger became so great that she did not know how she could live any longer. ",sought,BEFORE,"And when it was evening she climbed a little tree and wished that the night would not come, because she was afraid of the wild beasts. ",wished,51,52,0,2
"And when it was evening she climbed a little tree and wished that the night would not come, because she was afraid of the wild beasts. ",wished,BEFORE,"When midnight came she saw afar off a little light, and thought, 'Ah! ",saw,52,53,2,1
"When midnight came she saw afar off a little light, and thought, 'Ah! ",saw,BEFORE,if only I could reach that!' ,reach,53,54,1,1
if only I could reach that!' ,reach,BEFORE,Then she got down from the tree and went towards the light. ,went,54,55,1,1
Then she got down from the tree and went towards the light. ,went,BEFORE,"She came to a little old house with a great deal of grass growing round, and stood in front of a little heap of wood. ",came,55,56,1,0
"She came to a little old house with a great deal of grass growing round, and stood in front of a little heap of wood. ",came,BEFORE,"She thought, 'Alas! ",thought,56,57,0,0
"She thought, 'Alas! ",thought,BEFORE,what am I coming to?' ,coming,57,58,0,1
what am I coming to?' ,coming,BEFORE," but she saw nothing inside except big and little toads, and a table beautifully spread with roast meats and wine, and all the dishes and drinking-cups were of silver. ",saw,58,60,1,0
" but she saw nothing inside except big and little toads, and a table beautifully spread with roast meats and wine, and all the dishes and drinking-cups were of silver. ",saw,BEFORE,Then she took heart and knocked. ,knocked,60,61,0,1
Then she took heart and knocked. ,knocked,BEFORE,And a little toad came forward and let her in. ,let,61,63,1,1
And a little toad came forward and let her in. ,let,BEFORE,"When she entered they all bid her welcome, and made her sit down. ",bid,63,64,1,1
"When she entered they all bid her welcome, and made her sit down. ",bid,AFTER,They asked her how she came there and what she wanted. ,wanted,64,65,1,2
They asked her how she came there and what she wanted. ,wanted,BEFORE,"Then she told everything that had happened to her, and how, because she had exceeded her permission only to speak three words, the stove had disappeared with the Prince; ",told,65,66,2,0
"Then she told everything that had happened to her, and how, because she had exceeded her permission only to speak three words, the stove had disappeared with the Prince; ",told,BEFORE," and how she had searched a very long time, and must wander over mountain and valley till she found him. ",wander,66,67,0,3
" and how she had searched a very long time, and must wander over mountain and valley till she found him. ",wander,AFTER,"Then the old toad said: 'Little green toad whose leg doth twist, Go to the corner of which you wist, And bring to me the large old kist.' ",wist,67,68,3,2
"Then the old toad said: 'Little green toad whose leg doth twist, Go to the corner of which you wist, And bring to me the large old kist.' ",wist,BEFORE,And the little toad went and brought out a great chest. ,went,68,69,2,0
And the little toad went and brought out a great chest. ,went,BEFORE,"Then they gave her food and drink, and led her to a beautifully made bed of silk and samite, on which she lay down and slept soundly. ",gave,69,70,0,0
"Then they gave her food and drink, and led her to a beautifully made bed of silk and samite, on which she lay down and slept soundly. ",gave,BEFORE,"When the day dawned she arose, and the old toad gave her three things out of the huge chest to take with her. ",gave,70,71,0,2
"When the day dawned she arose, and the old toad gave her three things out of the huge chest to take with her. ",gave,BEFORE,"She would have need of them, for she had to cross a high glass mountain, three cutting swords, and a great lake. ",cross,71,72,2,3
"She would have need of them, for she had to cross a high glass mountain, three cutting swords, and a great lake. ",cross,BEFORE,When she had passed these she would find her lover again. ,passed,72,73,3,1
When she had passed these she would find her lover again. ,passed,BEFORE,"So she was given three large needles, a plough-wheel, and three nuts, which she was to take great care of. ",given,73,74,1,1
