sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,6,sit,123,126,123,126,3,105.0,107.0,105.0,107.0,,,,,verb.contact,True,0,subject,a king 's son,1,3,4,male,1.0,tertiary
2,0,came,26,30,244,248,2,8.0,25.0,226.0,243.0,,,,,verb.motion,True,3,subject,a king,2,0,2,male,1.0,tertiary
2,0,came,26,30,244,248,7,8.0,25.0,226.0,243.0,,,,,verb.motion,True,3,subject,a king 's daughter,1,23,24,male,1.0,tertiary
3,1,lost,9,13,272,276,7,1.0,4.0,264.0,267.0,,,,,verb.possession,True,2,subject,a king 's daughter,1,23,24,male,1.0,tertiary
4,3,came,62,66,395,399,7,58.0,61.0,391.0,394.0,,,,,verb.motion,True,5,subject,a king 's daughter,1,23,24,male,1.0,tertiary
5,3,come,54,58,480,484,7,50.0,53.0,476.0,479.0,,,,,verb.motion,True,4,subject,a king 's daughter,1,23,24,male,1.0,tertiary
6,0,answered,4,12,525,533,7,0.0,3.0,521.0,524.0,,,,,verb.communication,True,6,subject,a king 's daughter,1,23,24,male,1.0,tertiary
7,5,promise,126,133,740,747,7,117.0,120.0,731.0,734.0,,,,,verb.communication,True,7,subject,a king 's daughter,1,23,24,male,1.0,tertiary
8,3,marry,58,63,828,833,7,51.0,52.0,821.0,822.0,,,,,verb.social,True,8,subject,a king 's daughter,1,23,24,male,1.0,tertiary
11,0,said,3,7,1020,1024,9,0.0,2.0,1017.0,1019.0,,,,,verb.communication,True,11,subject,a king 's daughter's father,6,15,21,male,1.0,tertiary
12,3,brought,83,90,1189,1196,9,80.0,82.0,1186.0,1188.0,98.0,107.0,1204.0,1213.0,verb.motion,True,12,subject,a king 's daughter's father,6,15,21,male,1.0,tertiary
13,3,kissed,101,107,1329,1335,19,67.0,79.0,1295.0,1307.0,,,,,verb.contact,True,13,subject,The old King,4,5,9,male,1.0,tertiary
16,1,fainted,46,53,1652,1659,19,36.0,38.0,1642.0,1644.0,,,,,verb.body,True,15,subject,The old King,4,5,9,male,1.0,tertiary
24,2,come,54,58,2233,2237,118,31.0,50.0,2210.0,2229.0,,,,,verb.motion,True,20,subject,the King 's daughter,2,2,4,male,1.0,tertiary
24,2,come,54,58,2233,2237,117,31.0,50.0,2210.0,2229.0,,,,,verb.motion,True,20,subject,the King,2,0,2,male,1.0,tertiary
26,1,wept,46,50,2410,2414,30,33.0,45.0,2397.0,2409.0,,,,,verb.body,True,21,subject,The old King's daughter,1,0,1,unknown,0.0,tertiary
26,1,wept,46,50,2410,2414,19,33.0,45.0,2397.0,2409.0,,,,,verb.body,True,21,subject,The old King,4,5,9,male,1.0,tertiary
28,3,scrape,35,41,2626,2632,32,5.0,8.0,2596.0,2599.0,,,,,verb.contact,True,23,subject,a swineherd 's daughter who was even more beautiful than the miller 's daughter,1,3,4,female,1.0,tertiary
33,2,come,45,49,2959,2963,118,25.0,44.0,2939.0,2958.0,,,,,verb.motion,True,25,subject,the King 's daughter,2,2,4,male,1.0,tertiary
33,2,come,45,49,2959,2963,117,25.0,44.0,2939.0,2958.0,,,,,verb.motion,True,25,subject,the King,2,0,2,male,1.0,tertiary
34,5,come,76,80,3041,3045,118,63.0,66.0,3028.0,3031.0,92.0,106.0,3057.0,3071.0,verb.motion,True,27,subject,the King 's daughter,2,2,4,male,1.0,tertiary
35,0,heard,18,23,3159,3164,18,5.0,17.0,3146.0,3158.0,,,,,verb.perception,True,26,subject,the Princess,5,89,94,female,1.0,primary
37,0,took,4,8,3238,3242,18,0.0,3.0,3234.0,3237.0,,,,,verb.social,True,28,subject,the Princess,5,89,94,female,1.0,primary
38,2,scrape,39,45,3368,3374,18,26.0,29.0,3355.0,3358.0,,,,,verb.contact,True,29,subject,the Princess,5,89,94,female,1.0,primary
39,1,saw,23,26,3481,3484,18,5.0,8.0,3463.0,3466.0,,,,,verb.perception,True,30,subject,the Princess,5,89,94,female,1.0,primary
40,1,made,42,46,3636,3640,18,3.0,6.0,3597.0,3600.0,,,,,verb.change,True,31,subject,the Princess,5,89,94,female,1.0,primary
41,0,said,8,12,3690,3694,9,5.0,7.0,3687.0,3689.0,,,,,verb.communication,True,33,subject,a king 's daughter's father,6,15,21,male,1.0,tertiary
42,2,set,27,30,3753,3756,18,1.0,4.0,3727.0,3730.0,,,,,verb.contact,True,32,subject,the Princess,5,89,94,female,1.0,primary
43,0,wanted,3,9,3770,3776,9,0.0,2.0,3767.0,3769.0,,,,,verb.emotion,True,34,subject,a king 's daughter's father,6,15,21,male,1.0,tertiary
44,2,told,32,36,3908,3912,41,5.0,15.0,3881.0,3891.0,,,,,verb.communication,True,35,subject,the Prince,8,13,21,male,1.0,tertiary
46,0,said,4,8,4022,4026,18,0.0,3.0,4018.0,4021.0,,,,,verb.communication,True,36,subject,the Princess,5,89,94,female,1.0,primary
49,2,went,76,80,4281,4285,18,5.0,8.0,4210.0,4213.0,107.0,133.0,4312.0,4338.0,verb.motion,True,37,subject,the Princess,5,89,94,female,1.0,primary
50,1,find,19,23,4358,4362,18,5.0,8.0,4344.0,4347.0,,,,,verb.perception,True,38,subject,the Princess,5,89,94,female,1.0,primary
51,0,sought,4,10,4371,4377,18,0.0,3.0,4367.0,4370.0,14.0,27.0,4381.0,4394.0,verb.contact,True,39,subject,the Princess,5,89,94,female,1.0,primary
52,2,wished,54,60,4539,4545,18,24.0,27.0,4509.0,4512.0,,,,,verb.emotion,True,40,subject,the Princess,5,89,94,female,1.0,primary
53,1,saw,23,26,4643,4646,18,19.0,22.0,4639.0,4642.0,,,,,verb.perception,True,41,subject,the Princess,5,89,94,female,1.0,primary
54,1,reach,16,21,4706,4711,18,8.0,9.0,4698.0,4699.0,,,,,verb.motion,True,42,subject,the Princess,5,89,94,female,1.0,primary
55,1,went,36,40,4755,4759,18,5.0,8.0,4724.0,4727.0,,,,,verb.motion,True,43,subject,the Princess,5,89,94,female,1.0,primary
56,0,came,4,8,4783,4787,18,0.0,3.0,4779.0,4782.0,31.0,71.0,4810.0,4850.0,verb.motion,True,44,subject,the Princess,5,89,94,female,1.0,primary
57,0,thought,4,11,4901,4908,18,0.0,3.0,4897.0,4900.0,,,,,verb.cognition,True,45,subject,the Princess,5,89,94,female,1.0,primary
58,1,coming,10,16,4927,4933,18,8.0,9.0,4925.0,4926.0,,,,,verb.motion,True,46,subject,the Princess,5,89,94,female,1.0,primary
60,0,saw,9,12,4978,4981,18,5.0,8.0,4974.0,4977.0,,,,,verb.perception,True,47,subject,the Princess,5,89,94,female,1.0,primary
61,1,knocked,24,31,5161,5168,18,5.0,8.0,5142.0,5145.0,,,,,verb.social,True,48,subject,the Princess,5,89,94,female,1.0,primary
63,1,let,35,38,5336,5339,48,4.0,17.0,5305.0,5318.0,43.0,45.0,5344.0,5346.0,verb.social,True,49,subject,a little toad,1,0,1,unknown,0.0,tertiary
65,2,wanted,47,53,5461,5467,18,38.0,42.0,5452.0,5456.0,,,,,verb.emotion,True,50,subject,the Princess,5,89,94,female,1.0,primary
66,0,told,9,13,5478,5482,18,5.0,8.0,5474.0,5477.0,60.0,168.0,5529.0,5637.0,verb.communication,True,52,subject,the Princess,5,89,94,female,1.0,primary
67,3,wander,53,59,5691,5697,18,9.0,12.0,5647.0,5650.0,,,,,verb.motion,True,54,subject,the Princess,5,89,94,female,1.0,primary
68,2,wist,95,99,5838,5842,18,71.0,90.0,5814.0,5833.0,,,,,verb.contact,True,53,subject,the Princess,5,89,94,female,1.0,primary
69,0,went,20,24,5901,5905,54,4.0,19.0,5885.0,5900.0,,,,,verb.motion,True,55,subject,the little toad,1,0,1,unknown,0.0,tertiary
71,2,gave,48,52,6119,6123,53,35.0,47.0,6106.0,6118.0,92.0,108.0,6163.0,6179.0,verb.possession,True,57,subject,the old toad,3,1,4,unknown,0.0,tertiary
72,3,cross,44,49,6225,6230,18,33.0,36.0,6214.0,6217.0,,,,,verb.motion,True,58,subject,the Princess,5,89,94,female,1.0,primary
73,1,passed,13,19,6307,6313,18,5.0,8.0,6299.0,6302.0,,,,,verb.motion,True,59,subject,the Princess,5,89,94,female,1.0,primary
74,1,given,11,16,6363,6368,18,3.0,6.0,6355.0,6358.0,,,,,verb.possession,True,60,subject,the Princess,5,89,94,female,1.0,primary
75,1,came,44,48,6503,6507,18,40.0,43.0,6499.0,6502.0,,,,,verb.motion,True,61,subject,the Princess,5,89,94,female,1.0,primary
76,2,got,47,50,6742,6745,18,5.0,8.0,6700.0,6703.0,,,,,verb.contact,True,62,subject,the Princess,5,89,94,female,1.0,primary
77,0,came,12,16,6800,6804,18,8.0,11.0,6796.0,6799.0,,,,,verb.motion,True,63,subject,the Princess,5,89,94,female,1.0,primary
78,1,gave,16,20,6901,6905,18,0.0,3.0,6885.0,6888.0,,,,,verb.possession,True,65,subject,the Princess,5,89,94,female,1.0,primary
