sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
1,4,endure,120,126,229,235,8,90,109,199,218,,127.0,131.0,236.0,240.0,,,,,verb.consumption,1
2,0,ordered,15,22,257,264,10,3,14,245,256,4,23.0,28.0,265.0,270.0,,,,,verb.communication,1
4,0,had,28,31,364,367,4,17,20,353,356,,32.0,106.0,368.0,442.0,,,,,verb.possession,1
6,1,met,37,40,561,564,,7,8,531,532,11,41.0,75.0,565.0,599.0,,,,,verb.motion,1
7,0,gave,8,12,609,613,11,4,7,605,608,,13.0,16.0,614.0,617.0,,,,,verb.possession,1
9,1,named,21,26,713,718,,4,12,696,704,5,27.0,36.0,719.0,728.0,,,,,verb.communication,1
9,2,ate,43,46,735,738,"5,14",4,36,696,728,,47.0,57.0,739.0,749.0,58.0,92.0,750.0,784.0,verb.consumption,1
9,4,floated,114,121,806,813,14,98,101,790,793,,125.0,138.0,817.0,830.0,,,,,verb.motion,1
10,0,reached,9,16,841,848,14,5,8,837,840,,17.0,25.0,849.0,857.0,,,,,verb.motion,1
11,0,sat,62,65,1008,1011,21,26,56,972,1002,,66.0,73.0,1012.0,1019.0,74.0,92.0,1020.0,1038.0,verb.contact,1
12,0,took,16,20,1056,1060,22,4,15,1044,1055,21,21.0,37.0,1061.0,1077.0,,,,,verb.contact,1
12,1,cast,42,46,1082,1086,22,4,15,1044,1055,,47.0,49.0,1087.0,1089.0,50.0,112.0,1090.0,1152.0,verb.contact,1
13,0,saw,11,14,1207,1210,22,6,10,1202,1206,,15.0,90.0,1211.0,1286.0,,,,,verb.perception,1
16,0,said,21,25,1482,1486,"26,25",0,20,1461,1481,41,28.0,55.0,1489.0,1516.0,,,,,verb.communication,1
19,0,entered,10,17,1700,1707,22,5,9,1695,1699,,18.0,37.0,1708.0,1727.0,,,,,verb.motion,1
23,1,looking,22,29,1998,2005,22,6,10,1982,1986,,30.0,40.0,2006.0,2016.0,41.0,53.0,2017.0,2029.0,verb.perception,1
23,2,stepped,75,82,2051,2058,20,54,74,2030,2050,22,86.0,93.0,2062.0,2069.0,95.0,144.0,2071.0,2120.0,verb.motion,1
23,3,clad,95,99,2071,2075,20,54,74,2030,2050,,100.0,144.0,2076.0,2120.0,,,,,verb.body,1
24,0,smiled,4,10,2126,2132,20,0,3,2122,2125,,,,,,,,,,verb.body,1
24,1,said,15,19,2137,2141,20,0,3,2122,2125,"42,10",20.0,34.0,2142.0,2156.0,,,,,verb.communication,1
25,3,find,51,55,2257,2261,10,29,32,2235,2238,10,56.0,64.0,2262.0,2270.0,65.0,69.0,2271.0,2275.0,verb.possession,1
26,1,came,39,43,2317,2321,"34,20",19,33,2297,2311,,44.0,68.0,2322.0,2346.0,,,,,verb.motion,1
26,3,sang,74,78,2352,2356,"34,20",19,33,2297,2311,,,,,,,,,,verb.creation,1
26,4,danced,83,89,2361,2367,"34,20",19,33,2297,2311,,,,,,,,,,verb.motion,1
30,2,returned,38,46,2606,2614,10,26,37,2594,2605,,,,,,,,,,verb.motion,1
31,2,heard,34,39,2684,2689,10,11,20,2661,2670,,,,,,,,,,verb.perception,1
31,3,written,52,59,2702,2709,10,11,51,2661,2701,,,,,,,,,,verb.communication,1
31,4,sung,69,73,2719,2723,10,11,51,2661,2701,,74.0,114.0,2724.0,2764.0,115.0,138.0,2765.0,2788.0,verb.communication,1
