sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
2,1,advanced,29.0,37.0,269.0,277.0,13,26.0,28.0,266.0,268.0,,,,,,,,,,verb.motion,1,True
3,3,play,74.0,78.0,362.0,366.0,13,22.0,24.0,310.0,312.0,14,79.0,89.0,367.0,377.0,90.0,102.0,378.0,390.0,verb.competition,1,True
4,1,make,40.0,44.0,432.0,436.0,9,26.0,36.0,418.0,428.0,13,45.0,68.0,437.0,460.0,,,,,verb.change,1,True
5,0,meant,3.0,8.0,465.0,470.0,13,0.0,2.0,462.0,464.0,,9.0,60.0,471.0,522.0,,,,,verb.cognition,1,True
6,1,cautioned,41.0,50.0,565.0,574.0,9,30.0,40.0,554.0,564.0,13,51.0,72.0,575.0,596.0,,,,,verb.communication,1,True
7,3,running,78.0,85.0,676.0,683.0,13,0.0,2.0,598.0,600.0,,86.0,94.0,684.0,692.0,95.0,108.0,693.0,706.0,verb.motion,1,True
8,0,went,3.0,7.0,711.0,715.0,13,0.0,2.0,708.0,710.0,13,8.0,27.0,716.0,735.0,,,,,verb.motion,1,True
9,0,flew,17.0,21.0,754.0,758.0,13,8.0,16.0,745.0,753.0,,,,,,,,,,verb.motion,1,True
10,0,followed,3.0,11.0,783.0,791.0,13,0.0,2.0,780.0,782.0,,,,,,,,,,verb.motion,1,True
11,1,run,13.0,16.0,826.0,829.0,13,6.0,8.0,819.0,821.0,,,,,,,,,,verb.motion,1,True
12,4,spearing,93.0,101.0,1016.0,1024.0,20,53.0,73.0,976.0,996.0,,102.0,106.0,1025.0,1029.0,,,,,verb.contact,1,True
14,1,looked,51.0,57.0,1133.0,1139.0,23,39.0,50.0,1121.0,1132.0,,,,,,,,,,verb.perception,1,True
