sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,grew,verb.change,13,13
3,2,loved,verb.emotion,13,14
3,3,play,verb.competition,13,14
4,0,told,verb.communication,13,9
4,0,told,verb.communication,13,13
4,1,make,verb.change,9,13
6,0,handed,verb.possession,9,13
6,1,cautioned,verb.communication,9,13
7,0,laughed,verb.body,13,9
7,2,throwing,verb.contact,13,13
8,0,went,verb.motion,13,13
11,2,saw,verb.perception,13,13
12,2,see,verb.perception,13,20
14,0,approached,verb.motion,22,20
15,1,see,verb.perception,22,24
16,1,said,verb.communication,22,3
20,3,said,verb.communication,28,28
20,3,said,verb.communication,27,28
21,2,choosing,verb.cognition,26,26
22,1,stared,verb.perception,26,13
22,2,covered,verb.body,26,26
23,0,thought,verb.cognition,13,13
23,0,thought,verb.cognition,13,152
26,1,find,verb.possession,13,13
26,1,find,verb.possession,13,152
26,2,teach,verb.communication,13,13
26,2,teach,verb.communication,13,152
27,3,saw,verb.cognition,31,26
27,5,caught,verb.contact,26,26
30,0,heard,verb.perception,26,31
31,1,saw,verb.perception,26,13
31,1,saw,verb.perception,26,26
34,2,see,verb.perception,26,34
35,3,told,verb.communication,27,9
35,3,told,verb.communication,27,27
36,0,exclaimed,verb.communication,9,27
37,0,hope,verb.emotion,9,27
38,0,replied,verb.communication,27,9
46,2,asked,verb.communication,41,27
48,0,made,verb.creation,27,27
53,0,came,verb.motion,13,45
53,3,cast,verb.creation,13,13
59,1,rushed,verb.motion,27,50
59,2,thrust,verb.contact,27,50
60,1,picking,verb.contact,27,27
60,3,tossing,verb.motion,27,27
63,0,knew,verb.cognition,50,13
63,2,overtake,verb.competition,50,13
64,2,getting,verb.change,50,50
65,1,begged,verb.communication,50,50
65,1,begged,verb.communication,58,50
66,4,get,verb.change,50,50
69,2,started,verb.motion,50,13
70,0,heard,verb.perception,62,50
70,1,roaring,verb.communication,50,50
72,0,thought,verb.cognition,9,9
73,1,seeing,verb.perception,9,64
73,2,coming,verb.motion,64,64
74,0,supposed,verb.cognition,9,9
74,0,supposed,verb.cognition,9,66
74,0,supposed,verb.cognition,9,67
74,4,become,verb.change,9,66
74,4,become,verb.change,67,66
74,5,make,verb.creation,9,66
74,5,make,verb.creation,67,66
75,0,said,verb.communication,31,9
75,0,said,verb.communication,31,64
75,2,mind,verb.communication,9,64
79,1,request,verb.communication,9,31
80,0,gave,verb.possession,9,69
84,2,turned,verb.motion,31,31
85,4,hammered,verb.contact,50,50
87,0,presented,verb.perception,75,75
87,0,presented,verb.perception,70,75
87,1,rolled,verb.motion,75,75
87,1,rolled,verb.motion,70,75
91,0,raised,verb.motion,31,31
91,1,said,verb.communication,9,31
91,1,said,verb.communication,31,31
92,1,killed,verb.social,31,160
93,0,fired,verb.competition,69,69
95,1,directed,verb.communication,31,9
95,1,directed,verb.communication,31,31
95,1,directed,verb.communication,31,84
95,3,see,verb.social,9,84
95,3,see,verb.social,31,84
96,1,saying,verb.communication,9,161
96,1,saying,verb.communication,9,84
97,0,answered,verb.communication,31,161
97,0,answered,verb.communication,31,84
98,1,raised,verb.contact,31,70
98,3,sent,verb.motion,31,70
101,3,said,verb.communication,31,9
101,3,said,verb.communication,31,31
102,0,provided,verb.possession,31,70
103,6,cautioned,verb.communication,9,31
104,0,thinks,verb.cognition,9,31
104,1,said,verb.communication,9,31
104,3,see,verb.perception,31,9
107,5,braved,verb.communication,31,9
110,1,understand,verb.cognition,9,9
110,1,understand,verb.cognition,9,67
110,1,understand,verb.cognition,31,9
110,1,understand,verb.cognition,31,67
113,0,wondered,verb.cognition,9,31
115,1,bringing,verb.contact,9,9
118,0,replied,verb.communication,31,39
121,1,said,verb.communication,31,31
121,5,began,verb.change,31,31
121,6,pull,verb.contact,31,31
122,2,opened,verb.body,39,39
124,0,heard,verb.perception,39,39
124,1,saying,verb.communication,39,39
126,0,made,verb.social,39,39
126,1,open,verb.contact,39,31
127,0,lost,verb.social,31,39
127,1,ordering,verb.communication,31,39
127,4,telling,verb.communication,31,39
128,0,began,verb.change,39,128
128,0,began,verb.change,39,67
128,0,began,verb.change,39,39
128,1,believe,verb.cognition,39,128
128,1,believe,verb.cognition,39,67
128,1,believe,verb.cognition,39,39
130,3,said,verb.communication,39,4
130,3,said,verb.communication,39,166
130,3,said,verb.communication,39,39
130,8,gets,verb.possession,4,4
136,2,said,verb.communication,169,31
