coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
9,his sister,She,96,0,3,0
9,his sister,his sister,95,71,81,0
9,his sister,his sister,91,22,32,0
9,his sister,She,80,0,3,0
9,his sister,I,79,7,8,0
9,his sister,she,78,0,3,0
9,his sister,you,75,26,29,0
9,his sister,her,74,39,42,1
9,his sister,She,73,0,3,0
9,his sister,his sister,101,91,101,0
9,his sister,she,72,26,29,0
9,his sister,she,72,14,17,0
9,his sister,His sister,71,0,10,0
9,his sister,I,41,0,1,0
9,his sister,I,38,19,20,0
9,his sister,I,37,0,1,0
9,his sister,She,36,0,3,0
9,his sister,she,74,4,7,0
9,his sister,his sister,102,114,124,0
9,his sister,his sister,0,66,76,0
9,his sister,she,103,148,151,0
9,his sister,she,115,52,55,0
9,his sister,She,115,0,3,0
9,his sister,her,114,23,26,0
9,his sister,She,113,0,3,0
9,his sister,her,112,127,130,0
9,his sister,his sister,112,52,62,0
9,his sister,she,110,80,83,0
9,his sister,her,110,52,55,1
9,his sister,his sister,110,9,19,0
9,his sister,You,109,43,46,0
9,his sister,her,109,23,26,0
9,his sister,She,108,0,3,0
9,his sister,her,107,173,176,0
9,his sister,his sister,107,120,130,0
9,his sister,her,106,14,17,0
9,his sister,she,104,85,88,0
9,his sister,She,104,1,4,0
9,his sister,his sister,35,84,94,0
9,his sister,she,103,5,8,0
9,his sister,she,73,77,80,0
9,his sister,his sister,6,30,40,0
9,his sister,her,7,14,17,0
9,his sister,his sister,4,26,36,0
9,his sister,she,6,5,8,0
10,a boy remarkable for the smallness of his stature,a boy remarkable for the smallness of his stature,0,84,133,0
13,the boy,he,3,14,16,0
13,the boy,he,2,26,28,0
13,the boy,he,53,82,84,0
13,the boy,he,12,5,7,0
13,the boy,he,12,29,31,0
13,the boy,the boy,31,112,119,0
13,the boy,he,31,140,142,0
13,the boy,His,71,0,3,1
13,the boy,the boy,69,108,115,0
13,the boy,he,3,22,24,0
13,the boy,him,6,51,54,0
13,the boy,The boy,2,0,7,0
13,the boy,him,63,68,71,0
13,the boy,the boy,63,10,17,0
13,the boy,my,54,83,85,0
13,the boy,me,54,80,82,0
13,the boy,The boy,54,0,7,0
13,the boy,his,53,90,93,0
13,the boy,the boy,43,18,25,0
13,the boy,he,70,92,94,0
13,the boy,he,11,40,42,0
13,the boy,him,11,105,108,0
13,the boy,him,6,16,19,0
13,the boy,He,7,0,2,0
13,the boy,his,7,54,57,0
13,the boy,him,7,70,73,0
13,the boy,He,8,0,2,0
13,the boy,his,8,19,22,0
13,the boy,the boy,22,42,49,0
13,the boy,his,9,8,11,0
13,the boy,He,10,0,2,0
13,the boy,The boy,23,0,7,0
13,the boy,himself,23,19,26,0
13,the boy,his,3,45,48,0
13,the boy,I,23,57,58,0
13,the boy,he,53,5,7,0
13,the boy,he,4,18,20,0
