sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,dabbled,78,85,78,85,1,64.0,72.0,64.0,72.0,,,,,verb.perception,0,subject,Daws,4.0,3.0,7.0,unknown,0.0,tertiary
1,2,possessed,79,88,184,193,2,55.0,69.0,160.0,174.0,,,,,verb.possession,1,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
2,1,said,33,37,297,301,2,3.0,11.0,267.0,275.0,,,,,verb.communication,4,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
2,4,dance,63,68,327,332,2,40.0,41.0,304.0,305.0,,,,,verb.creation,3,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
3,1,recite,10,16,343,349,2,1.0,2.0,334.0,335.0,,,,,verb.communication,2,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
3,2,play,27,31,360,364,2,1.0,2.0,334.0,335.0,,,,,verb.creation,5,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
5,0,wish,7,11,431,435,2,5.0,6.0,429.0,430.0,,,,,verb.emotion,6,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
6,1,do,13,15,471,473,2,0.0,4.0,458.0,462.0,,,,,verb.social,8,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
7,1,pay,20,23,496,499,16,5.0,8.0,481.0,484.0,,,,,verb.possession,7,subject,the wise chemist,2.0,5.0,7.0,male,1.0,tertiary
10,1,said,44,48,647,651,16,1.0,41.0,604.0,644.0,,,,,verb.communication,14,subject,the wise chemist,2.0,5.0,7.0,male,1.0,tertiary
11,0,practiced,18,27,674,683,16,15.0,17.0,671.0,673.0,,,,,verb.social,13,subject,the wise chemist,2.0,5.0,7.0,male,1.0,tertiary
12,0,came,29,33,747,751,2,14.0,28.0,732.0,746.0,,,,,verb.motion,15,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
12,1,showed,61,67,779,785,16,58.0,60.0,776.0,778.0,,,,,verb.perception,16,subject,the wise chemist,2.0,5.0,7.0,male,1.0,tertiary
13,2,flatter,54,61,917,924,17,52.0,53.0,915.0,916.0,,,,,verb.social,17,subject,the old man,1.0,3.0,4.0,male,1.0,tertiary
14,2,made,52,56,1039,1043,2,5.0,40.0,992.0,1027.0,,,,,verb.change,19,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
14,2,made,52,56,1039,1043,120,5.0,40.0,992.0,1027.0,,,,,verb.change,19,subject,Claribel Sudds's old - fashioned sorcerers,1.0,0.0,1.0,unknown,0.0,tertiary
14,2,made,52,56,1039,1043,119,5.0,40.0,992.0,1027.0,,,,,verb.change,19,subject,Claribel Sudds's of your old - fashioned sorcerers,1.0,0.0,1.0,unknown,0.0,tertiary
15,1,consulted,12,21,1096,1105,17,5.0,6.0,1089.0,1090.0,,,,,verb.communication,20,subject,the old man,1.0,3.0,4.0,male,1.0,tertiary
17,0,eat,7,10,1170,1173,2,3.0,6.0,1166.0,1169.0,20.0,57.0,1183.0,1220.0,verb.consumption,21,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
17,2,dance,52,57,1215,1220,2,44.0,47.0,1207.0,1210.0,,,,,verb.creation,23,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
17,5,trained,114,121,1277,1284,2,101.0,104.0,1264.0,1267.0,,,,,verb.social,22,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
18,0,consume,10,17,1307,1314,2,6.0,9.0,1303.0,1306.0,,,,,verb.consumption,24,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
18,2,sing,47,51,1344,1348,2,38.0,41.0,1335.0,1338.0,,,,,verb.creation,26,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
20,5,kick,140,144,1593,1597,2,125.0,128.0,1578.0,1581.0,,,,,verb.motion,30,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
22,2,enraptured,34,44,1677,1687,2,0.0,18.0,1643.0,1661.0,,,,,verb.contact,31,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
29,1,returned,36,44,1912,1920,2,32.0,35.0,1908.0,1911.0,,,,,verb.communication,36,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
30,0,retained,17,25,1939,1947,18,0.0,16.0,1922.0,1938.0,34.0,154.0,1956.0,2076.0,verb.possession,35,subject,the wise one,1.0,6.0,7.0,male,1.0,tertiary
30,1,signed,60,66,1982,1988,2,56.0,59.0,1978.0,1981.0,104.0,154.0,2026.0,2076.0,verb.communication,34,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
30,2,allowed,119,126,2041,2048,18,116.0,118.0,2038.0,2040.0,,,,,verb.communication,37,subject,the wise one,1.0,6.0,7.0,male,1.0,tertiary
30,3,hold,134,138,2056,2060,2,127.0,130.0,2049.0,2052.0,147.0,154.0,2069.0,2076.0,verb.contact,39,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
31,2,made,23,27,2101,2105,18,14.0,17.0,2092.0,2095.0,,,,,verb.creation,38,subject,the wise one,1.0,6.0,7.0,male,1.0,tertiary
32,0,inquired,4,12,2131,2139,2,0.0,3.0,2127.0,2130.0,,,,,verb.communication,41,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
34,3,made,50,54,2248,2252,1,43.0,44.0,2241.0,2242.0,,,,,verb.change,43,subject,Daws,4.0,3.0,7.0,unknown,0.0,tertiary
35,4,prepare,59,66,2329,2336,1,27.0,28.0,2297.0,2298.0,,,,,verb.change,45,subject,Daws,4.0,3.0,7.0,unknown,0.0,tertiary
37,2,act,43,46,2439,2442,2,35.0,36.0,2431.0,2432.0,,,,,verb.body,48,subject,Claribel Sudds,9.0,43.0,52.0,female,1.0,primary
