sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,seen,55,59,55,59,11,36.0,49.0,36.0,49.0,,,,,,,,,,verb.perception,1,True
6,5,caught,62,68,489,495,21,50.0,51.0,477.0,478.0,,,,,,,,,,verb.contact,1,True
7,3,eaten,18,23,515,520,21,0.0,1.0,497.0,498.0,,,,,,,,,,verb.consumption,1,True
8,4,reward,81,87,631,637,,,,,,12,88.0,91.0,638.0,641.0,,,,,verb.social,1,True
9,1,stabbing,42,50,691,699,,,,,,12,51.0,63.0,700.0,712.0,64.0,80.0,,,verb.contact,1,True
10,1,said,15,19,770,774,"12,22",1.0,12.0,756.0,767.0,22,20.0,30.0,775.0,785.0,,,,,verb.communication,1,True
11,5,reward,84,90,871,877,22,77.0,78.0,864.0,865.0,12,91.0,94.0,878.0,881.0,95.0,108.0,882.0,895.0,verb.social,1,True
12,3,reward,41,47,939,945,13,33.0,35.0,931.0,933.0,12,48.0,51.0,946.0,949.0,,,,,verb.social,1,True
14,3,saved,101,106,1100,1105,12,94.0,96.0,1093.0,1095.0,,107.0,117.0,1106.0,1116.0,,,,,verb.social,1,True
15,5,Come,139,143,1257,1261,,,,,,13,156.0,188.0,1274.0,1306.0,,,,,verb.motion,1,True
16,5,followed,102,110,1468,1476,12,85.0,87.0,1451.0,1453.0,13,111.0,117.0,1477.0,1483.0,118.0,133.0,1484.0,1499.0,verb.motion,1,True
18,1,admit,42,47,1637,1642,,,,,,31,48.0,53.0,1643.0,1648.0,,,,,verb.social,1,True
19,4,drawing,62,69,1712,1719,26,40.0,41.0,1690.0,1691.0,12,70.0,73.0,1720.0,1723.0,74.0,82.0,1724.0,1732.0,verb.motion,1,True
20,1,entered,27,34,1762,1769,13,20.0,26.0,1755.0,1761.0,,,,,,,,,,verb.motion,1,True
24,0,turned,12,18,2204,2210,12,0.0,11.0,2192.0,2203.0,,,,,,,,,,verb.motion,1,True
26,0,smiled,8,14,2407,2413,26,0.0,7.0,2399.0,2406.0,,,,,,,,,,verb.body,1,True
27,1,said,15,19,2430,2434,,,,,,26,20.0,22.0,2435.0,2437.0,,,,,verb.communication,1,True
28,0,took,8,12,2560,2564,13,0.0,2.0,2552.0,2554.0,12,13.0,24.0,2565.0,2576.0,,,,,verb.contact,1,True
29,2,bathing,58,65,2677,2684,42,39.0,52.0,2658.0,2671.0,,,,,,,,,,verb.contact,1,True
30,3,know,134,138,2843,2847,12,85.0,120.0,2794.0,2829.0,,139.0,150.0,2848.0,2859.0,,,,,verb.cognition,1,True
31,4,saluted,105,112,2966,2973,45,20.0,75.0,2881.0,2936.0,13,113.0,119.0,2974.0,2980.0,120.0,132.0,2981.0,2993.0,verb.communication,1,True
33,1,waving,13,19,3134,3140,13,5.0,11.0,3126.0,3132.0,13,20.0,28.0,3141.0,3149.0,29.0,47.0,3150.0,3168.0,verb.motion,1,True
34,3,said,59,63,3229,3233,12,56.0,58.0,3226.0,3228.0,,64.0,71.0,3234.0,3241.0,,,,,verb.communication,1,True
36,2,desire,70,76,3345,3351,31,58.0,63.0,3333.0,3338.0,31,77.0,92.0,3352.0,3367.0,,,,,verb.emotion,1,True
38,0,conducted,7,16,3440,3449,13,0.0,6.0,3433.0,3439.0,12,17.0,28.0,3450.0,3461.0,29.0,42.0,3462.0,3475.0,verb.motion,1,True
40,0,had,16,19,3728,3731,12,4.0,15.0,3716.0,3727.0,14,20.0,44.0,3732.0,3756.0,,,,,verb.possession,1,True
41,2,entered,85,92,3843,3850,,55.0,68.0,3813.0,3826.0,14,93.0,95.0,3851.0,3853.0,97.0,128.0,3855.0,3886.0,verb.motion,1,True
42,8,ask,211,214,4099,4102,12,209.0,210.0,4097.0,4098.0,13,215.0,224.0,4103.0,4112.0,235.0,306.0,4123.0,4194.0,verb.communication,1,True
43,0,ask,31,34,4228,4231,14,0.0,28.0,4197.0,4225.0,"13,15",35.0,38.0,4232.0,4235.0,,,,,verb.communication,1,True
46,0,knowing,5,12,4340,4347,,,,,,"12,14",13.0,57.0,4348.0,4392.0,,,,,verb.cognition,1,True
47,3,said,111,115,4540,4544,13,108.0,110.0,4537.0,4539.0,"13,124,12",118.0,197.0,4547.0,4626.0,,,,,verb.communication,1,True
49,0,answered,0,8,4639,4647,,,,,,"15,57",23.0,80.0,4662.0,4719.0,,,,,verb.communication,1,True
50,0,started,9,16,4731,4738,57,0.0,8.0,4722.0,4730.0,,,,,,,,,,verb.change,1,True
51,1,ask,35,38,4775,4778,"126,12",0.0,22.0,4740.0,4762.0,,39.0,47.0,4779.0,4787.0,,,,,verb.communication,1,True
52,3,request,31,38,4829,4836,12,21.0,24.0,4819.0,4822.0,57,39.0,66.0,4837.0,4864.0,,,,,verb.communication,1,True
53,5,know,91,95,4964,4968,57,87.0,90.0,4960.0,4963.0,12,96.0,115.0,4969.0,4988.0,,,,,verb.cognition,1,True
54,5,ask,133,136,5124,5127,57,106.0,108.0,5097.0,5099.0,,,,,,,,,,verb.communication,1,True
55,1,possessed,31,40,5191,5200,13,19.0,22.0,5179.0,5182.0,,,,,,,,,,verb.possession,1,True
56,1,took,48,52,5250,5254,12,30.0,41.0,5232.0,5243.0,"14,12",53.0,82.0,5255.0,5284.0,,,,,verb.motion,1,True
57,5,ask,143,146,5429,5432,12,93.0,124.0,5379.0,5410.0,,,,,,,,,,verb.communication,1,True
58,0,answered,13,21,5448,5456,,4.0,12.0,5439.0,5447.0,57,24.0,184.0,5459.0,5619.0,,,,,verb.communication,1,True
59,2,bestow,89,95,5710,5716,57,81.0,83.0,5702.0,5704.0,,96.0,106.0,5717.0,5727.0,107.0,115.0,5728.0,5736.0,verb.cognition,1,True
61,3,saying,160,166,5943,5949,,120.0,158.0,5903.0,5941.0,"16,15",169.0,231.0,5952.0,6014.0,,,,,verb.communication,1,True
63,1,show,12,16,6061,6065,15,1.0,6.0,6050.0,6055.0,12,17.0,20.0,6066.0,6069.0,,,,,verb.perception,1,True
64,3,said,68,72,6148,6152,12,0.0,11.0,6080.0,6091.0,"15,57",73.0,86.0,6153.0,6166.0,,,,,verb.communication,1,True
65,1,standing,27,35,6251,6259,12,19.0,26.0,6243.0,6250.0,,36.0,56.0,6260.0,6280.0,,,,,verb.contact,1,True
66,2,want,74,78,6355,6359,12,72.0,73.0,6353.0,6354.0,12,79.0,103.0,6360.0,6384.0,,,,,verb.emotion,1,True
68,0,lay,17,20,6416,6419,12,13.0,16.0,6412.0,6415.0,,21.0,29.0,6420.0,6428.0,,,,,verb.contact,1,True
69,6,eaten,104,109,6534,6539,12,92.0,94.0,6522.0,6524.0,,110.0,118.0,6540.0,6548.0,,,,,verb.consumption,1,True
70,5,missed,78,84,6627,6633,12,71.0,73.0,6620.0,6622.0,12,85.0,92.0,6634.0,6641.0,,,,,verb.motion,1,True
71,0,asked,14,19,6725,6730,12,11.0,13.0,6722.0,6724.0,"69,15,14,12",20.0,107.0,6731.0,6818.0,,,,,verb.communication,1,True
72,2,like,41,45,6861,6865,12,33.0,36.0,6853.0,6856.0,"13,134",46.0,78.0,6866.0,6898.0,,,,,verb.emotion,1,True
73,3,want,77,81,6978,6982,12,75.0,76.0,6976.0,6977.0,"13,136",82.0,133.0,6983.0,7034.0,,,,,verb.emotion,1,True
74,0,wish,7,11,7042,7046,12,5.0,6.0,7040.0,7041.0,,12.0,31.0,7047.0,7066.0,,,,,verb.emotion,1,True
76,1,walking,39,46,7285,7292,"75,42",20.0,33.0,7266.0,7279.0,,,,,,,,,,verb.motion,1,True
77,4,fishing,115,122,7473,7480,78,50.0,75.0,7408.0,7433.0,,,,,,,,,,verb.consumption,1,True
78,0,rejoiced,60,68,7542,7550,"79,12",9.0,59.0,7491.0,7541.0,,,,,,,,,,verb.emotion,1,True
79,3,moved,99,104,7683,7688,"12,83",81.0,98.0,7665.0,7682.0,,105.0,194.0,7689.0,7778.0,,,,,verb.motion,1,True
80,1,ask,52,55,7832,7835,"65,12",0.0,8.0,7780.0,7788.0,,56.0,69.0,7836.0,7849.0,,,,,verb.communication,1,True
