sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
2,0,had,verb.possession,1,3
2,2,secure,verb.possession,1,1
2,2,secure,verb.possession,1,5
2,2,secure,verb.possession,1,4
2,2,secure,verb.possession,1,3
3,2,having,verb.possession,1,1
4,2,advised,verb.communication,1,1
4,2,advised,verb.communication,1,11
4,2,advised,verb.communication,1,13
4,13,seize,verb.contact,13,11
6,1,reminded,verb.communication,1,11
6,1,reminded,verb.communication,1,15
7,0,said,verb.communication,1,1
7,0,said,verb.communication,1,115
7,0,said,verb.communication,1,11
7,0,said,verb.communication,113,1
7,0,said,verb.communication,113,115
7,0,said,verb.communication,113,11
7,7,recollect,verb.cognition,11,11
7,7,recollect,verb.cognition,11,115
11,2,suspected,verb.cognition,1,1
11,2,suspected,verb.cognition,1,23
11,2,suspected,verb.cognition,1,22
11,6,carry,verb.contact,1,1
14,0,know,verb.cognition,25,25
15,4,dress,verb.body,25,25
16,1,busied,verb.social,25,25
16,3,combing,verb.body,25,25
18,3,dashing,verb.motion,4,30
18,3,dashing,verb.motion,4,29
18,3,dashing,verb.motion,4,4
18,4,making,verb.social,4,25
18,6,placed,verb.contact,4,4
18,6,placed,verb.contact,4,25
19,2,bore,verb.contact,4,4
19,2,bore,verb.contact,4,25
20,1,secured,verb.possession,13,1
20,1,secured,verb.possession,13,35
20,1,secured,verb.possession,13,36
20,4,make,verb.change,4,37
20,4,make,verb.change,4,4
20,4,make,verb.change,4,25
21,0,labored,verb.social,4,25
21,1,gain,verb.possession,4,25
21,5,take,verb.cognition,25,41
25,0,gave,verb.possession,47,25
26,3,pleasure,verb.emotion,41,25
27,0,treated,verb.body,41,52
27,0,treated,verb.body,41,1
27,0,treated,verb.body,41,41
27,0,treated,verb.body,41,25
27,0,treated,verb.body,41,49
28,3,purified,verb.body,41,41
28,4,cleared,verb.change,41,41
28,6,take,verb.motion,41,41
36,7,awakened,verb.emotion,1,1
39,1,resting,verb.motion,1,1
39,3,vowed,verb.communication,1,1
39,3,vowed,verb.communication,1,65
39,8,found,verb.possession,1,1
39,8,found,verb.possession,1,65
39,9,brought,verb.motion,1,65
41,2,track,verb.perception,1,13
41,3,came,verb.motion,1,1
41,4,saw,verb.cognition,1,1
44,1,saw,verb.perception,1,1
48,0,came,verb.motion,1,41
49,2,saw,verb.perception,1,1
49,2,saw,verb.perception,1,11
50,0,caught,verb.perception,25,1
50,1,knowing,verb.cognition,25,44
50,1,knowing,verb.cognition,25,25
50,7,said,verb.communication,25,41
50,7,said,verb.communication,25,25
53,4,espied,verb.motion,82,1
53,4,espied,verb.motion,82,11
55,0,thought,verb.cognition,82,1
55,1,overtake,verb.competition,82,1
57,4,overtake,verb.competition,13,1
59,3,set,verb.contact,41,41
65,3,driven,verb.motion,23,23
65,5,brandished,verb.contact,23,23
65,9,frighten,verb.emotion,23,97
66,2,called,verb.communication,41,41
68,0,married,verb.social,1,111
68,0,married,verb.social,1,112
68,0,married,verb.social,1,110
68,0,married,verb.social,109,111
68,0,married,verb.social,109,112
68,0,married,verb.social,109,110
68,3,thrown,verb.contact,110,110
69,0,hopped,verb.motion,1,1
