coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
2,the bird,the bird,1,7,15,0
2,the bird,the bird,12,110,118,0
2,the bird,the bird,14,34,42,0
2,the bird,him,15,86,89,0
2,the bird,the bird,15,95,103,0
2,the bird,he,15,135,137,0
2,the bird,him,15,160,163,0
2,the bird,he,16,12,14,0
2,the bird,him,16,100,103,0
2,the bird,he,23,155,157,0
2,the bird,him,16,127,130,0
2,the bird,he,17,184,186,0
2,the bird,his,17,204,207,0
2,the bird,himself,18,62,69,0
2,the bird,he,18,100,102,0
2,the bird,she,20,162,165,0
2,the bird,he,22,5,7,0
2,the bird,he,23,90,92,0
2,the bird,himself,23,130,137,0
2,the bird,he,17,130,132,0
2,the bird,his,11,261,264,0
2,the bird,he,23,183,185,0
2,the bird,the bird,5,8,16,0
2,the bird,he,11,80,82,0
2,the bird,he,11,72,74,0
2,the bird,the bird,11,4,12,0
2,the bird,his,9,45,48,0
2,the bird,the bird,9,5,13,0
2,the bird,himself,8,178,185,0
2,the bird,he,8,114,116,0
2,the bird,him,5,55,58,0
2,the bird,his,5,62,65,0
2,the bird,him,6,26,29,0
2,the bird,the bird,11,229,237,0
4,the mouse,the mouse,12,83,92,0
4,the mouse,her,7,27,30,0
4,the mouse,her,7,73,76,0
4,the mouse,The mouse,2,0,9,0
4,the mouse,she,7,53,56,0
5,Nobody,Nobody,4,0,6,0
8,the other bird,the other bird,6,4,18,0
9,a poor simpleton,a poor simpleton,6,30,46,0
10,the two others,the two others,6,73,87,0
17,their slave,their slave,11,94,105,0
26,an open and flagrant robber,an open and flagrant robber,17,52,79,0
28,no cook to be seen,no cook to be seen,21,56,74,0
29,the cook,the cook,22,65,73,0
