sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,had,72,75,72,75,0,67.0,71.0,67.0,71.0,"4,3",76.0,100.0,76.0,100.0,,,,,verb.possession,1,True
1,2,felt,91,95,193,197,5,59.0,69.0,161.0,171.0,5,96.0,115.0,198.0,217.0,,,,,verb.cognition,1,True
2,8,know,238,242,457,461,9,234.0,237.0,453.0,456.0,,,,,,,,,,verb.cognition,1,True
3,2,have,21,25,484,488,9,17.0,20.0,480.0,483.0,5,26.0,52.0,489.0,515.0,,,,,verb.possession,1,True
4,0,answered,28,36,546,554,9,0.0,25.0,518.0,543.0,10,37.0,44.0,555.0,562.0,,,,,verb.communication,1,True
6,0,asked,0,5,598,603,,,,,,"13,14,12",6.0,55.0,604.0,653.0,,,,,verb.communication,1,True
7,2,answered,28,36,683,691,13,24.0,27.0,679.0,682.0,,,,,,,,,,verb.communication,1,True
8,1,mourned,54,61,786,793,"16,15,18,17",24.0,53.0,756.0,785.0,15,62.0,69.0,794.0,801.0,70.0,80.0,802.0,812.0,verb.emotion,1,True
9,3,attacked,62,70,937,945,20,47.0,57.0,922.0,932.0,,71.0,116.0,946.0,991.0,,,,,verb.competition,1,True
10,2,said,32,36,1025,1029,20,28.0,31.0,1021.0,1024.0,"22,20",37.0,52.0,1030.0,1045.0,54.0,70.0,1047.0,1063.0,verb.communication,1,True
11,0,choose,21,27,1085,1091,"333,20",13.0,19.0,1077.0,1083.0,10,28.0,69.0,1092.0,1133.0,,,,,verb.cognition,1,True
12,0,answered,23,31,1159,1167,,0.0,20.0,1136.0,1156.0,10,32.0,39.0,1168.0,1175.0,,,,,verb.communication,1,True
14,2,said,24,28,1225,1229,13,1.0,21.0,1202.0,1222.0,13,29.0,37.0,1230.0,1238.0,,,,,verb.communication,1,True
15,0,gave,16,20,1255,1259,"13,25",5.0,15.0,1244.0,1254.0,25,21.0,24.0,1260.0,1263.0,,,,,verb.possession,1,True
16,2,bade,50,54,1354,1358,26,38.0,49.0,1342.0,1353.0,"26,30,11,27",55.0,65.0,1359.0,1369.0,,,,,verb.communication,1,True
17,4,clean,103,108,1541,1546,13,93.0,96.0,1531.0,1534.0,13,109.0,117.0,1547.0,1555.0,,,,,verb.change,1,True
18,0,had,8,11,1565,1568,13,4.0,7.0,1561.0,1564.0,,12.0,28.0,1569.0,1585.0,,,,,verb.possession,1,True
19,0,sat,4,7,1591,1594,13,0.0,3.0,1587.0,1590.0,,8.0,31.0,1595.0,1618.0,33.0,69.0,1620.0,1656.0,verb.contact,1,True
20,3,cook,50,54,1708,1712,,,,,,34,55.0,64.0,1713.0,1722.0,,,,,verb.creation,1,True
21,3,borrowed,102,110,1879,1887,36,88.0,101.0,1865.0,1878.0,13,111.0,118.0,1888.0,1895.0,,,,,verb.possession,1,True
22,5,gave,194,198,2201,2205,,176.0,178.0,2183.0,2185.0,13,199.0,202.0,2206.0,2209.0,,,,,verb.possession,1,True
23,0,happened,11,19,2236,2244,,,,,,"13,42,37,41",20.0,131.0,2245.0,2356.0,,,,,verb.change,1,True
25,0,asked,0,5,2393,2398,,,,,,43,6.0,52.0,2399.0,2445.0,,,,,verb.communication,1,True
26,4,clean,85,90,2549,2554,337,54.0,63.0,2518.0,2527.0,337,91.0,101.0,2555.0,2565.0,,,,,verb.change,1,True
27,0,went,7,11,2667,2671,43,4.0,6.0,2664.0,2666.0,,,,,,,,,,verb.motion,1,True
28,5,saw,130,133,2811,2814,26,102.0,104.0,2783.0,2785.0,,134.0,178.0,2815.0,2859.0,,,,,verb.perception,1,True
29,0,slung,3,8,2864,2869,26,0.0,2.0,2861.0,2863.0,,9.0,13.0,2870.0,2874.0,14.0,78.0,2875.0,2939.0,verb.contact,1,True
30,2,cook,53,57,2993,2997,"26,27",10.0,20.0,2950.0,2960.0,27,58.0,80.0,2998.0,3020.0,,,,,verb.consumption,1,True
31,4,slept,79,84,3128,3133,27,77.0,78.0,3126.0,3127.0,,,,,,,,,,verb.body,1,True
32,1,go,7,9,3142,3144,27,0.0,1.0,3135.0,3136.0,,,,,,,,,,verb.motion,1,True
34,7,bring,179,184,3454,3459,27,168.0,171.0,3443.0,3446.0,27,195.0,211.0,3470.0,3486.0,,,,,verb.motion,1,True
35,0,earned,16,22,3504,3510,27,12.0,15.0,3500.0,3503.0,27,23.0,55.0,3511.0,3543.0,,,,,verb.possession,1,True
36,0,thought,9,16,3636,3643,27,5.0,8.0,3632.0,3635.0,27,17.0,35.0,3644.0,3662.0,,,,,verb.cognition,1,True
37,0,thought,23,30,3687,3694,52,0.0,22.0,3664.0,3686.0,,31.0,37.0,3695.0,3701.0,,,,,verb.cognition,1,True
38,0,told,18,22,3861,3865,13,9.0,17.0,3852.0,3860.0,"13,14",23.0,26.0,3866.0,3869.0,,,,,verb.communication,1,True
39,4,gathered,104,112,4025,4033,13,53.0,56.0,3974.0,3977.0,,113.0,154.0,4034.0,4075.0,,,,,verb.contact,1,True
40,3,tell,81,85,4158,4162,,,,,,339,86.0,89.0,4163.0,4166.0,108.0,132.0,,,verb.communication,1,True
41,3,declared,88,96,4300,4308,60,84.0,87.0,4296.0,4299.0,60,97.0,133.0,4309.0,4345.0,,,,,verb.communication,1,True
42,3,bade,128,132,4475,4479,,,,,,61,133.0,136.0,4480.0,4483.0,,,,,verb.communication,1,True
43,3,told,57,61,4573,4577,13,4.0,55.0,4520.0,4571.0,61,62.0,65.0,4578.0,4581.0,,,,,verb.communication,1,True
44,0,returned,27,35,4681,4689,"13,65",15.0,26.0,4669.0,4680.0,,36.0,63.0,4690.0,4717.0,,,,,verb.motion,1,True
46,0,asked,0,5,4770,4775,,,,,,61,6.0,8.0,4776.0,4778.0,,,,,verb.communication,1,True
47,4,told,104,108,4884,4888,341,73.0,76.0,4853.0,4856.0,"342,61,341",109.0,111.0,4889.0,4891.0,,,,,verb.communication,1,True
48,7,punish,115,121,5071,5077,,105.0,109.0,5061.0,5065.0,"13,341",122.0,125.0,5078.0,5081.0,,,,,verb.social,1,True
49,3,cleaning,78,86,5188,5196,16,74.0,77.0,5184.0,5187.0,,87.0,96.0,5197.0,5206.0,,,,,verb.contact,1,True
50,3,wanted,65,71,5273,5279,343,61.0,64.0,5269.0,5272.0,,72.0,75.0,5280.0,5283.0,,,,,verb.consumption,1,True
51,0,asked,3,8,5289,5294,61,0.0,2.0,5286.0,5288.0,,,,,,,,,,verb.communication,1,True
52,4,answered,64,72,5360,5368,,1.0,13.0,5297.0,5309.0,13,73.0,81.0,5369.0,5377.0,,,,,verb.communication,1,True
53,0,arrived,16,23,5395,5402,"16,55",6.0,15.0,5385.0,5394.0,,,,,,,,,,verb.motion,1,True
54,0,gave,7,11,5450,5454,13,5.0,6.0,5448.0,5449.0,55,12.0,15.0,5455.0,5458.0,,,,,verb.possession,1,True
55,1,believe,10,17,5506,5513,14,1.0,2.0,5497.0,5498.0,14,18.0,21.0,5514.0,5517.0,,,,,verb.cognition,1,True
56,1,sold,10,14,5528,5532,14,1.0,4.0,5519.0,5522.0,342,15.0,23.0,5533.0,5541.0,,,,,verb.possession,1,True
57,3,cried,38,43,5597,5602,14,0.0,27.0,5559.0,5586.0,"13,14",44.0,55.0,5603.0,5614.0,56.0,65.0,5615.0,5624.0,verb.communication,1,True
58,4,running,85,92,5711,5718,13,75.0,83.0,5701.0,5709.0,13,93.0,107.0,5719.0,5733.0,,,,,verb.motion,1,True
59,0,followed,16,24,5775,5783,"13,14",4.0,15.0,5763.0,5774.0,,,,,,,,,,verb.motion,1,True
60,4,sold,72,76,5913,5917,14,5.0,7.0,5846.0,5848.0,14,77.0,86.0,5918.0,5927.0,,,,,verb.possession,1,True
61,2,bound,48,53,6064,6069,13,10.0,13.0,6026.0,6029.0,,54.0,59.0,6070.0,6075.0,,,,,verb.contact,1,True
62,3,climbed,113,120,6341,6348,13,109.0,112.0,6337.0,6340.0,,,,,,,,,,verb.motion,1,True
63,2,coming,69,75,6569,6575,13,40.0,43.0,6540.0,6543.0,,79.0,123.0,6579.0,6623.0,,,,,verb.motion,1,True
64,1,feel,31,35,6656,6660,13,27.0,30.0,6652.0,6655.0,,36.0,72.0,6661.0,6697.0,,,,,verb.cognition,1,True
65,4,earn,144,148,6843,6847,13,137.0,140.0,6836.0,6839.0,,149.0,157.0,6848.0,6856.0,158.0,176.0,6857.0,6875.0,verb.possession,1,True
66,2,cry,57,60,6934,6937,13,44.0,47.0,6921.0,6924.0,,,,,,,,,,verb.body,1,True
67,3,shoot,73,78,7021,7026,"82,83",17.0,31.0,6965.0,6979.0,,79.0,84.0,7027.0,7032.0,,,,,verb.competition,1,True
68,3,said,47,51,7122,7126,83,1.0,41.0,7076.0,7116.0,"85,83",52.0,69.0,7127.0,7144.0,,,,,verb.communication,1,True
70,2,slept,51,56,7278,7283,87,20.0,33.0,7247.0,7260.0,,,,,,,,,,verb.body,1,True
71,1,awakened,16,24,7306,7314,87,9.0,11.0,7299.0,7301.0,87,25.0,70.0,7315.0,7360.0,,,,,verb.perception,1,True
74,0,said,3,7,7396,7400,87,0.0,2.0,7393.0,7395.0,"88,87",8.0,20.0,7401.0,7413.0,,,,,verb.communication,1,True
76,2,answered,33,41,7463,7471,347,1.0,30.0,7431.0,7460.0,58,42.0,51.0,7472.0,7481.0,,,,,verb.communication,1,True
77,5,told,89,93,7572,7576,58,49.0,58.0,7532.0,7541.0,"91,83,82,58,92",94.0,104.0,7577.0,7587.0,,,,,verb.communication,1,True
78,1,crying,13,19,7730,7736,92,9.0,12.0,7726.0,7729.0,,,,,,,,,,verb.body,1,True
79,0,inquired,0,8,7739,7747,,,,,,95,9.0,19.0,7748.0,7758.0,,,,,verb.communication,1,True
80,4,ask,34,37,7794,7797,95,16.0,17.0,7776.0,7777.0,92,38.0,41.0,7798.0,7801.0,,,,,verb.communication,1,True
