sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,0,had,11,14,11,14,1,0.0,10.0,0.0,10.0,,,,,verb.possession,0,subject,An old man,1,0,1,male,1.0,tertiary
0,1,named,28,33,28,33,2,15.0,26.0,15.0,26.0,,,,,verb.communication,2,subject,an only son,1,0,1,unknown,0.0,tertiary
0,3,come,51,55,51,55,2,15.0,41.0,15.0,41.0,,,,,verb.motion,1,subject,an only son,1,0,1,unknown,0.0,tertiary
0,3,come,51,55,51,55,0,15.0,41.0,15.0,41.0,,,,,verb.motion,1,subject,Iadilla,4,6,10,male,1.0,tertiary
2,1,thought,27,34,348,355,4,24.0,26.0,345.0,347.0,,,,,verb.cognition,4,subject,the father,5,59,64,male,1.0,primary
2,3,fast,78,82,399,403,7,53.0,70.0,374.0,391.0,,,,,verb.consumption,6,subject,the young Iadilla,1,0,1,unknown,0.0,tertiary
2,4,coveted,170,177,491,498,4,114.0,154.0,435.0,475.0,,,,,verb.emotion,5,subject,the father,5,59,64,male,1.0,primary
3,0,directed,13,21,513,521,4,0.0,2.0,500.0,502.0,,,,,verb.communication,7,subject,the father,5,59,64,male,1.0,primary
3,1,prepare,33,40,533,540,5,22.0,29.0,522.0,529.0,,,,,verb.change,9,subject,the father's son,5,2,7,male,1.0,tertiary
3,1,prepare,33,40,533,540,4,22.0,29.0,522.0,529.0,,,,,verb.change,9,subject,the father,5,59,64,male,1.0,primary
4,5,ordered,140,147,726,733,4,137.0,139.0,723.0,725.0,,,,,verb.communication,12,subject,the father,5,59,64,male,1.0,primary
5,0,enjoined,3,11,816,824,4,0.0,2.0,813.0,815.0,21.0,67.0,834.0,880.0,verb.emotion,13,subject,the father,5,59,64,male,1.0,primary
5,2,promised,73,81,886,894,4,0.0,2.0,813.0,815.0,,,,,verb.communication,14,subject,the father,5,59,64,male,1.0,primary
5,4,receive,130,137,943,950,4,120.0,122.0,933.0,935.0,,,,,verb.possession,16,subject,the father,5,59,64,male,1.0,primary
6,0,observed,18,26,1006,1014,14,0.0,7.0,988.0,995.0,,,,,verb.perception,15,subject,The lad,1,5,6,male,1.0,tertiary
6,1,lay,44,47,1032,1035,14,0.0,7.0,988.0,995.0,,,,,verb.contact,17,subject,The lad,1,5,6,male,1.0,tertiary
6,2,covered,62,69,1050,1057,14,53.0,61.0,1041.0,1049.0,,,,,verb.contact,18,subject,The lad,1,5,6,male,1.0,tertiary
6,3,awaiting,78,86,1066,1074,14,0.0,7.0,988.0,995.0,,,,,verb.cognition,19,subject,The lad,1,5,6,male,1.0,tertiary
7,0,came,25,29,1202,1206,13,14.0,24.0,1191.0,1201.0,,,,,verb.motion,21,subject,the father's father,4,7,11,male,1.0,tertiary
7,0,came,25,29,1202,1206,4,14.0,24.0,1191.0,1201.0,,,,,verb.motion,21,subject,the father,5,59,64,male,1.0,primary
7,1,encouraged,66,76,1243,1253,13,14.0,24.0,1191.0,1201.0,,,,,verb.communication,22,subject,the father's father,4,7,11,male,1.0,tertiary
7,1,encouraged,66,76,1243,1253,4,14.0,24.0,1191.0,1201.0,,,,,verb.communication,22,subject,the father,5,59,64,male,1.0,primary
7,6,accomplish,180,190,1357,1367,14,177.0,179.0,1354.0,1356.0,,,,,verb.creation,25,subject,The lad,1,5,6,male,1.0,tertiary
8,0,replied,58,65,1466,1473,17,44.0,51.0,1452.0,1459.0,,,,,verb.communication,26,subject,the boy,1,6,7,male,1.0,tertiary
8,3,addressed,157,166,1565,1574,17,154.0,156.0,1562.0,1564.0,178.0,188.0,1586.0,1596.0,verb.communication,27,subject,the boy,1,6,7,male,1.0,tertiary
8,5,forbode,212,219,1620,1627,17,202.0,211.0,1610.0,1619.0,,,,,verb.social,28,subject,the boy,1,6,7,male,1.0,tertiary
9,1,break,6,11,1640,1645,17,4.0,5.0,1638.0,1639.0,20.0,23.0,1654.0,1657.0,verb.change,29,subject,the boy,1,6,7,male,1.0,tertiary
10,0,answered,11,19,1717,1725,4,0.0,10.0,1706.0,1716.0,,,,,verb.communication,31,subject,the father,5,59,64,male,1.0,primary
10,1,know,34,38,1740,1744,37,30.0,33.0,1736.0,1739.0,,,,,verb.cognition,30,subject,the father's son,3,12,15,unknown,0.0,tertiary
10,2,ask,52,55,1758,1761,37,43.0,47.0,1749.0,1753.0,,,,,verb.communication,32,subject,the father's son,3,12,15,unknown,0.0,tertiary
11,2,depart,39,45,1802,1808,37,19.0,33.0,1782.0,1796.0,,,,,verb.motion,33,subject,the father's son,3,12,15,unknown,0.0,tertiary
13,3,completed,52,61,1894,1903,37,34.0,43.0,1876.0,1885.0,,,,,verb.change,35,subject,the father's son,3,12,15,unknown,0.0,tertiary
14,0,know,4,8,1909,1913,37,0.0,3.0,1905.0,1908.0,,,,,verb.cognition,34,subject,the father's son,3,12,15,unknown,0.0,tertiary
14,2,encourage,40,49,1945,1954,4,38.0,39.0,1943.0,1944.0,,,,,verb.communication,36,subject,the father,5,59,64,male,1.0,primary
14,3,persevere,57,66,1962,1971,37,50.0,53.0,1955.0,1958.0,,,,,verb.social,37,subject,the father's son,3,12,15,unknown,0.0,tertiary
15,2,see,35,38,2008,2011,37,10.0,26.0,1983.0,1999.0,,,,,verb.perception,39,subject,the father's son,3,12,15,unknown,0.0,tertiary
15,2,see,35,38,2008,2011,38,10.0,26.0,1983.0,1999.0,,,,,verb.perception,39,subject,the father's son's aged father,1,0,1,male,1.0,tertiary
16,0,assented,8,16,2080,2088,20,0.0,7.0,2072.0,2079.0,,,,,verb.communication,38,subject,The son,2,8,10,male,1.0,tertiary
17,4,complain,91,99,2180,2188,20,84.0,87.0,2173.0,2176.0,,,,,verb.communication,42,subject,The son,2,8,10,male,1.0,tertiary
17,6,repeated,139,147,2228,2236,20,136.0,138.0,2225.0,2227.0,,,,,verb.communication,43,subject,The son,2,8,10,male,1.0,tertiary
18,0,addressed,11,20,2261,2270,4,0.0,10.0,2250.0,2260.0,29.0,53.0,2279.0,2303.0,verb.communication,44,subject,the father,5,59,64,male,1.0,primary
18,2,promised,59,67,2309,2317,4,0.0,10.0,2250.0,2260.0,,,,,verb.communication,45,subject,the father,5,59,64,male,1.0,primary
18,4,prepare,90,97,2340,2347,4,73.0,75.0,2323.0,2325.0,,,,,verb.change,46,subject,the father,5,59,64,male,1.0,primary
18,5,bring,118,123,2368,2373,4,73.0,75.0,2323.0,2325.0,134.0,160.0,2384.0,2410.0,verb.contact,48,subject,the father,5,59,64,male,1.0,primary
19,0,moaned,8,14,2420,2426,20,0.0,7.0,2412.0,2419.0,,,,,verb.communication,47,subject,The son,2,8,10,male,1.0,tertiary
19,1,added,31,36,2443,2448,4,0.0,30.0,2412.0,2442.0,,,,,verb.communication,49,subject,the father,5,59,64,male,1.0,primary
19,1,added,31,36,2443,2448,20,0.0,30.0,2412.0,2442.0,,,,,verb.communication,49,subject,The son,2,8,10,male,1.0,tertiary
19,3,bring,48,53,2460,2465,20,44.0,47.0,2456.0,2459.0,77.0,112.0,2489.0,2524.0,verb.contact,51,subject,The son,2,8,10,male,1.0,tertiary
