clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The Queen of Heaven/the Queen of Heaven,10,7,20,27,The Queen of Heaven,female,1.0,primary
the seamen,14,2,6,8,the seamen,group/nonbinary,1.0,secondary
seamen,29,1,4,5,seamen,group/nonbinary,1.0,tertiary
Dschou Ling,9,1,2,3,Dschou Ling,male,1.0,tertiary
a beautiful maiden with golden earrings,64,1,2,3,a beautiful maiden with golden earrings,female,1.0,tertiary
the Master of the Wand,42,1,2,3,the Master of the Wand,male,1.0,tertiary
the minister Dschou Ling,49,1,1,2,the minister Dschou Ling,male,1.0,tertiary
the Holy Mother,11,2,0,2,the Holy Mother,female,1.0,tertiary
The Queen of Heaven/the Queen of Heaven--her people,19,1,1,2,The Queen of Heaven's people,female,1.0,tertiary
people,16,1,0,1,people,unknown,0.0,tertiary
the gods,68,1,0,1,the gods,unknown,0.0,tertiary
a maiden of Fukien,12,1,0,1,a maiden of Fukien,female,1.0,tertiary
Lin,6,1,0,1,Lin,unknown,0.0,tertiary
travelers,59,1,0,1,travelers,unknown,0.0,tertiary
The seaman,58,1,0,1,The seaman,unknown,0.0,tertiary
no living man,57,1,0,1,no living man,male,1.0,tertiary
a new king in the Liu - Kiu Islands,50,1,0,1,a new king in the Liu - Kiu Islands,male,1.0,tertiary
Kien Lung,8,1,0,1,Kien Lung,unknown,0.0,tertiary
The captain,47,1,0,1,The captain,unknown,0.0,tertiary
an army,45,1,0,1,an army,unknown,0.0,tertiary
one another,36,1,0,1,one another,unknown,0.0,tertiary
the Queen of Heaven,7,1,0,1,the Queen of Heaven,female,1.0,tertiary
many seamen in Fukien,15,1,0,1,many seamen in Fukien,unknown,0.0,tertiary
a maiden in ordinary dress,27,1,0,1,a maiden in ordinary dress,female,1.0,tertiary
the drowning,21,1,0,1,the drowning,unknown,0.0,tertiary
the emperor,69,1,0,1,the emperor,male,1.0,tertiary
