sentence_id,event_id,temporal_rank
5,0,0
11,0,1
13,0,2
16,2,3
14,2,4
17,2,5
16,3,6
17,3,7
22,0,8
19,0,9
23,0,10
25,1,11
25,0,12
26,2,13
30,0,14
28,0,15
31,0,16
31,1,17
31,2,18
32,0,19
32,3,20
32,5,21
32,6,22
38,1,23
40,0,24
42,3,25
43,1,26
44,0,27
44,2,28
45,4,29
46,0,30
47,0,31
52,0,32
47,2,33
54,0,34
54,1,35
57,3,36
55,0,37
58,1,38
59,0,39
59,1,40
60,2,41
61,0,42
61,1,43
61,2,44
62,0,45
62,1,46
62,2,47
63,2,48
65,0,49
64,2,50
65,2,51
67,3,52
67,6,53
67,4,54
70,0,55
70,1,56
70,2,57
71,1,58
70,6,59
72,0,60
72,1,61
72,6,62
72,2,63
73,3,64
75,1,65
74,1,66
76,1,67
76,0,68
76,2,69
76,3,70
77,0,71
76,4,72
78,0,73
79,1,74
79,2,75
81,0,76
80,1,77
82,1,78
82,0,79
84,0,80
86,1,81
86,2,82
87,1,83
87,2,84
87,3,85
88,1,86
87,4,87
88,2,88
89,2,89
89,3,90
89,4,91
90,0,92
91,1,93
91,4,94
91,2,95
92,0,96
92,1,97
93,0,98
95,1,99
94,0,100
98,2,101
98,1,102
97,0,103
95,2,104
98,3,105
100,1,106
99,2,107
101,1,108
101,4,109
101,2,110
102,0,111
101,5,112
102,1,113
103,0,114
103,3,115
103,1,116
104,1,117
105,3,118
105,2,119
108,1,120
106,1,121
108,2,122
109,0,123
110,1,124
110,2,125
110,4,126
111,3,127
111,1,128
113,2,129
113,3,130
114,0,131
114,2,132
115,2,133
115,4,134
116,2,135
116,8,136
116,6,137
117,3,138
117,4,139
118,2,140
119,0,141
119,1,142
119,2,143
120,1,144
120,2,145
122,1,146
123,1,147
123,4,148
123,2,149
124,1,150
124,2,151
124,3,152
124,4,153
124,5,154
124,6,155
124,8,156
124,9,157
125,2,158
126,1,159
126,2,160
127,0,161
129,0,162
127,2,163
130,5,164
130,2,165
132,8,166
131,1,167
132,6,168
132,5,169
133,0,170
134,0,171
134,5,172
134,1,173
135,0,174
135,2,175
135,1,176
137,1,177
137,0,178
137,3,179
138,1,180
138,3,181
138,4,182
