clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Maidwa,3,98,383,481,Maidwa,male,1.0,primary
The old man/the old man,96,18,41,59,The old man,male,1.0,tertiary
The magician/the magician,135,18,40,58,The magician,male,1.0,tertiary
the chief/The chief,68,26,29,55,the chief,male,1.0,tertiary
Jeekewis,2,7,26,33,Jeekewis,male,1.0,tertiary
the chief 's daughter/The chief 's daughter,76,5,15,20,the chief 's daughter,female,1.0,tertiary
the young man/The young man,82,2,16,18,the young man,male,1.0,tertiary
the Red Swan/The Red Swan,4,12,5,17,the Red Swan,female,1.0,tertiary
the kettle,159,7,9,16,the kettle,unknown,0.0,tertiary
The old man/the old man--my grandchild/My grandchild,380,3,12,15,The old man's grandchild,unknown,0.0,tertiary
the eldest/The eldest--his brothers,21,9,6,15,the eldest's brothers,male,1.0,tertiary
Three brothers,8,1,13,14,Three brothers,male,1.0,tertiary
the eldest/The eldest,10,4,9,13,the eldest,male,1.0,tertiary
some of those who were standing by,188,1,10,11,some of those who were standing by,group/nonbinary,1.0,tertiary
the three brothers,27,1,10,11,the three brothers,male,1.0,tertiary
the young magician/The young magician,205,6,5,11,the young magician,male,1.0,tertiary
the two brothers,343,1,10,11,the two brothers,male,1.0,tertiary
the chief/The chief--his daughter,71,5,3,8,the chief's daughter,unknown,0.0,tertiary
this magician,148,1,7,8,this magician,male,1.0,tertiary
a beautiful female,216,1,6,7,a beautiful female,female,1.0,tertiary
the three cooks,338,1,6,7,the three cooks,group/nonbinary,1.0,tertiary
the chief/The chief--my daughter,411,1,5,6,the chief's daughter,female,1.0,tertiary
Young man,125,1,5,6,Young man,male,1.0,tertiary
Indians--their chief 's daughter,133,1,5,6,Indians's chief 's daughter,female,1.0,tertiary
the young woman,90,2,3,5,the young woman,female,1.0,tertiary
The watchman/the watchman,66,4,1,5,The watchman,male,1.0,tertiary
the elder,23,1,4,5,the elder,male,1.0,tertiary
a large company,299,1,4,5,a large company,group/nonbinary,1.0,tertiary
a number of the families of the chief,296,1,4,5,a number of the families of the chief,group/nonbinary,1.0,tertiary
a few men,185,1,4,5,a few men,male,1.0,tertiary
an old man,95,1,3,4,an old man,male,1.0,tertiary
a wife,258,3,1,4,a wife,female,1.0,tertiary
The lads,15,1,3,4,The lads,group/nonbinary,1.0,tertiary
the Red Swan/The Red Swan,92,3,1,4,the Red Swan,female,1.0,tertiary
their father,43,1,3,4,their father,male,1.0,tertiary
the old magician,172,2,2,4,the old magician,male,1.0,tertiary
the old chief,288,2,1,3,the old chief,male,1.0,tertiary
the third old man,119,2,1,3,the third old man,male,1.0,tertiary
each other,190,3,0,3,each other,unknown,0.0,tertiary
