sentence_id,event_id,temporal_rank
0,1,0
1,1,1
1,2,2
2,1,3
3,0,4
3,4,5
3,1,6
5,1,7
4,0,8
6,1,9
7,2,10
7,3,11
8,0,12
9,2,13
10,4,14
10,0,15
11,2,16
11,1,17
11,4,18
11,5,19
11,6,20
11,7,21
11,10,22
12,4,23
12,2,24
16,0,25
13,1,26
16,1,27
18,0,28
16,3,29
19,0,30
19,1,31
19,4,32
22,4,33
22,2,34
23,0,35
23,1,36
24,0,37
23,2,38
24,1,39
25,0,40
25,3,41
25,1,42
26,4,43
26,3,44
27,0,45
27,1,46
27,2,47
29,1,48
30,6,49
30,4,50
31,1,51
31,2,52
31,3,53
34,3,54
34,2,55
34,0,56
36,1,57
36,2,58
37,1,59
37,0,60
37,3,61
39,5,62
39,1,63
38,2,64
40,0,65
40,1,66
41,2,67
40,2,68
41,3,69
41,4,70
41,5,71
42,2,72
43,0,73
43,1,74
44,0,75
45,1,76
47,0,77
47,2,78
47,3,79
49,2,80
49,0,81
49,3,82
50,2,83
50,1,84
53,1,85
51,2,86
53,2,87
53,3,88
55,1,89
55,2,90
56,6,91
56,4,92
57,1,93
57,4,94
57,2,95
59,1,96
58,1,97
60,1,98
60,5,99
60,2,100
60,7,101
61,2,102
62,0,103
62,1,104
62,5,105
64,0,106
64,1,107
65,3,108
65,4,109
68,0,110
66,2,111
70,0,112
69,2,113
70,4,114
71,1,115
71,2,116
72,0,117
72,3,118
74,3,119
74,0,120
72,4,121
74,4,122
74,6,123
74,7,124
76,0,125
75,2,126
76,1,127
77,1,128
77,2,129
79,0,130
77,3,131
79,2,132
79,1,133
79,3,134
79,4,135
80,0,136
82,0,137
82,1,138
84,1,139
83,0,140
86,1,141
86,3,142
87,0,143
88,0,144
90,0,145
91,1,146
92,0,147
91,3,148
93,0,149
92,3,150
92,2,151
93,2,152
93,4,153
93,3,154
94,2,155
95,3,156
95,0,157
96,1,158
97,1,159
97,2,160
98,1,161
99,3,162
99,0,163
100,1,164
100,0,165
101,0,166
101,3,167
102,3,168
102,5,169
103,0,170
103,3,171
103,1,172
105,1,173
105,2,174
106,1,175
106,3,176
106,2,177
107,4,178
107,2,179
107,0,180
109,0,181
109,1,182
109,2,183
110,5,184
110,0,185
111,1,186
112,0,187
111,4,188
112,1,189
113,1,190
113,0,191
115,0,192
115,1,193
116,1,194
117,1,195
116,2,196
117,2,197
118,0,198
118,2,199
119,1,200
120,1,201
120,2,202
121,0,203
122,1,204
123,0,205
123,1,206
123,5,207
123,6,208
126,1,209
125,0,210
126,2,211
127,0,212
128,0,213
128,1,214
130,0,215
130,2,216
130,3,217
130,4,218
130,6,219
131,0,220
131,1,221
132,2,222
132,1,223
133,5,224
133,2,225
133,0,226
134,1,227
134,3,228
134,5,229
134,7,230
135,5,231
134,8,232
139,0,233
137,2,234
139,1,235
139,3,236
141,2,237
140,1,238
142,1,239
142,0,240
142,6,241
143,0,242
144,0,243
144,1,244
144,2,245
145,0,246
144,4,247
146,2,248
146,1,249
146,0,250
148,9,251
148,0,252
147,1,253
148,2,254
148,6,255
150,2,256
150,5,257
150,3,258
151,2,259
154,0,260
153,4,261
153,1,262
152,3,263
155,0,264
155,3,265
155,1,266
155,6,267
156,2,268
157,9,269
157,3,270
157,10,271
159,3,272
157,6,273
159,5,274
160,3,275
160,4,276
161,1,277
161,2,278
161,3,279
161,4,280
161,10,281
162,3,282
164,1,283
165,1,284
166,1,285
167,2,286
167,3,287
168,1,288
170,0,289
171,1,290
170,2,291
172,0,292
172,1,293
172,6,294
172,8,295
172,9,296
174,0,297
174,1,298
174,2,299
175,3,300
175,2,301
177,1,302
176,0,303
178,3,304
180,2,305
180,1,306
180,5,307
180,4,308
181,1,309
182,6,310
182,7,311
183,0,312
183,1,313
184,2,314
187,0,315
186,0,316
187,2,317
187,3,318
188,3,319
188,1,320
189,0,321
190,0,322
190,1,323
192,0,324
193,0,325
193,3,326
193,5,327
195,0,328
194,0,329
195,1,330
196,4,331
197,2,332
197,3,333
198,9,334
197,4,335
198,3,336
198,6,337
198,4,338
199,1,339
199,4,340
199,2,341
200,0,342
200,2,343
201,0,344
201,4,345
201,2,346
201,1,347
201,5,348
201,6,349
202,0,350
203,0,351
205,0,352
204,1,353
206,0,354
206,1,355
207,9,356
207,8,357
208,0,358
209,0,359
210,2,360
213,0,361
215,2,362
214,1,363
215,3,364
216,1,365
216,4,366
216,2,367
217,2,368
218,1,369
219,1,370
218,3,371
219,2,372
219,3,373
219,5,374
220,0,375
221,0,376
222,1,377
223,1,378
224,2,379
224,1,380
224,4,381
225,0,382
225,1,383
226,0,384
228,2,385
229,3,386
229,2,387
229,4,388
230,0,389
230,3,390
230,4,391
230,7,392
231,1,393
230,8,394
231,5,395
231,2,396
231,7,397
231,9,398
232,0,399
233,4,400
234,0,401
234,5,402
236,1,403
235,1,404
237,0,405
238,1,406
239,0,407
239,1,408
242,1,409
239,2,410
242,2,411
242,3,412
243,3,413
243,4,414
243,5,415
244,4,416
244,1,417
243,7,418
244,8,419
244,6,420
244,5,421
245,2,422
245,1,423
245,4,424
246,0,425
246,1,426
247,1,427
249,1,428
248,1,429
250,2,430
253,0,431
252,0,432
254,1,433
255,0,434
254,2,435
256,1,436
256,2,437
256,4,438
256,3,439
256,8,440
256,5,441
256,9,442
256,11,443
256,10,444
258,9,445
257,0,446
258,3,447
258,4,448
258,5,449
260,1,450
259,1,451
261,0,452
261,2,453
262,4,454
263,1,455
262,6,456
265,0,457
264,0,458
265,5,459
266,2,460
265,6,461
266,4,462
267,1,463
267,3,464
268,0,465
268,1,466
271,2,467
270,0,468
274,0,469
272,1,470
274,1,471
274,2,472
275,1,473
277,2,474
277,0,475
279,0,476
279,4,477
279,2,478
279,1,479
280,3,480
280,2,481
281,2,482
281,3,483
281,5,484
281,4,485
283,0,486
284,0,487
285,0,488
286,0,489
286,1,490
287,1,491
288,1,492
289,4,493
289,0,494
290,1,495
290,0,496
291,3,497
291,1,498
290,2,499
291,4,500
291,6,501
292,2,502
292,1,503
294,2,504
294,1,505
293,0,506
294,4,507
295,0,508
295,1,509
296,1,510
296,5,511
296,2,512
298,1,513
