coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
8,Three brothers,Three brothers,0,0,14,0
8,Three brothers,them,11,95,99,0
8,Three brothers,them,11,182,186,0
8,Three brothers,they,7,104,108,0
8,Three brothers,they,7,22,26,0
8,Three brothers,they,7,11,15,0
8,Three brothers,their,6,15,20,0
8,Three brothers,themselves,11,55,65,0
8,Three brothers,them,3,30,34,0
8,Three brothers,They,3,0,4,0
8,Three brothers,they,2,73,77,0
8,Three brothers,they,11,6,10,0
8,Three brothers,their,0,52,57,1
8,Three brothers,their,1,49,54,0
9,their parents,their parents,0,52,65,0
9,their parents,their parents,5,27,40,0
10,the eldest,he,1,84,86,0
10,the eldest,The eldest,8,0,10,0
10,the eldest,he,8,57,59,0
10,the eldest,He,9,0,2,0
10,the eldest,his,344,47,50,0
10,the eldest,the eldest,6,28,38,0
10,the eldest,The eldest,344,0,10,0
10,the eldest,He,10,0,2,0
10,the eldest,his,10,14,17,1
10,the eldest,him,10,111,114,1
10,the eldest,he,1,68,70,0
10,the eldest,The eldest,1,0,10,0
10,the eldest,his,9,17,20,0
12,no neighbors,no neighbors,3,9,21,0
13,the father,the father,3,55,65,0
14,the tribe,the tribe,3,115,124,0
15,The lads,them,4,55,59,0
15,The lads,their,5,27,32,1
15,The lads,They,5,0,4,0
15,The lads,The lads,4,0,8,0
16,a human being,a human being,4,36,49,0
21,his brothers,them,14,60,64,0
21,his brothers,they,12,66,70,0
21,his brothers,his brothers,12,38,50,0
21,his brothers,his brothers,24,41,53,0
21,his brothers,his brothers,412,81,93,0
21,his brothers,they,316,99,103,0
21,his brothers,their,316,61,66,0
21,his brothers,They,409,0,4,0
21,his brothers,his brothers,50,27,39,0
21,his brothers,his brothers,387,75,87,0
21,his brothers,his brothers,408,9,21,0
21,his brothers,his brothers,316,36,48,0
21,his brothers,his brothers,337,73,85,0
21,his brothers,his brothers,10,14,26,0
21,his brothers,them,413,319,323,0
22,a master over a particular animal which was assigned to him,a master over a particular animal which was assigned to him,10,55,114,0
23,the elder,him,12,91,94,0
23,the elder,the elder,11,67,76,0
23,the elder,he,11,165,167,0
23,the elder,his,12,38,41,1
23,the elder,he,12,18,20,0
2,Jeekewis,his,341,71,74,0
2,Jeekewis,he,346,44,46,0
2,Jeekewis,his,346,59,62,0
2,Jeekewis,he,357,9,11,0
2,Jeekewis,he,363,54,56,0
2,Jeekewis,his,346,81,84,0
2,Jeekewis,he,356,1,3,0
2,Jeekewis,he,355,2,4,0
2,Jeekewis,you,362,82,85,0
2,Jeekewis,Jeekewis,363,0,8,0
2,Jeekewis,Jeekewis,362,33,41,0
2,Jeekewis,I,354,31,32,0
2,Jeekewis,He,348,0,2,0
2,Jeekewis,he,350,31,33,0
2,Jeekewis,his,350,39,42,1
2,Jeekewis,his,353,51,54,0
2,Jeekewis,he,353,5,7,0
2,Jeekewis,himself,352,44,51,0
2,Jeekewis,Jeekewis,352,0,8,0
2,Jeekewis,Jeekewis,13,0,8,0
2,Jeekewis,his,363,19,22,0
2,Jeekewis,he,354,21,23,0
2,Jeekewis,he,363,34,36,0
2,Jeekewis,Jeekewis,346,11,19,0
2,Jeekewis,himself,357,34,41,0
2,Jeekewis,he,364,52,54,0
2,Jeekewis,He,366,0,2,0
