sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,4,helped,104,110,104,110,6,74.0,83.0,74.0,83.0,3,111.0,141.0,111.0,141.0,,,,,verb.social,1,True
2,1,worked,53,59,226,232,8,1.0,14.0,174.0,187.0,,,,,,,,,,verb.social,1,True
3,4,buy,47,50,479,482,9,31.0,32.0,463.0,464.0,,51.0,63.0,483.0,495.0,,,,,verb.possession,1,True
4,2,done,77,81,786,790,12,50.0,58.0,759.0,767.0,,,,,,,,,,verb.social,1,True
5,5,turned,94,100,911,917,12,91.0,93.0,908.0,910.0,,,,,,,,,,verb.motion,1,True
6,3,asked,133,138,1136,1141,18,129.0,132.0,1132.0,1135.0,"19,12",139.0,142.0,1142.0,1145.0,,,,,verb.communication,1,True
7,1,listened,25,33,1260,1268,12,22.0,24.0,1257.0,1259.0,18,34.0,40.0,1269.0,1275.0,,,,,verb.perception,1,True
10,0,said,0,4,1306,1310,,,,,,12,5.0,7.0,1311.0,1313.0,,,,,verb.communication,1,True
11,1,know,9,13,1324,1328,12,1.0,2.0,1316.0,1317.0,18,14.0,40.0,1329.0,1355.0,,,,,verb.cognition,1,True
12,1,got,5,8,1362,1365,12,0.0,1.0,1357.0,1358.0,78,9.0,27.0,1366.0,1384.0,,,,,verb.possession,1,True
13,2,wanted,62,68,1507,1513,18,26.0,60.0,1471.0,1505.0,,69.0,80.0,1514.0,1525.0,,,,,verb.emotion,1,True
14,1,exclaimed,43,52,1569,1578,18,5.0,8.0,1531.0,1534.0,80,55.0,63.0,1581.0,1589.0,,,,,verb.communication,1,True
15,0,hope,2,6,1593,1597,18,0.0,1.0,1591.0,1592.0,18,7.0,31.0,1598.0,1622.0,,,,,verb.emotion,1,True
16,3,spoken,47,53,1671,1677,18,30.0,31.0,1654.0,1655.0,,,,,,,,,,verb.communication,1,True
