sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,had,verb.possession,3,4
0,4,helped,verb.social,6,3
2,5,rubbed,verb.contact,9,9
2,5,rubbed,verb.contact,8,9
3,5,said,verb.communication,9,9
3,5,said,verb.communication,9,11
3,8,notice,verb.perception,9,9
3,8,notice,verb.perception,9,11
5,1,met,verb.social,12,14
5,1,met,verb.social,12,12
5,6,bade,verb.communication,12,16
5,6,bade,verb.communication,12,12
5,7,saddle,verb.contact,16,12
6,3,asked,verb.communication,18,19
6,3,asked,verb.communication,18,12
6,4,liked,verb.emotion,12,19
6,4,liked,verb.emotion,12,12
7,1,listened,verb.perception,12,18
11,1,know,verb.cognition,12,18
12,1,got,verb.possession,12,78
14,1,exclaimed,verb.communication,18,80
15,0,hope,verb.emotion,18,18
16,5,fumbled,verb.contact,18,18
17,5,retorted,verb.communication,18,12
21,6,glanced,verb.perception,18,84
23,1,looking,verb.perception,84,84
25,3,remembered,verb.cognition,18,18
25,3,remembered,verb.cognition,18,86
25,5,prepare,verb.change,18,86
37,0,feared,verb.emotion,8,9
37,0,feared,verb.emotion,8,8
38,4,felt,verb.cognition,99,8
41,1,meant,verb.cognition,8,9
41,1,meant,verb.cognition,8,8
41,3,told,verb.communication,8,9
41,3,told,verb.communication,8,8
41,6,seen,verb.perception,12,5
41,6,seen,verb.perception,12,12
41,9,forgiven,verb.cognition,12,5
44,6,inherit,verb.possession,8,8
45,2,cared,verb.emotion,113,114
47,4,gave,verb.communication,12,12
48,1,hear,verb.perception,122,122
48,4,seeing,verb.perception,122,122
51,8,watch,verb.perception,12,128
51,8,watch,verb.perception,12,12
51,10,swallowing,verb.consumption,12,12
51,11,crossed,verb.motion,12,118
51,11,crossed,verb.motion,12,12
52,3,looked,verb.perception,132,114
53,2,said,verb.communication,6,42
54,1,see,verb.cognition,42,42
55,5,give,verb.possession,42,42
57,0,listened,verb.perception,107,42
57,1,pitied,verb.emotion,107,42
57,2,gave,verb.possession,107,42
58,4,thought,verb.cognition,138,138
61,0,regretted,verb.cognition,139,139
61,0,regretted,verb.cognition,139,143
61,0,regretted,verb.cognition,143,139
61,0,regretted,verb.cognition,143,143
61,2,seen,verb.social,143,139
61,3,put,verb.contact,139,143
62,0,had,verb.possession,143,139
63,3,wanted,verb.emotion,144,139
63,5,buy,verb.possession,144,139
64,3,finished,verb.change,139,139
64,4,thought,verb.cognition,139,147
64,4,thought,verb.cognition,139,139
64,6,pay,verb.possession,139,147
64,6,pay,verb.possession,139,139
67,3,turned,verb.motion,151,151
67,5,saw,verb.cognition,152,139
67,13,resolved,verb.cognition,139,139
67,14,get,verb.possession,139,139
68,1,entered,verb.motion,139,156
68,1,entered,verb.motion,139,155
68,1,entered,verb.motion,139,139
68,3,making,verb.creation,139,156
68,3,making,verb.creation,139,139
69,2,liked,verb.emotion,139,139
69,2,liked,verb.emotion,159,139
69,4,hoped,verb.emotion,139,160
69,4,hoped,verb.emotion,139,159
