clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Matte,6,31,54,85,Matte,male,1.0,primary
Maie,7,32,47,79,Maie,female,1.0,primary
Matte--His wife/his wife,32,20,20,40,Matte's wife,female,1.0,secondary
Ahti,11,11,16,27,Ahti,male,1.0,tertiary
The old man/the old man,42,7,15,22,The old man,male,1.0,tertiary
the sea - king,209,5,14,19,the sea - king,male,1.0,tertiary
the old woman,57,6,12,18,the old woman,female,1.0,tertiary
the students/The students,56,7,11,18,the students,group/nonbinary,1.0,tertiary
mother,165,4,9,13,mother,female,1.0,tertiary
Prince,9,11,0,11,Prince,male,1.0,tertiary
Both,86,1,9,10,Both,group/nonbinary,1.0,tertiary
two men,110,1,7,8,two men,male,1.0,tertiary
Matte's wife--her husband,46,8,0,8,Matte's wife's husband,male,1.0,tertiary
three young men,53,1,5,6,three young men,male,1.0,tertiary
a fisherman,14,1,4,5,a fisherman,male,1.0,tertiary
"Ahti--the fairest maidens , who bear the train of his queen Wellamos",184,1,2,3,"Ahti's fairest maidens , who bear the train of his queen Wellamos",female,1.0,tertiary
thirty cows,139,1,2,3,thirty cows,unknown,0.0,tertiary
The fiddler/the fiddler,145,3,0,3,The fiddler,unknown,0.0,tertiary
the cow,104,2,1,3,the cow,unknown,0.0,tertiary
the sea - king--your majesty,238,3,0,3,the sea - king's majesty,unknown,0.0,tertiary
a servant,219,1,1,2,a servant,female,1.0,tertiary
the men,215,2,0,2,the men,male,1.0,tertiary
Wellamos,12,2,0,2,Wellamos,unknown,0.0,tertiary
the sea queen,151,1,1,2,the sea queen,female,1.0,tertiary
the fisherman/The fisherman,81,2,0,2,the fisherman,unknown,0.0,tertiary
Ahtola,1,2,0,2,Ahtola,unknown,0.0,tertiary
the sailors,182,1,0,1,the sailors,unknown,0.0,tertiary
good man,229,1,0,1,good man,male,1.0,tertiary
the fairies,220,1,0,1,the fairies,unknown,0.0,tertiary
the first one,126,1,0,1,the first one,unknown,0.0,tertiary
two servants,221,1,0,1,two servants,unknown,0.0,tertiary
Madam,222,1,0,1,Madam,unknown,0.0,tertiary
several servants,130,1,0,1,several servants,unknown,0.0,tertiary
a great lady,131,1,0,1,a great lady,female,1.0,tertiary
all the sea - urchins,134,1,0,1,all the sea - urchins,unknown,0.0,tertiary
the owner of a cow,44,1,0,1,the owner of a cow,unknown,0.0,tertiary
"industrious , hard - working folk",40,1,0,1,"industrious , hard - working folk",unknown,0.0,tertiary
a rich man,178,1,0,1,a rich man,male,1.0,tertiary
all the sea 's daughters,146,1,0,1,all the sea 's daughters,unknown,0.0,tertiary
The people in the boat,148,1,0,1,The people in the boat,unknown,0.0,tertiary
Wellamos 's chief lady - in - waiting,150,1,0,1,Wellamos 's chief lady - in - waiting,female,1.0,tertiary
Heaven,8,1,0,1,Heaven,unknown,0.0,tertiary
a wife,17,1,0,1,a wife,female,1.0,tertiary
Dame,13,1,0,1,Dame,unknown,0.0,tertiary
the maids,250,1,0,1,the maids,unknown,0.0,tertiary
students,55,1,0,1,students,unknown,0.0,tertiary
all these folk,218,1,0,1,all these folk,unknown,0.0,tertiary
a girl,119,1,0,1,a girl,female,1.0,tertiary
Maie--a girl to help me,217,1,0,1,Maie's girl to help me,female,1.0,tertiary
Ahti--his queen,185,1,0,1,Ahti's queen,female,1.0,tertiary
the students/The students--your worships,186,1,0,1,the students's worships,unknown,0.0,tertiary
"an old lame man , which were supposed to bring luck in fishing",193,1,0,1,"an old lame man , which were supposed to bring luck in fishing",male,1.0,tertiary
sea - king,208,1,0,1,sea - king,male,1.0,tertiary
Ahti--He who stands well with Ahti,177,1,0,1,Ahti's who stands well with Ahti,unknown,0.0,tertiary
the one,80,1,0,1,the one,unknown,0.0,tertiary
Salmon,5,1,0,1,Salmon,unknown,0.0,tertiary
the weather - cock,211,1,0,1,the weather - cock,unknown,0.0,tertiary
"Ahti--a mighty king who lives in his dominion of Ahtola , and has a rock at the bottom of the sea , and possesses besides a treasury of good things . He rules over all fish and animals of the deep",170,1,0,1,"Ahti's mighty king who lives in his dominion of Ahtola , and has a rock at the bottom of the sea , and possesses besides a treasury of good things . He rules over all fish and animals of the deep",male,1.0,tertiary
the sea gods of old,62,1,0,1,the sea gods of old,unknown,0.0,tertiary
Every one Prince,106,1,0,1,Every one Prince,male,1.0,tertiary
a clever beast,107,1,0,1,a clever beast,unknown,0.0,tertiary
a rival,108,1,0,1,a rival,unknown,0.0,tertiary
the students/The students--one of them,60,1,0,1,the students's of them,unknown,0.0,tertiary
good mother,166,1,0,1,good mother,female,1.0,tertiary
Matte--his men,117,1,0,1,Matte's men,male,1.0,tertiary
so many folk,216,1,0,1,so many folk,unknown,0.0,tertiary
old woman,255,1,0,1,old woman,female,1.0,tertiary
