sentence_id,event_id,temporal_rank
1,2,0
1,1,1
2,0,2
3,3,3
5,2,4
7,0,5
6,1,6
7,3,7
7,5,8
8,0,9
9,1,10
8,1,11
10,2,12
10,0,13
10,3,14
11,4,15
11,5,16
11,6,17
13,0,18
13,3,19
13,4,20
14,2,21
14,0,22
15,0,23
15,1,24
16,0,25
17,1,26
16,2,27
18,0,28
18,1,29
19,1,30
19,2,31
20,1,32
20,3,33
20,5,34
21,0,35
20,6,36
21,2,37
22,1,38
25,1,39
27,0,40
27,1,41
27,2,42
28,0,43
30,0,44
30,1,45
32,1,46
31,2,47
31,1,48
32,3,49
33,0,50
34,4,51
34,0,52
35,0,53
35,3,54
36,2,55
36,0,56
36,5,57
36,3,58
38,3,59
37,0,60
39,3,61
40,1,62
43,0,63
43,1,64
43,6,65
43,4,66
44,6,67
44,3,68
45,3,69
45,0,70
46,0,71
47,3,72
48,0,73
48,1,74
48,2,75
49,1,76
51,1,77
50,1,78
50,0,79
52,0,80
52,1,81
53,2,82
53,0,83
54,0,84
54,1,85
55,4,86
55,0,87
55,6,88
55,7,89
55,8,90
55,9,91
55,10,92
56,1,93
56,2,94
56,3,95
57,0,96
57,1,97
57,5,98
57,8,99
57,7,100
58,0,101
59,0,102
59,1,103
59,4,104
59,2,105
59,6,106
60,0,107
61,0,108
62,2,109
62,1,110
62,3,111
63,0,112
64,0,113
63,3,114
64,4,115
64,1,116
65,4,117
66,0,118
66,2,119
66,3,120
67,3,121
67,0,122
67,5,123
67,6,124
70,0,125
70,1,126
70,2,127
70,3,128
71,0,129
72,0,130
71,1,131
73,1,132
73,0,133
73,2,134
73,4,135
74,0,136
74,1,137
77,1,138
77,0,139
75,1,140
78,2,141
80,2,142
79,2,143
80,3,144
81,0,145
80,5,146
81,2,147
81,3,148
83,0,149
83,1,150
83,2,151
87,2,152
87,1,153
88,2,154
88,4,155
88,3,156
91,2,157
91,1,158
93,1,159
92,4,160
93,4,161
96,0,162
94,1,163
96,1,164
96,5,165
96,3,166
