sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Every afternoon, as they were coming from school, the children used to go and play in the Giant's garden. ",play,BEFORE,The birds sat on the trees and sang so sweetly that the children used to stop their games in order to listen to them. ,stop,0,3,4,3
The birds sat on the trees and sang so sweetly that the children used to stop their games in order to listen to them. ,stop,BEFORE,they cried to each other. ,cried,3,5,3,0
they cried to each other. ,cried,AFTER,"He had been to visit his friend the Cornish ogre, and had stayed with him for seven years. ",visit,5,7,0,2
"He had been to visit his friend the Cornish ogre, and had stayed with him for seven years. ",visit,BEFORE,"After the seven years were over he had said all that he had to say, for his conversation was limited, and he determined to return to his own castle. ",determined,7,8,2,6
"After the seven years were over he had said all that he had to say, for his conversation was limited, and he determined to return to his own castle. ",determined,BEFORE,When he arrived he saw the children playing in the garden. ,playing,8,9,6,2
When he arrived he saw the children playing in the garden. ,playing,BEFORE,"""What are you doing here?"" ",doing,9,10,2,1
"""What are you doing here?"" ",doing,BEFORE,"he cried in a very gruff voice, and the children ran away. ",cried,10,11,1,0
"he cried in a very gruff voice, and the children ran away. ",cried,BEFORE,"""My own garden is my own garden,"" said the Giant; ",said,11,12,0,1
"""My own garden is my own garden,"" said the Giant; ",said,BEFORE," ""any one can understand that, and I will allow nobody to play in it but myself."" ",play,12,13,1,4
" ""any one can understand that, and I will allow nobody to play in it but myself."" ",play,AFTER,"So he built a high wall all round it, and put up a notice-board. ",built,13,14,4,0
"So he built a high wall all round it, and put up a notice-board. ",built,BEFORE,The poor children had now nowhere to play. ,play,14,16,0,1
The poor children had now nowhere to play. ,play,BEFORE,"They tried to play on the road, but the road was very dusty and full of hard stones, and they did not like it. ",play,16,17,1,1
"They tried to play on the road, but the road was very dusty and full of hard stones, and they did not like it. ",play,AFTER,"They used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside. ",wander,17,18,1,1
"They used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside. ",wander,BEFORE,"""How happy we were there,"" they said to each other. ",said,18,19,1,1
"""How happy we were there,"" they said to each other. ",said,AFTER,"The birds did not care to sing in it as there were no children, and the trees forgot to blossom. ",sing,19,22,1,2
"The birds did not care to sing in it as there were no children, and the trees forgot to blossom. ",sing,BEFORE,"""Spring has forgotten this garden,"" they cried, ""so we will live here all the year round."" ",cried,22,25,2,2
"""Spring has forgotten this garden,"" they cried, ""so we will live here all the year round."" ",cried,BEFORE,"Then they invited the North Wind to stay with them, and he came. ",came,25,27,2,2
"Then they invited the North Wind to stay with them, and he came. ",came,BEFORE,"He was wrapped in furs, and he roared all day about the garden, and blew the chimney-pots down. ",roared,27,28,2,2
"He was wrapped in furs, and he roared all day about the garden, and blew the chimney-pots down. ",roared,BEFORE,"""This is a delightful spot,"" he said, ""we must ask the Hail on a visit."" ",ask,28,29,2,3
"""This is a delightful spot,"" he said, ""we must ask the Hail on a visit."" ",ask,BEFORE,So the Hail came. ,came,29,30,3,0
So the Hail came. ,came,BEFORE,"Every day for three hours he rattled on the roof of the castle till he broke most of the slates, and then he ran round and round the garden as fast as he could go. ",ran,30,31,0,2
