sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
3,3,stop,verb.motion,10,10
3,4,listen,verb.perception,10,10
7,2,visit,verb.social,15,16
7,2,visit,verb.social,15,15
7,2,visit,verb.social,15,17
8,2,said,verb.communication,15,15
8,6,determined,verb.cognition,15,15
8,7,return,verb.motion,15,15
9,1,saw,verb.perception,15,10
12,1,said,verb.communication,15,15
13,3,allow,verb.social,15,99
13,3,allow,verb.social,15,15
19,1,said,verb.communication,24,14
22,1,care,verb.emotion,31,32
27,0,invited,verb.communication,24,24
27,0,invited,verb.communication,24,5
29,3,ask,verb.communication,24,6
33,4,said,verb.communication,39,39
39,1,thought,verb.cognition,2,44
39,1,thought,verb.cognition,2,45
42,3,said,verb.communication,15,15
47,1,see,verb.perception,15,50
48,3,covered,verb.contact,10,10
48,5,waving,verb.motion,10,10
60,0,know,verb.cognition,2,104
61,1,put,verb.contact,2,105
64,0,saw,verb.perception,10,2
65,4,see,verb.perception,61,2
66,1,took,verb.contact,15,61
66,1,took,verb.contact,15,15
66,2,put,verb.contact,15,61
67,5,kissed,verb.contact,61,61
68,0,saw,verb.cognition,65,66
69,1,said,verb.communication,61,2
69,1,said,verb.communication,110,2
70,3,found,verb.perception,67,2
70,3,found,verb.perception,67,67
70,3,found,verb.perception,67,10
71,1,came,verb.motion,67,2
71,2,bid,verb.communication,67,2
73,0,said,verb.communication,2,2
73,0,said,verb.communication,2,56
74,0,loved,verb.emotion,2,2
74,2,kissed,verb.communication,2,2
75,2,answered,verb.communication,10,10
77,1,tell,verb.communication,10,2
77,5,said,verb.communication,2,15
77,5,said,verb.communication,10,15
78,0,said,verb.communication,10,2
78,0,said,verb.communication,10,10
78,2,know,verb.cognition,10,2
82,1,longed,verb.emotion,2,2
82,1,longed,verb.emotion,2,78
83,1,like,verb.emotion,2,78
83,2,see,verb.social,2,78
86,3,watched,verb.perception,2,10
86,4,admired,verb.emotion,2,2
91,0,rubbed,verb.body,2,2
95,0,ran,verb.motion,7,15
96,1,came,verb.motion,15,85
97,2,said,verb.communication,15,85
101,2,take,verb.possession,15,15
101,3,slay,verb.contact,15,15
106,1,fell,verb.motion,15,15
107,0,smiled,verb.body,85,15
107,1,said,verb.communication,85,15
107,1,said,verb.communication,85,85
107,2,let,verb.social,15,15
107,2,let,verb.social,15,85
107,5,come,verb.motion,15,85
108,1,found,verb.perception,10,15
