sentence_id,event_id,temporal_rank
5,0,0
2,0,1
6,1,2
8,1,3
6,2,4
9,1,5
9,2,6
13,1,7
12,1,8
12,0,9
14,0,10
14,6,11
15,0,12
15,1,13
15,3,14
16,1,15
17,4,16
17,3,17
17,2,18
18,1,19
18,2,20
20,0,21
21,2,22
24,0,23
23,2,24
23,1,25
26,1,26
27,1,27
26,2,28
29,2,29
28,0,30
27,2,31
30,0,32
31,2,33
30,1,34
33,0,35
32,0,36
36,0,37
34,3,38
38,1,39
40,2,40
39,2,41
39,0,42
38,2,43
41,0,44
43,0,45
50,0,46
53,0,47
55,3,48
55,2,49
56,1,50
56,3,51
56,2,52
58,0,53
58,1,54
60,0,55
63,1,56
62,1,57
65,1,58
64,0,59
65,3,60
66,1,61
68,0,62
70,0,63
75,2,64
74,1,65
76,2,66
77,0,67
78,2,68
78,0,69
80,1,70
81,0,71
82,1,72
82,2,73
82,3,74
87,1,75
85,1,76
84,0,77
87,2,78
87,3,79
87,4,80
88,0,81
91,4,82
88,2,83
93,0,84
94,1,85
105,3,86
105,1,87
106,0,88
106,1,89
107,0,90
108,0,91
108,3,92
110,1,93
109,1,94
112,0,95
113,1,96
116,0,97
117,4,98
117,1,99
116,1,100
118,0,101
119,3,102
119,5,103
125,1,104
122,1,105
120,1,106
126,1,107
126,4,108
131,4,109
128,0,110
134,1,111
133,0,112
134,3,113
139,0,114
137,0,115
145,1,116
149,0,117
148,2,118
149,3,119
150,3,120
152,2,121
152,1,122
154,2,123
158,0,124
155,2,125
160,0,126
162,0,127
166,1,128
169,1,129
166,3,130
169,4,131
171,1,132
171,0,133
172,1,134
171,2,135
173,0,136
179,0,137
180,0,138
182,1,139
183,0,140
